,predicted_cases,actual_cases,error,perc_error
UCF-AEM,10526654.0,10338878,187776.0,1.8%
UCLA-SuEIR,10148692.7,10338878,-190185.3,-1.8%
IBF-TimeSeries,9853220.0,10338878,-485658.0,-4.7%
JHUAPL-Bucky,10866114.7,10338878,527236.7,5.1%
COVIDhub-baseline,9356452.0,10338878,-982426.0,-9.5%
IowaStateLW-STEM,8989297.0,10338878,-1349581.0,-13.1%
Covid19Sim-Simulator,12140808.1,10338878,1801930.1,17.4%
Columbia_UNC-SurvCon,14279549.0,10338878,3940671.0,38.1%
JCB-PRM,14695549.7,10338878,4356671.7,42.1%
USC-SI_kJalpha,5935360.0,10338878,-4403518.0,-42.6%
Wadhwani_AI-BayesOpt,,10338878,,
