,mean_rank
COVIDhub-baseline,6.7
OneQuietNight-ML,6.8
CEID-Walk,6.9
COVIDhub-ensemble,7.0
LNQ-ens1,7.5
OliverWyman-Navigator,7.9
IowaStateLW-STEM,7.9
FAIR-NRAR,8.5
UVA-Ensemble,8.6
PandemicCentral-USCounty,8.7
JHUAPL-Bucky,9.4
LANL-GrowthRate,9.7
UpstateSU-GRU,9.8
JHU_IDD-CovidSP,9.9
Google_Harvard-CPF,10.2
CU-select,11.5
MITCovAlliance-SIR,15.8
