,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,95984,94216.0,184117.7,88269.8,100698.0,65686.0,,112958.4,141246.0,220030.2,70649.7,,100245.8,119841.0,139803.8,89237.6,97222.0,64453.8,114543.5,195876.5,104442.0,70474.6,101594.4,104456.0,,82483.3,134574.1,,104018.1,181749.3,91531.8,99457.0,85145.8,-1768.0,88133.7,-7714.2,4714.0,-30298.0,,16974.4,45262.0,124046.2,-25334.3,,4261.8,23857.0,43819.8,-6746.4,1238.0,-31530.2,18559.5,99892.5,8458.0,-25509.4,5610.4,8472.0,,-13500.7,38590.1,,8034.1,85765.3,-4452.2,3473.0,-10838.2,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Alaska,7671,7164.0,5873.0,6440.8,6152.0,2782.0,,7207.8,5107.0,15571.4,8253.6,,4133.3,,10195.4,3272.3,4073.0,4917.1,1990.0,6449.6,6755.5,5385.1,9295.3,7087.0,,3351.3,10174.2,,6358.5,20344.8,10268.0,6929.0,4995.1,-507.0,-1798.0,-1230.2,-1519.0,-4889.0,,-463.2,-2564.0,7900.4,582.6,,-3537.7,,2524.4,-4398.7,-3598.0,-2753.9,-5681.0,-1221.4,-915.5,-2285.9,1624.3,-584.0,,-4319.7,2503.2,,-1312.5,12673.8,2597.0,-742.0,-2675.9,False,False,False,False,,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Arizona,222316,179240.0,233036.0,178525.1,170314.0,139083.0,,180007.0,231701.0,407261.5,156265.3,,151162.2,170045.0,231873.2,134381.9,171082.0,160599.1,158429.0,162154.0,165671.0,129426.4,154988.1,169553.0,,150402.5,299088.1,,153346.3,295885.1,197363.1,183283.0,247240.7,-43076.0,10720.0,-43790.9,-52002.0,-83233.0,,-42309.0,9385.0,184945.5,-66050.7,,-71153.8,-52271.0,9557.2,-87934.1,-51234.0,-61716.9,-63887.0,-60162.0,-56645.0,-92889.6,-67327.9,-52763.0,,-71913.5,76772.1,,-68969.7,73569.1,-24952.9,-39033.0,24924.7,True,False,False,False,,True,True,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,True,True
Arkansas,69026,55420.0,66820.1,55921.2,56702.0,41147.0,,62652.5,55039.0,128933.5,43459.4,,54677.8,73994.0,82987.6,45412.5,67435.0,37616.8,52595.0,64137.9,62537.0,38539.1,54164.4,58210.0,,46417.3,44828.7,,51703.2,94646.6,62586.1,50796.0,49314.3,-13606.0,-2205.9,-13104.8,-12324.0,-27879.0,,-6373.5,-13987.0,59907.5,-25566.6,,-14348.2,4968.0,13961.6,-23613.5,-1591.0,-31409.2,-16431.0,-4888.1,-6489.0,-30486.9,-14861.6,-10816.0,,-22608.7,-24197.3,,-17322.8,25620.6,-6439.9,-18230.0,-19711.7,True,True,True,False,,True,False,False,False,,False,True,False,False,True,False,False,True,True,False,False,True,,False,False,,False,False,True,False,False
California,1023374,1112212.0,1902382.4,1134346.1,1212330.0,1080891.0,,1342354.2,1119096.0,3675567.4,1907768.8,,2087055.0,1113308.0,1905479.3,1943318.5,988869.0,778642.9,921652.0,3296106.7,1756907.0,1149208.9,1079291.4,975704.0,,1190772.8,1013408.5,,1040697.8,2229269.0,1380388.3,1358561.0,1762199.9,88838.0,879008.4,110972.1,188956.0,57517.0,,318980.2,95722.0,2652193.4,884394.8,,1063681.0,89934.0,882105.3,919944.5,-34505.0,-244731.1,-101722.0,2272732.7,733533.0,125834.9,55917.4,-47670.0,,167398.8,-9965.5,,17323.8,1205895.0,357014.3,335187.0,738825.9,False,False,False,True,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,True,,False,True,,True,False,False,False,False
Colorado,61347,68084.0,39551.3,68860.6,53661.0,43699.0,,64912.0,30908.0,82907.0,67515.2,,38892.6,74622.0,66756.4,28091.4,71615.0,38508.2,28637.5,57052.1,50530.0,47266.3,55258.0,48800.0,,35266.6,46084.8,,79098.9,102314.1,34704.7,69349.0,66005.0,6737.0,-21795.7,7513.6,-7686.0,-17648.0,,3565.0,-30439.0,21560.0,6168.2,,-22454.4,13275.0,5409.4,-33255.6,10268.0,-22838.8,-32709.5,-4294.9,-10817.0,-14080.7,-6089.0,-12547.0,,-26080.4,-15262.2,,17751.9,40967.1,-26642.3,8002.0,4658.0,False,False,False,False,,True,False,False,True,,False,False,True,False,False,False,False,True,False,False,True,False,,False,False,,False,False,False,False,True
Connecticut,65072,39844.0,44772.7,39492.6,40487.0,21893.0,,47467.8,27177.0,12329487.4,54043.2,,41053.8,53690.0,81287.0,30630.0,27244.0,59036.6,22735.0,44688.3,45276.0,27096.4,47409.5,32274.0,,26351.4,79324.3,,52472.9,108846.3,31732.2,37567.0,33260.4,-25228.0,-20299.3,-25579.4,-24585.0,-43179.0,,-17604.2,-37895.0,12264415.4,-11028.8,,-24018.2,-11382.0,16215.0,-34442.0,-37828.0,-6035.4,-42337.0,-20383.7,-19796.0,-37975.6,-17662.5,-32798.0,,-38720.6,14252.3,,-12599.1,43774.3,-33339.8,-27505.0,-31811.6,True,False,True,False,,True,False,False,True,,True,True,True,False,False,True,False,True,True,False,True,False,,False,True,,True,False,False,False,False
Delaware,19442,17348.0,30487.4,17919.0,17434.0,13707.0,,18664.3,28968.0,32521.6,16113.0,,17819.3,17117.0,27342.7,11144.0,18933.0,14754.4,9002.0,19943.7,13396.5,15576.6,23059.4,16270.0,,13348.6,32568.8,,15419.2,36465.4,16584.9,19790.0,11082.3,-2094.0,11045.4,-1523.0,-2008.0,-5735.0,,-777.7,9526.0,13079.6,-3329.0,,-1622.7,-2325.0,7900.7,-8298.0,-509.0,-4687.6,-10440.0,501.7,-6045.5,-3865.4,3617.4,-3172.0,,-6093.4,13126.8,,-4022.8,17023.4,-2857.1,348.0,-8359.7,False,True,True,False,,True,False,False,False,,True,False,False,False,True,False,False,True,False,False,False,False,,False,False,,False,False,False,True,False
District of Columbia,7367,5472.0,13216.7,5319.5,5997.0,4227.0,,6006.0,4483.0,6722.7,2512.4,,7205.4,6378.0,7435.2,4362.5,6232.0,6214.3,6025.5,13011.5,6913.5,6172.9,,3230.0,,4029.0,14574.3,,6843.2,10672.2,,5972.0,7163.3,-1895.0,5849.7,-2047.5,-1370.0,-3140.0,,-1361.0,-2884.0,-644.3,-4854.6,,-161.6,-989.0,68.2,-3004.5,-1135.0,-1152.7,-1341.5,5644.5,-453.5,-1194.1,,-4137.0,,-3338.0,7207.3,,-523.8,3305.2,,-1395.0,-203.7,False,False,True,False,,True,False,True,False,,True,True,True,False,True,True,True,False,True,True,,False,,False,False,,True,False,,True,True
Florida,375326,285692.0,310305.7,283554.4,305200.0,244663.0,,312897.3,360040.0,906663.1,366615.4,,301174.3,334597.0,389315.6,234534.3,267300.0,294356.6,267339.5,480976.3,303915.5,253323.8,334551.8,360806.0,,288974.8,283800.3,,271593.7,448739.5,322598.7,316442.0,264360.1,-89634.0,-65020.3,-91771.6,-70126.0,-130663.0,,-62428.7,-15286.0,531337.1,-8710.6,,-74151.7,-40729.0,13989.6,-140791.7,-108026.0,-80969.4,-107986.5,105650.3,-71410.5,-122002.2,-40774.2,-14520.0,,-86351.2,-91525.7,,-103732.3,73413.5,-52727.3,-58884.0,-110965.9,True,False,True,False,,True,True,False,True,,True,True,True,False,False,True,False,False,True,False,True,True,,True,False,,False,True,True,True,False
