,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,146601,151512.0,146062.0,,161482.9,205754.0,,161576.0,266777.7,188147.9,82825.5,188294.5,,102044.2,137450.0,236611.6,4911.0,-539.0,,14881.9,59153.0,,14975.0,120176.7,41546.9,-63775.5,41693.5,,-44556.8,-9151.0,90010.6,True,,False,False,,False,False,False,False,False,,False,False,False
Alaska,12653,25356.0,25283.0,,29449.4,12310.0,,,36464.5,43564.5,11754.9,21935.0,,21050.1,16459.0,35909.8,12703.0,12630.0,,16796.4,-343.0,,,23811.5,30911.5,-898.1,9282.0,,8397.1,3806.0,23256.8,True,,False,True,,,False,False,True,True,,True,True,False
Arizona,312768,262134.0,258216.0,,312093.2,470278.0,,274150.0,522635.1,385831.5,221902.9,328661.0,,238924.3,197159.0,593568.5,-50634.0,-54552.0,,-674.8,157510.0,,-38618.0,209867.1,73063.5,-90865.1,15893.0,,-73843.7,-115609.0,280800.5,False,,True,False,,True,False,False,False,True,,False,False,False
Arkansas,98743,89220.0,74300.0,,91135.5,83079.0,,110037.0,138118.8,69728.7,53561.0,95038.0,,89436.3,62447.0,100765.8,-9523.0,-24443.0,,-7607.5,-15664.0,,11294.0,39375.8,-29014.3,-45182.0,-3705.0,,-9306.7,-36296.0,2022.8,False,,True,False,,False,False,False,False,True,,True,False,True
California,1592309,1267410.0,1707391.0,,1671256.4,1270907.0,,1216257.0,2412127.9,3147660.0,986663.4,2078513.5,,1613668.2,1282107.0,,-324899.0,115082.0,,78947.4,-321402.0,,-376052.0,819818.9,1555351.0,-605645.6,486204.5,,21359.2,-310202.0,,True,,True,True,,False,False,False,False,False,,True,True,
Colorado,99332,169722.0,134801.0,,175360.9,95589.0,,172597.0,244792.2,92197.4,109721.5,138049.5,,153321.1,109749.0,145810.0,70390.0,35469.0,,76028.9,-3743.0,,73265.0,145460.2,-7134.6,10389.5,38717.5,,53989.1,10417.0,46478.0,True,,False,True,,False,False,True,True,True,,True,True,True
Connecticut,91054,114276.0,131590.0,,122388.2,55719.0,,116155.0,151600.4,156972.1,113858.8,101837.0,,108350.9,71458.0,169355.2,23222.0,40536.0,,31334.2,-35335.0,,25101.0,60546.4,65918.1,22804.8,10783.0,,17296.9,-19596.0,78301.2,False,,False,False,,False,False,False,True,True,,True,True,False
Delaware,29039,34680.0,33754.0,,33414.7,44350.0,,36920.0,52005.0,60916.2,26215.9,39890.0,,35822.5,26154.0,85089.4,5641.0,4715.0,,4375.7,15311.0,,7881.0,22966.0,31877.2,-2823.1,10851.0,,6783.5,-2885.0,56050.4,True,,True,False,,False,False,False,True,False,,False,True,False
District of Columbia,10434,10626.0,7507.0,,12835.1,8070.0,,13114.0,16576.5,21896.8,9282.8,11929.0,,10251.7,7635.0,23023.2,192.0,-2927.0,,2401.1,-2364.0,,2680.0,6142.5,11462.8,-1151.2,1495.0,,-182.3,-2799.0,12589.2,False,,False,False,,False,False,False,False,False,,True,False,False
Florida,522941,404010.0,443485.0,,428378.6,686572.0,,436963.0,617170.4,390867.4,468320.8,378940.5,,433855.6,292363.0,,-118931.0,-79456.0,,-94562.4,163631.0,,-85978.0,94229.4,-132073.6,-54620.2,-144000.5,,-89085.4,-230578.0,,True,,True,False,,True,True,False,True,False,,True,False,
Georgia,324118,232014.0,247239.0,,276759.3,181328.0,,265328.0,370493.3,358370.7,177231.7,302215.0,,169975.8,187192.0,,-92104.0,-76879.0,,-47358.7,-142790.0,,-58790.0,46375.3,34252.7,-146886.3,-21903.0,,-154142.2,-136926.0,,True,,True,False,,True,True,True,False,True,,False,False,
Hawaii,5725,4638.0,5559.0,,4789.1,1910.0,,,5309.5,2579.3,13012.2,3968.5,,2448.9,3750.0,4190.6,-1087.0,-166.0,,-935.9,-3815.0,,,-415.5,-3145.7,7287.2,-1756.5,,-3276.1,-1975.0,-1534.4,True,,True,False,,,True,False,False,False,,False,False,False
Idaho,38693,65562.0,54884.0,,66340.7,32867.0,,69859.0,102471.5,65417.4,40761.3,53464.5,,40838.9,47852.0,72869.9,26869.0,16191.0,,27647.7,-5826.0,,31166.0,63778.5,26724.4,2068.3,14771.5,,2145.9,9159.0,34176.9,True,,False,True,,False,False,True,True,True,,True,True,False
Illinois,256839,370278.0,313013.0,,306920.8,213154.0,,368419.0,370901.0,173098.9,332024.3,329934.5,,459774.4,201910.0,,113439.0,56174.0,,50081.8,-43685.0,,111580.0,114062.0,-83740.1,75185.3,73095.5,,202935.4,-54929.0,,True,,True,True,,True,False,True,True,True,,False,True,
Indiana,188983,267102.0,205586.0,,279809.6,221738.0,,283994.0,365408.5,173933.0,153240.5,244081.5,,199938.7,180145.0,233058.8,78119.0,16603.0,,90826.6,32755.0,,95011.0,176425.5,-15050.0,-35742.5,55098.5,,10955.7,-8838.0,44075.8,True,,False,True,,False,False,True,True,True,,True,True,True
Iowa,57613,69744.0,50730.0,,67801.2,102961.0,,86931.0,70397.1,24721.7,44887.2,52289.0,,65253.3,33494.0,34388.6,12131.0,-6883.0,,10188.2,45348.0,,29318.0,12784.1,-32891.3,-12725.8,-5324.0,,7640.3,-24119.0,-23224.4,True,,True,False,,False,False,False,False,True,,True,False,False
Kansas,80848,102582.0,89484.0,,96973.5,116447.0,,99685.0,129675.3,52263.4,54106.3,185295.5,,106969.1,66738.0,68613.6,21734.0,8636.0,,16125.5,35599.0,,18837.0,48827.3,-28584.6,-26741.7,104447.5,,26121.1,-14110.0,-12234.4,True,,True,False,,True,False,False,False,False,,False,True,True
Kentucky,123908,135570.0,119829.0,,156422.3,74598.0,,160179.0,221019.1,133441.0,85223.6,122150.0,,97469.3,98602.0,181387.6,11662.0,-4079.0,,32514.3,-49310.0,,36271.0,97111.1,9533.0,-38684.4,-1758.0,,-26438.7,-25306.0,57479.6,True,,False,False,,False,False,True,False,True,,False,False,False
Louisiana,116064,102084.0,98779.0,,121446.6,180156.0,,112355.0,138320.7,115832.1,102445.9,90154.0,,76016.8,67982.0,119236.4,-13980.0,-17285.0,,5382.6,64092.0,,-3709.0,22256.7,-231.9,-13618.1,-25910.0,,-40047.2,-48082.0,3172.4,False,,True,False,,True,False,True,True,False,,False,False,True
Maine,20978,14958.0,21335.0,,15600.1,15935.0,,19828.0,28126.5,25920.5,16150.1,18367.5,,19494.9,13744.0,15600.7,-6020.0,357.0,,-5377.9,-5043.0,,-1150.0,7148.5,4942.5,-4827.9,-2610.5,,-1483.1,-7234.0,-5377.3,True,,True,True,,True,False,True,True,True,,True,False,True
Maryland,107298,117750.0,129410.0,,120263.0,185016.0,,132606.0,172154.4,119393.1,131608.2,132292.0,,112664.1,87401.0,134531.1,10452.0,22112.0,,12965.0,77718.0,,25308.0,64856.4,12095.1,24310.2,24994.0,,5366.1,-19897.0,27233.1,False,,False,False,,False,False,False,False,False,,True,False,False
Massachusetts,210368,202248.0,210350.0,,258682.6,176199.0,,244012.0,399442.5,426245.0,193782.7,265341.0,,214703.1,231264.0,500256.0,-8120.0,-18.0,,48314.6,-34169.0,,33644.0,189074.5,215877.0,-16585.3,54973.0,,4335.1,20896.0,289888.0,True,,False,False,,False,False,False,False,False,,True,False,False
Michigan,131587,231498.0,141707.0,,220975.2,175881.0,,272425.0,348240.2,162999.1,219315.6,157569.5,,348321.0,115336.0,247023.1,99911.0,10120.0,,89388.2,44294.0,,140838.0,216653.2,31412.1,87728.6,25982.5,,216734.0,-16251.0,115436.1,True,,True,True,,False,False,True,True,True,,False,True,False
