,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,69984,78000.0,82934.0,75703.7,76368.0,102385.0,,73576.4,100033.0,89605.0,45928.6,,74175.3,76456.0,64298.5,71342.0,46243.2,71050.5,111973.6,64842.0,78508.6,74250.2,83800.0,77790.0,,74688.4,87463.9,,84572.5,119631.7,81587.6,75855.0,90714.6,67036.4,8016.0,12950.0,5719.7,6384.0,32401.0,,3592.4,30049.0,19621.0,-24055.4,,4191.3,6472.0,-5685.5,1358.0,-23740.8,1066.5,41989.6,-5142.0,8524.6,4266.2,13816.0,7806.0,,4704.4,17479.9,,14588.5,49647.7,11603.6,5871.0,20730.6,-2947.6,False,True,True,False,,True,False,False,False,,True,True,True,True,False,True,False,True,False,True,False,True,,True,False,,False,False,False,True,False,True
Alaska,5349,6966.0,7250.9,6686.0,5662.0,5833.0,,5170.3,2510.0,5027.6,6629.9,,4116.7,,12205.7,5293.0,3672.4,2225.0,4496.0,7121.0,5115.0,6872.2,6715.0,5671.0,,6154.1,5263.7,,5431.2,8563.1,9888.0,5770.0,7250.0,3574.9,1617.0,1901.9,1337.0,313.0,484.0,,-178.7,-2839.0,-321.4,1280.9,,-1232.3,,6856.7,-56.0,-1676.6,-3124.0,-853.0,1772.0,-234.0,1523.2,1366.0,322.0,,805.1,-85.3,,82.2,3214.1,4539.0,421.0,1901.0,-1774.1,False,True,True,True,,True,False,True,True,,True,,False,True,False,False,True,False,True,True,True,True,,True,True,,True,False,False,True,False,False
Arizona,176207,138327.0,132259.1,136226.2,145091.0,182514.0,,130771.3,154019.0,252532.6,138750.1,,211023.7,128174.0,178941.4,116959.0,110205.0,114569.5,150151.6,168948.0,207911.0,160159.8,161299.0,124900.0,,171526.8,170761.5,,126459.1,209040.2,156431.2,153461.0,230627.1,92803.2,-37880.0,-43947.9,-39980.8,-31116.0,6307.0,,-45435.7,-22188.0,76325.6,-37456.9,,34816.7,-48033.0,2734.4,-59248.0,-66002.0,-61637.5,-26055.4,-7259.0,31704.0,-16047.2,-14908.0,-51307.0,,-4680.2,-5445.5,,-49747.9,32833.2,-19775.8,-22746.0,54420.1,-83403.8,False,False,True,True,,False,True,False,True,,True,False,True,False,False,False,True,True,True,True,True,False,,True,True,,False,True,True,True,False,False
Arkansas,51553,52419.0,49984.8,51734.5,50361.0,73949.0,,46953.9,38762.0,60366.4,33678.5,,49617.6,50476.0,60433.6,53119.0,28382.9,41544.5,44976.4,48159.0,56164.9,52118.3,52984.0,48879.0,,50597.1,33571.0,,53520.0,67462.0,48555.1,45440.0,61691.7,45111.8,866.0,-1568.2,181.5,-1192.0,22396.0,,-4599.1,-12791.0,8813.4,-17874.5,,-1935.4,-1077.0,8880.6,1566.0,-23170.1,-10008.5,-6576.6,-3394.0,4611.9,565.3,1431.0,-2674.0,,-955.9,-17982.0,,1967.0,15909.0,-2997.9,-6113.0,10138.7,-6441.2,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,,False,False,False,False,False,False
California,752782,803841.0,894024.9,797168.0,799379.0,918358.0,,911423.9,720198.0,1128117.4,649441.2,,906371.1,723132.0,762762.8,792403.0,513273.7,631447.5,818678.0,710325.5,734292.9,737317.3,955873.0,699844.0,,730476.6,1013682.3,,788444.1,1440868.9,1025237.8,827542.0,1634646.1,,51059.0,141242.9,44386.0,46597.0,165576.0,,158641.9,-32584.0,375335.4,-103340.8,,153589.1,-29650.0,9980.8,39621.0,-239508.3,-121334.5,65896.0,-42456.5,-18489.1,-15464.7,203091.0,-52938.0,,-22305.4,260900.3,,35662.1,688086.9,272455.8,74760.0,881864.1,,False,True,True,False,,False,True,False,False,,False,True,True,True,False,False,False,True,True,True,False,False,,True,False,,True,False,False,False,False,
Colorado,45794,46659.0,59476.8,48528.6,37882.0,60512.0,,41881.1,17400.0,34817.2,50531.8,,33739.4,40580.0,36309.9,38913.0,23607.1,29284.5,35787.5,41376.0,39068.2,39062.2,42874.0,32630.0,,29852.1,29020.3,,47587.4,47443.4,25084.6,42419.0,57031.0,28328.4,865.0,13682.8,2734.6,-7912.0,14718.0,,-3912.9,-28394.0,-10976.8,4737.8,,-12054.6,-5214.0,-9484.1,-6881.0,-22186.9,-16509.5,-10006.5,-4418.0,-6725.8,-6731.8,-2920.0,-13164.0,,-15941.9,-16773.7,,1793.4,1649.4,-20709.4,-3375.0,11237.0,-17465.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Connecticut,47695,52131.0,40460.9,50267.5,39647.0,179186.0,,40742.6,17022.0,178946.9,45306.1,,34542.1,39830.0,68928.9,48539.0,40839.7,32422.0,39583.7,20294.0,37222.0,37013.3,35211.0,45550.0,,14956.0,31307.9,,62002.0,56133.6,41386.3,25811.0,45158.5,23029.7,4436.0,-7234.1,2572.5,-8048.0,131491.0,,-6952.4,-30673.0,131251.9,-2388.9,,-13152.9,-7865.0,21233.9,844.0,-6855.3,-15273.0,-8111.3,-27401.0,-10473.0,-10681.7,-12484.0,-2145.0,,-32739.0,-16387.1,,14307.0,8438.6,-6308.7,-21884.0,-2536.5,-24665.3,False,True,False,False,,False,False,False,True,,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,True,False
Delaware,15042,13200.0,16202.9,12700.3,12673.0,15305.0,,13194.3,16426.0,14767.8,12094.0,,11674.2,12544.0,13898.2,13510.0,7875.5,11493.5,12116.5,11237.5,12087.9,15127.6,15117.0,10718.0,,11290.3,18725.5,,8209.3,24520.6,11961.8,13470.0,16747.3,8892.3,-1842.0,1160.9,-2341.7,-2369.0,263.0,,-1847.7,1384.0,-274.2,-2948.0,,-3367.8,-2498.0,-1143.8,-1532.0,-7166.5,-3548.5,-2925.5,-3804.5,-2954.1,85.6,75.0,-4324.0,,-3751.7,3683.5,,-6832.7,9478.6,-3080.2,-1572.0,1705.3,-6149.7,True,False,False,True,,False,True,True,False,,False,False,True,True,False,False,False,False,False,True,True,False,,False,False,,False,False,False,True,True,False
District of Columbia,5568,5397.0,5451.1,5391.4,4614.0,8113.0,,5072.3,2926.0,4027.0,2862.7,,4796.2,4582.0,7221.0,5980.0,4148.7,3646.5,4724.0,4046.0,4230.0,,5309.0,2909.0,,4365.8,7687.4,,4507.5,6554.4,,4621.0,5672.4,4072.7,-171.0,-116.9,-176.6,-954.0,2545.0,,-495.7,-2642.0,-1541.0,-2705.3,,-771.8,-986.0,1653.0,412.0,-1419.3,-1921.5,-844.0,-1522.0,-1338.0,,-259.0,-2659.0,,-1202.2,2119.4,,-1060.5,986.4,,-947.0,104.4,-1495.3,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,,False,True,False
Florida,285081,270735.0,259643.3,272191.4,271120.0,512256.0,,247595.1,233146.0,215633.7,304552.9,,310393.8,196637.0,282995.3,229903.0,222205.8,208949.5,337767.6,270278.0,265473.1,297138.9,253967.0,283816.0,,303073.2,207770.6,,262286.2,309945.8,334737.3,267620.0,352596.4,,-14346.0,-25437.7,-12889.6,-13961.0,227175.0,,-37485.9,-51935.0,-69447.3,19471.9,,25312.8,-88444.0,-2085.7,-55178.0,-62875.2,-76131.5,52686.6,-14803.0,-19607.9,12057.9,-31114.0,-1265.0,,17992.2,-77310.4,,-22794.8,24864.8,49656.3,-17461.0,67515.4,,False,True,True,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,True,False,True,,False,False,,False,False,False,False,False,
