,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,511,1158.0,,1206.7,,746.0,1851.0,,,,,831.6,1063.5,,,678.0,545.3,388.1,725.5,,647.0,922.9,,,1191.0,989.0,609.2,,,,,,820.2,1159.1,,,,1890.1,710.6,647.0,,695.7,,235.0,1340.0,,,,,320.6,552.5,,,167.0,34.3,-122.9,214.5,,136.0,411.9,,,680.0,478.0,98.2,,,,,,309.2,648.1,,,,1379.1,199.6,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,,,False,True,True,,,,,,True,False,,,,False,True
01003,1926,2494.0,,2492.7,,2192.0,1583.0,,,,,2472.3,2899.0,,,2155.0,2414.1,1548.7,2034.5,,2652.0,2646.0,,,2954.0,2565.0,1993.2,,,,,,1785.5,2056.3,1840.0,,,2123.5,1747.9,568.0,,566.7,,266.0,-343.0,,,,,546.3,973.0,,,229.0,488.1,-377.3,108.5,,726.0,720.0,,,1028.0,639.0,67.2,,,,,,-140.5,130.3,-86.0,,,197.5,-178.1,,True,,True,True,,,,,True,False,,,True,True,True,True,,False,False,,,False,False,True,,,,,,True,True,True,,,True,True
01005,157,240.0,,229.7,,242.0,255.0,,,,,247.8,252.7,,,240.0,341.2,135.4,,,271.0,249.0,,,319.0,264.0,174.6,,,,,,,307.7,,,,288.7,146.8,83.0,,72.7,,85.0,98.0,,,,,90.8,95.7,,,83.0,184.2,-21.6,,,114.0,92.0,,,162.0,107.0,17.6,,,,,,,150.7,,,,131.7,-10.2,,True,,False,False,,,,,False,False,,,False,False,True,,,False,False,,,False,False,True,,,,,,,False,,,,False,True
01007,185,350.0,,335.8,,311.0,330.0,,,,,332.9,368.5,,,247.0,154.7,152.4,,,288.5,339.3,,,344.0,321.0,253.1,,,,,,,438.1,,,,458.6,170.9,165.0,,150.8,,126.0,145.0,,,,,147.9,183.5,,,62.0,-30.3,-32.6,,,103.5,154.3,,,159.0,136.0,68.1,,,,,,,253.1,,,,273.6,-14.1,,True,,True,True,,,,,True,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,False,,,,False,True
01009,415,636.0,,633.7,,626.0,1004.0,,,,,766.4,780.0,,,765.0,413.3,343.6,441.5,,509.0,629.0,,,633.0,687.0,636.0,,,,,,528.2,495.1,,,,581.1,426.6,221.0,,218.7,,211.0,589.0,,,,,351.4,365.0,,,350.0,-1.7,-71.4,26.5,,94.0,214.0,,,218.0,272.0,221.0,,,,,,113.2,80.1,,,,166.1,11.6,,True,,True,False,,,,,False,False,,,False,True,True,True,,True,True,,,True,False,False,,,,,,True,True,,,,True,True
01011,84,116.0,,111.4,,115.0,157.0,,,,,127.1,115.0,,,72.0,204.0,90.8,,,111.0,110.6,,,131.0,123.0,109.3,,,,,,,161.1,,,,105.7,89.5,32.0,,27.4,,31.0,73.0,,,,,43.1,31.0,,,-12.0,120.0,6.8,,,27.0,26.6,,,47.0,39.0,25.3,,,,,,,77.1,,,,21.7,5.5,,True,,True,False,,,,,False,True,,,True,False,True,,,True,True,,,False,False,True,,,,,,,False,,,,True,True
01013,106,190.0,,197.9,,190.0,183.0,,,,,247.2,209.0,,,187.0,215.0,106.1,,,153.0,178.0,,,223.0,208.0,144.4,,,,,,,214.1,,,,209.5,119.1,84.0,,91.9,,84.0,77.0,,,,,141.2,103.0,,,81.0,109.0,0.1,,,47.0,72.0,,,117.0,102.0,38.4,,,,,,,108.1,,,,103.5,13.1,,False,,False,True,,,,,False,False,,,True,False,True,,,True,True,,,False,False,True,,,,,,,False,,,,False,True
01015,1043,1522.0,,1495.0,,1437.0,2767.0,,,,,1617.2,1662.2,,,1488.0,614.3,756.4,936.5,,914.0,1394.8,,,1553.0,1515.0,1430.6,,,,,,1140.9,1553.6,,,,1822.0,1037.6,479.0,,452.0,,394.0,1724.0,,,,,574.2,619.2,,,445.0,-428.7,-286.6,-106.5,,-129.0,351.8,,,510.0,472.0,387.6,,,,,,97.9,510.6,,,,779.0,-5.4,,True,,True,False,,,,,False,False,,,True,True,True,True,,True,True,,,False,True,True,,,,,,True,False,,,,False,True
01017,414,468.0,,463.9,,454.0,672.0,,,,,423.9,466.2,,,339.0,670.2,145.8,349.5,,588.0,460.9,,,547.0,448.0,463.6,,,,,,404.3,539.6,,,,558.2,293.6,54.0,,49.9,,40.0,258.0,,,,,9.9,52.2,,,-75.0,256.2,-268.2,-64.5,,174.0,46.9,,,133.0,34.0,49.6,,,,,,-9.7,125.6,,,,144.2,-120.4,,True,,True,False,,,,,True,True,,,False,False,False,False,,False,True,,,False,True,True,,,,,,True,False,,,,False,False
01019,128,176.0,,173.3,,176.0,208.0,,,,,228.8,217.2,,,324.0,68.0,108.7,,,114.0,208.3,,,188.0,224.0,181.8,,,,,,,228.3,,,,246.1,121.8,48.0,,45.3,,48.0,80.0,,,,,100.8,89.2,,,196.0,-60.0,-19.3,,,-14.0,80.3,,,60.0,96.0,53.8,,,,,,,100.3,,,,118.1,-6.2,,True,,False,False,,,,,False,False,,,False,False,True,,,True,False,,,False,False,False,,,,,,,False,,,,False,True
