,mean_rank
UCLA-SuEIR,6.9
OneQuietNight-ML,7.8
LNQ-ens1,8.1
LANL-GrowthRate,8.6
UChicagoCHATTOPADHYAY-UnIT,8.8
JHU_IDD-CovidSP,10.2
MOBS-GLEAM_COVID,13.3
Karlen-pypm,13.7
Geneva-DetGrowth,13.8
CU-select,14.0
RobertWalraven-ESG,14.0
COVIDhub-baseline,14.2
CEID-Walk,14.3
COVIDhub-ensemble,14.5
BPagano-RtDriven,14.6
DDS-NBDS,16.6
Google_Harvard-CPF,16.6
MIT_ISOLAT-Mixtures,17.4
UMich-RidgeTfReg,17.4
JHUAPL-Bucky,18.0
TTU-squider,18.0
USC-SI_kJalpha,18.2
JHU_CSSE-DECOM,18.8
IEM_MED-CovidProject,19.4
CovidAnalytics-DELPHI,19.5
Microsoft-DeepSTIA,20.0
Covid19Sim-Simulator,20.3
IowaStateLW-STEM,23.8
OliverWyman-Navigator,24.0
UCSB-ACTS,25.7
UVA-Ensemble,25.7
