,mean_rank
JHU_UNC_GAS-StatMechPool,8.1
Covid19Sim-Simulator,8.7
MOBS-GLEAM_COVID,9.2
USC-SI_kJalpha,9.8
Karlen-pypm,10.8
COVIDhub-ensemble,12.4
LANL-GrowthRate,12.5
OneQuietNight-ML,12.8
UCSB-ACTS,13.3
JHUAPL-Bucky,13.5
UCLA-SuEIR,14.0
IowaStateLW-STEM,14.3
COVIDhub-baseline,14.6
CEID-Walk,14.6
Microsoft-DeepSTIA,14.7
JHU_IDD-CovidSP,15.3
RobertWalraven-ESG,15.6
BPagano-RtDriven,16.0
TTU-squider,16.1
OliverWyman-Navigator,17.5
UChicagoCHATTOPADHYAY-UnIT,17.8
CovidAnalytics-DELPHI,18.2
LNQ-ens1,18.4
UMich-RidgeTfReg,18.7
JHU_CSSE-DECOM,19.6
Google_Harvard-CPF,20.1
UVA-Ensemble,20.2
IEM_MED-CovidProject,20.9
DDS-NBDS,23.5
CU-select,23.8
