,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,119538,135315.0,116818.0,,142418.8,152860.0,,140657.0,206577.5,125073.7,80770.8,260606.2,145682.0,,,157016.1,113143.0,293135.4,15777.0,-2720.0,,22880.8,33322.0,,21119.0,87039.5,5535.7,-38767.2,141068.2,26144.0,,,37478.1,-6395.0,173597.4,True,,False,False,,False,False,True,False,False,False,,,False,True,False
Alaska,9462,15955.0,12299.0,,15806.4,9948.0,,,25158.9,12340.0,9678.5,10156.8,8507.5,,,6884.2,8694.0,23366.5,6493.0,2837.0,,6344.4,486.0,,,15696.9,2878.0,216.5,694.8,-954.5,,,-2577.8,-768.0,13904.5,True,,True,True,,,False,True,True,True,True,,,True,True,False
Arizona,267126,228210.0,215396.0,,263409.5,200334.0,,223758.0,318749.2,304279.4,231955.9,312577.6,185076.5,,,161307.1,197266.0,544532.2,-38916.0,-51730.0,,-3716.5,-66792.0,,-43368.0,51623.2,37153.4,-35170.1,45451.6,-82049.5,,,-105818.9,-69860.0,277406.2,False,,True,False,,False,False,True,True,False,False,,,False,False,False
Arkansas,82881,79310.0,66683.0,,80490.3,69367.0,,94097.0,116065.2,55777.6,48566.1,81873.9,73559.5,,,76141.3,68148.0,111220.4,-3571.0,-16198.0,,-2390.7,-13514.0,,11216.0,33184.2,-27103.4,-34314.9,-1007.1,-9321.5,,,-6739.7,-14733.0,28339.4,False,,True,False,,False,False,False,False,True,False,,,False,False,False
California,1298147,1466905.0,1463752.0,,1768778.6,2465745.0,,1300403.0,2587710.1,2937583.8,1022520.3,3414399.3,2332984.0,,,1509556.3,1524593.0,,168758.0,165605.0,,470631.6,1167598.0,,2256.0,1289563.1,1639436.8,-275626.7,2116252.3,1034837.0,,,211409.3,226446.0,,True,,False,False,,True,False,False,False,False,False,,,False,False,
Colorado,78368,104820.0,61094.0,,106078.6,39952.0,,106361.0,168816.1,42848.5,86834.9,81156.4,67208.0,,,75394.1,63372.0,103395.2,26452.0,-17274.0,,27710.6,-38416.0,,27993.0,90448.1,-35519.5,8466.9,2788.4,-11160.0,,,-2973.9,-14996.0,25027.2,True,,False,False,,False,False,False,True,True,True,,,True,True,True
Connecticut,75033,80105.0,67724.0,,86132.6,70173.0,,75467.0,124714.6,65411.0,90280.0,74483.8,74138.0,,,65710.0,36560.0,195001.6,5072.0,-7309.0,,11099.6,-4860.0,,434.0,49681.6,-9622.0,15247.0,-549.2,-895.0,,,-9323.0,-38473.0,119968.6,False,,False,True,,True,False,False,False,True,True,,,False,False,False
Delaware,23779,26300.0,19188.0,,29974.0,26315.0,,28275.0,46481.3,25884.9,21514.9,58371.8,29186.5,,,33569.8,18778.0,70857.2,2521.0,-4591.0,,6195.0,2536.0,,4496.0,22702.3,2105.9,-2264.1,34592.8,5407.5,,,9790.8,-5001.0,47078.2,False,,False,False,,False,False,True,True,False,False,,,False,False,False
District of Columbia,8735,8495.0,7332.0,,8638.7,11395.0,,8339.0,13062.7,6795.1,11139.1,16040.4,9030.0,,,9166.5,6337.0,18918.0,-240.0,-1403.0,,-96.3,2660.0,,-396.0,4327.7,-1939.9,2404.1,7305.4,295.0,,,431.5,-2398.0,10183.0,False,,True,False,,False,False,False,False,False,False,,,False,False,False
Florida,446749,380960.0,396432.0,,393959.3,417118.0,,340296.0,450710.0,297880.0,368655.4,591314.9,371570.0,,,381022.3,295776.0,,-65789.0,-50317.0,,-52789.7,-29631.0,,-106453.0,3961.0,-148869.0,-78093.6,144565.9,-75179.0,,,-65726.7,-150973.0,,True,,True,True,,False,True,False,False,False,False,,,True,False,
Georgia,279858,221300.0,206238.0,,245409.7,160054.0,,229847.0,324596.1,270491.6,154986.2,439872.0,291640.0,,,156649.1,184037.0,,-58558.0,-73620.0,,-34448.3,-119804.0,,-50011.0,44738.1,-9366.4,-124871.8,160014.0,11782.0,,,-123208.9,-95821.0,,False,,True,False,,True,True,True,False,False,True,,,False,False,
Hawaii,4861,4320.0,4867.0,,4497.5,1432.0,,,5043.2,5392.5,13576.2,4022.8,4558.0,,,2796.3,5154.0,4822.2,-541.0,6.0,,-363.5,-3429.0,,,182.2,531.5,8715.2,-838.2,-303.0,,,-2064.7,293.0,-38.8,True,,True,False,,,True,True,False,False,True,,,False,True,True
Idaho,30256,42185.0,30872.0,,44129.5,23307.0,,41334.0,59558.0,26981.8,32149.3,45522.1,34468.0,,,29091.2,21751.0,63039.9,11929.0,616.0,,13873.5,-6949.0,,11078.0,29302.0,-3274.2,1893.3,15266.1,4212.0,,,-1164.8,-8505.0,32783.9,True,,False,True,,True,False,True,True,False,True,,,True,True,False
Illinois,204160,263395.0,194142.0,,226750.4,129272.0,,255501.0,363203.5,134468.4,191568.0,206911.5,182449.0,,,227880.5,167436.0,,59235.0,-10018.0,,22590.4,-74888.0,,51341.0,159043.5,-69691.6,-12592.0,2751.5,-21711.0,,,23720.5,-36724.0,,True,,True,False,,True,False,False,True,True,True,,,True,True,
Indiana,150648,191675.0,133586.0,,199066.4,100585.0,,207884.0,284573.5,101398.2,121884.3,183657.5,149493.5,,,241032.0,135352.0,247624.5,41027.0,-17062.0,,48418.4,-50063.0,,57236.0,133925.5,-49249.8,-28763.7,33009.5,-1154.5,,,90384.0,-15296.0,96976.5,True,,False,False,,False,False,False,True,True,True,,,False,True,False
Iowa,45663,59750.0,44000.0,,46387.1,17417.0,,61234.0,78340.5,15924.4,47002.9,27643.8,40097.5,,,68613.4,38261.0,30918.6,14087.0,-1663.0,,724.1,-28246.0,,15571.0,32677.5,-29738.6,1339.9,-18019.2,-5565.5,,,22950.4,-7402.0,-14744.4,True,,True,False,,False,False,False,True,False,True,,,False,True,False
Kansas,65651,75945.0,54204.0,,70420.8,42287.0,,68133.0,97062.7,53050.5,51187.6,61164.6,110851.5,,,79978.1,51579.0,74587.1,10294.0,-11447.0,,4769.8,-23364.0,,2482.0,31411.7,-12600.5,-14463.4,-4486.4,45200.5,,,14327.1,-14072.0,8936.1,False,,True,False,,True,False,False,False,True,False,,,False,False,True
Kentucky,104004,99520.0,78569.0,,109534.8,82047.0,,104496.0,141354.7,108403.0,68930.3,91372.5,76084.0,,,87757.5,72839.0,122708.3,-4484.0,-25435.0,,5530.8,-21957.0,,492.0,37350.7,4399.0,-35073.7,-12631.5,-27920.0,,,-16246.5,-31165.0,18704.3,False,,False,False,,True,False,True,False,False,False,,,False,False,False
