,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,40292,59384.0,58437.4,57992.6,60113.0,73304.0,,56501.0,44331.0,79200.8,50714.3,,64144.9,64683.0,47613.0,61123.0,31744.1,56569.5,69656.7,51381.5,60513.3,58332.1,56860.4,65668.0,55968.0,,62804.7,,57457.1,,62076.9,64329.4,58326.6,67932.4,57460.0,71230.5,,19092.0,18145.4,17700.6,19821.0,33012.0,,16209.0,4039.0,38908.8,10422.3,,23852.9,24391.0,7321.0,20831.0,-8547.9,16277.5,29364.7,11089.5,20221.3,18040.1,16568.4,25376.0,15676.0,,22512.7,,17165.1,,21784.9,24037.4,18034.6,27640.4,17168.0,30938.5,,True,True,False,False,,True,True,False,True,,False,False,True,False,True,True,False,True,False,True,True,False,True,,False,,True,,False,False,True,False,True,False,
Alaska,3192,4314.0,5857.7,4050.3,4298.0,2418.0,,4226.0,23273.0,5812.4,5275.8,,4028.7,,11054.1,4991.0,2357.0,3494.5,2759.2,3459.0,4300.4,4352.1,4949.6,4869.0,4672.0,,3955.7,,3112.2,,5471.0,3615.5,5206.8,5562.4,3752.0,4619.8,,1122.0,2665.7,858.3,1106.0,-774.0,,1034.0,20081.0,2620.4,2083.8,,836.7,,7862.1,1799.0,-835.0,302.5,-432.8,267.0,1108.4,1160.1,1757.6,1677.0,1480.0,,763.7,,-79.8,,2279.0,423.5,2014.8,2370.4,560.0,1427.8,,False,True,True,True,,True,False,False,False,,True,,False,False,True,True,True,True,True,False,False,False,False,,True,,True,,False,True,False,False,True,False,
Arizona,108012,136390.0,103484.5,130311.2,131405.0,225841.0,,126529.8,94211.0,204058.8,148284.4,,184008.5,126556.0,174444.4,130622.0,77385.9,123092.0,135369.8,134622.0,135815.2,135444.9,106777.4,130535.0,130528.0,,145681.5,,112105.0,,124167.8,114210.5,107684.9,136998.8,121583.0,562808.1,,28378.0,-4527.5,22299.2,23393.0,117829.0,,18517.8,-13801.0,96046.8,40272.4,,75996.5,18544.0,66432.4,22610.0,-30626.1,15080.0,27357.8,26610.0,27803.2,27432.9,-1234.6,22523.0,22516.0,,37669.5,,4093.0,,16155.8,6198.5,-327.1,28986.8,13571.0,454796.1,,True,True,True,False,,True,True,False,False,,False,True,False,True,False,True,True,True,True,True,True,True,True,,False,,True,,True,True,True,False,True,False,
Arkansas,31249,40608.0,36497.3,41104.3,40776.0,43845.0,,40433.6,28334.0,59914.2,46411.9,,51368.7,48638.0,50128.9,40430.0,19290.8,38690.5,35539.8,37889.5,48965.8,33490.2,41104.7,43924.0,37066.0,,48871.9,,20752.4,,38983.7,40845.9,39936.0,45615.9,39268.0,49553.0,,9359.0,5248.3,9855.3,9527.0,12596.0,,9184.6,-2915.0,28665.2,15162.9,,20119.7,17389.0,18879.9,9181.0,-11958.2,7441.5,4290.8,6640.5,17716.8,2241.2,9855.7,12675.0,5817.0,,17622.9,,-10496.6,,7734.7,9596.9,8687.0,14366.9,8019.0,18304.0,,True,False,False,False,,True,True,False,False,,False,False,False,True,False,True,True,True,False,True,False,False,True,,False,,False,,True,False,True,False,True,False,
California,463545,573410.0,569827.2,571965.8,566230.0,844881.0,,575447.5,397769.0,1015727.3,523879.5,,638163.3,524612.0,468521.6,545584.0,359877.7,287847.0,576875.6,530110.5,600079.9,394086.6,504351.0,617010.0,520718.0,,586372.0,,661770.9,,555620.7,666222.8,508765.8,677133.9,603758.0,487326.1,,109865.0,106282.2,108420.8,102685.0,381336.0,,111902.5,-65776.0,552182.3,60334.5,,174618.3,61067.0,4976.6,82039.0,-103667.3,-175698.0,113330.6,66565.5,136534.9,-69458.4,40806.0,153465.0,57173.0,,122827.0,,198225.9,,92075.7,202677.8,45220.8,213588.9,140213.0,23781.1,,True,True,True,False,,False,True,False,True,,False,True,True,True,True,False,False,True,False,True,True,False,True,,False,,False,,True,False,True,False,False,True,
Colorado,26019,39550.0,41297.6,41609.5,36592.0,60614.0,,33373.7,10746.0,41008.3,43573.4,,39171.4,36336.0,28982.4,42761.0,15146.6,33459.0,24197.9,39745.5,44190.5,20113.4,37249.7,36755.0,33688.0,,36113.9,,16641.8,,47366.7,21838.2,45421.4,31419.6,35540.0,47087.9,,13531.0,15278.6,15590.5,10573.0,34595.0,,7354.7,-15273.0,14989.3,17554.4,,13152.4,10317.0,2963.4,16742.0,-10872.4,7440.0,-1821.1,13726.5,18171.5,-5905.6,11230.7,10736.0,7669.0,,10094.9,,-9377.2,,21347.7,-4180.8,19402.4,5400.6,9521.0,21068.9,,False,False,True,False,,True,False,False,False,,True,True,True,False,True,True,True,False,False,True,True,True,True,,True,,True,,False,True,False,True,True,False,
Connecticut,31821,31748.0,32550.7,31193.3,31853.0,45875.0,,30084.8,17895.0,205645.7,49161.9,,37098.8,34043.0,45988.3,36163.0,26694.4,25893.0,28894.3,25577.0,32192.0,26803.0,31699.4,34142.0,25713.0,,28419.5,,19362.6,,31831.6,36346.1,31234.9,34799.9,31050.0,34811.4,,-73.0,729.7,-627.7,32.0,14054.0,,-1736.2,-13926.0,173824.7,17340.9,,5277.8,2222.0,14167.3,4342.0,-5126.6,-5928.0,-2926.7,-6244.0,371.0,-5018.0,-121.6,2321.0,-6108.0,,-3401.5,,-12458.4,,10.6,4525.1,-586.1,2978.9,-771.0,2990.4,,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,True,False,False,False,False,False,
Delaware,9440,11204.0,11689.0,11013.2,11084.0,14846.0,,10120.7,6419.0,12473.7,13035.5,,12670.0,10086.0,9560.3,11485.0,5795.0,10089.5,9828.1,11343.0,12296.8,10694.3,12386.0,11176.0,10702.0,,12354.1,,12272.9,,9181.6,12426.8,12087.3,10845.3,10062.0,13645.0,,1764.0,2249.0,1573.2,1644.0,5406.0,,680.7,-3021.0,3033.7,3595.5,,3230.0,646.0,120.3,2045.0,-3645.0,649.5,388.1,1903.0,2856.8,1254.3,2946.0,1736.0,1262.0,,2914.1,,2832.9,,-258.4,2986.8,2647.3,1405.3,622.0,4205.0,,False,True,True,False,,True,False,False,False,,False,True,True,False,False,True,True,False,False,True,False,True,True,,False,,False,,True,False,False,True,True,False,
District of Columbia,3620,3896.0,3849.1,4010.8,3888.0,4233.0,,3589.7,2761.0,4018.0,3514.3,,4214.6,3647.0,4359.4,4139.0,3580.2,3419.5,3848.8,4065.5,4698.9,,,4115.0,3022.0,,4510.5,,5252.5,,3596.8,4145.5,4242.1,,3728.0,6204.6,,276.0,229.1,390.8,268.0,613.0,,-30.3,-859.0,398.0,-105.7,,594.6,27.0,739.4,519.0,-39.8,-200.5,228.8,445.5,1078.9,,,495.0,-598.0,,890.5,,1632.5,,-23.2,525.5,622.1,,108.0,2584.6,,True,False,True,False,,True,False,False,True,,False,True,False,False,True,True,True,False,False,,,False,False,,False,,False,,True,False,False,,True,False,
Florida,175217,219728.0,198508.7,221104.2,227575.0,300707.0,,227575.7,767771.0,302981.0,252998.5,,286787.0,204100.0,265451.3,,154936.4,200045.5,234254.7,213688.5,230349.6,169348.0,240357.1,240936.0,217968.0,,258324.5,,134594.1,,202263.8,226648.4,213713.0,274378.7,196765.0,261667.1,,44511.0,23291.7,45887.2,52358.0,125490.0,,52358.7,592554.0,127764.0,77781.5,,111570.0,28883.0,90234.3,,-20280.6,24828.5,59037.7,38471.5,55132.6,-5869.0,65140.1,65719.0,42751.0,,83107.5,,-40622.9,,27046.8,51431.4,38496.0,99161.7,21548.0,86450.1,,True,False,False,False,,False,False,False,False,,False,True,False,,True,True,False,True,False,True,False,False,True,,False,,True,,True,False,True,False,True,False,
Georgia,113306,127460.0,130791.4,127045.7,134880.0,152343.0,,136134.4,143346.0,162694.3,122347.2,,170058.3,131748.0,128397.7,124660.0,68349.1,94022.0,152027.4,157261.0,157317.8,118637.5,130711.6,156096.0,129840.0,,143808.7,,82223.3,,122507.8,142688.1,133998.8,119848.2,133456.0,144267.4,,14154.0,17485.4,13739.7,21574.0,39037.0,,22828.4,30040.0,49388.3,9041.2,,56752.3,18442.0,15091.7,11354.0,-44956.9,-19284.0,38721.4,43955.0,44011.8,5331.5,17405.6,42790.0,16534.0,,30502.7,,-31082.7,,9201.8,29382.1,20692.8,6542.2,20150.0,30961.4,,False,True,False,False,,False,False,False,True,,False,False,False,True,False,False,False,False,False,True,False,False,False,,False,,False,,True,False,False,True,False,False,
Hawaii,1828,2454.0,2120.7,2476.3,2498.0,2911.0,,2292.8,2092.0,3419.0,3011.9,,3382.7,,2672.6,2648.0,4889.1,2443.5,2164.6,2687.0,3066.9,2213.5,3099.0,2992.0,2524.0,,2682.9,,1891.3,,1999.2,2308.4,3335.0,3120.2,2488.0,2265.7,,626.0,292.7,648.3,670.0,1083.0,,464.8,264.0,1591.0,1183.9,,1554.7,,844.6,820.0,3061.1,615.5,336.6,859.0,1238.9,385.5,1271.0,1164.0,696.0,,854.9,,63.3,,171.2,480.4,1507.0,1292.2,660.0,437.7,,True,False,False,False,,True,True,False,False,,False,,False,False,False,True,True,False,False,True,False,False,False,,False,,True,,True,True,False,False,False,True,
Idaho,10090,14072.0,16527.7,14180.9,12900.0,17701.0,,12012.1,7511.0,28300.3,14404.9,,11297.2,13306.0,8664.9,14426.0,8795.9,12009.0,10831.6,10926.0,13996.4,11162.8,14905.5,14060.0,13330.0,,10158.3,,10141.8,,12436.2,12025.5,15375.6,16526.2,12237.0,16578.4,,3982.0,6437.7,4090.9,2810.0,7611.0,,1922.1,-2579.0,18210.3,4314.9,,1207.2,3216.0,-1425.1,4336.0,-1294.1,1919.0,741.6,836.0,3906.4,1072.8,4815.5,3970.0,3240.0,,68.3,,51.8,,2346.2,1935.5,5285.6,6436.2,2147.0,6488.4,,False,False,True,False,,True,True,False,False,,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,,True,,True,True,False,False,True,False,
Illinois,74488,97374.0,101388.8,94870.3,92018.0,131648.0,,85661.2,18110.0,92754.6,105553.2,,94589.8,92324.0,74643.3,90868.0,53669.9,78176.5,63063.1,92405.5,108694.5,57665.4,98688.1,94198.0,93252.0,,87680.7,,30984.2,,89067.8,72369.9,105565.8,102893.0,93867.0,117299.8,,22886.0,26900.8,20382.3,17530.0,57160.0,,11173.2,-56378.0,18266.6,31065.2,,20101.8,17836.0,155.3,16380.0,-20818.1,3688.5,-11424.9,17917.5,34206.5,-16822.6,24200.1,19710.0,18764.0,,13192.7,,-43503.8,,14579.8,-2118.1,31077.8,28405.0,19379.0,42811.8,,False,True,True,False,,True,False,True,False,,True,True,True,True,True,True,True,True,False,True,False,True,True,,True,,False,,True,True,False,False,True,False,
Indiana,49959,70940.0,78238.8,71709.8,71395.0,91999.0,,64656.0,34890.0,85484.5,77912.9,,75049.8,70122.0,61253.0,77698.0,37617.8,63700.0,57037.7,72023.0,85767.2,52250.0,71336.2,72924.0,64730.0,,78725.8,,29835.0,,77175.1,59861.1,76042.9,80309.5,66823.0,89551.4,,20981.0,28279.8,21750.8,21436.0,42040.0,,14697.0,-15069.0,35525.5,27953.9,,25090.8,20163.0,11294.0,27739.0,-12341.2,13741.0,7078.7,22064.0,35808.2,2291.0,21377.2,22965.0,14771.0,,28766.8,,-20124.0,,27216.1,9902.1,26083.9,30350.5,16864.0,39592.4,,False,False,False,False,,True,True,False,False,,False,True,True,False,True,True,True,False,False,True,False,False,True,,False,,True,,False,True,False,False,True,False,
Iowa,16451,24552.0,22268.3,24092.7,22671.0,29615.0,,21100.0,129187.0,20453.5,23766.9,,22931.6,22620.0,15542.0,28875.0,13586.0,13952.0,21665.5,21110.0,26393.6,17847.3,23600.7,23341.0,26785.0,,19813.3,,7299.6,,26051.7,14986.9,31717.7,26025.5,19635.0,23164.4,,8101.0,5817.3,7641.7,6220.0,13164.0,,4649.0,112736.0,4002.5,7315.9,,6480.6,6169.0,-909.0,12424.0,-2865.0,-2499.0,5214.5,4659.0,9942.6,1396.3,7149.7,6890.0,10334.0,,3362.3,,-9151.4,,9600.7,-1464.1,15266.7,9574.5,3184.0,6713.4,,True,True,True,False,,True,False,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,,False,,False,True,False,False,True,True,
Kansas,24325,26668.0,32129.5,25123.9,25922.0,22508.0,,26069.9,81568.0,8143.5,35022.0,,40420.2,31802.0,52838.6,28150.0,16999.3,19426.5,22211.3,522.0,25263.5,27261.2,26805.4,33433.0,23382.0,,25530.8,,10382.9,,25101.7,32552.0,32910.4,39296.8,26602.0,31614.5,,2343.0,7804.5,798.9,1597.0,-1817.0,,1744.9,57243.0,-16181.5,10697.0,,16095.2,7477.0,28513.6,3825.0,-7325.7,-4898.5,-2113.7,-23803.0,938.5,2936.2,2480.4,9108.0,-943.0,,1205.8,,-13942.1,,776.7,8227.0,8585.4,14971.8,2277.0,7289.5,,False,True,True,True,,True,False,False,False,,False,False,False,False,False,False,True,False,True,False,False,False,True,,True,,False,,True,False,False,False,True,False,
Kentucky,44170,52854.0,48887.2,50094.4,51576.0,69351.0,,47030.6,24527.0,177472.0,59296.1,,62524.7,51658.0,65330.1,71318.0,26159.3,41368.0,35613.3,63283.5,54496.8,39551.2,50209.5,58928.0,49596.0,,57487.9,,22897.3,,46749.4,33923.2,58279.3,55902.4,44625.0,60904.1,,8684.0,4717.2,5924.4,7406.0,25181.0,,2860.6,-19643.0,133302.0,15126.1,,18354.7,7488.0,21160.1,27148.0,-18010.7,-2802.0,-8556.7,19113.5,10326.8,-4618.8,6039.5,14758.0,5426.0,,13317.9,,-21272.7,,2579.4,-10246.8,14109.3,11732.4,455.0,16734.1,,True,True,True,False,,True,False,False,False,,False,True,False,False,False,True,True,False,False,True,True,False,True,,False,,False,,True,False,False,False,True,False,
Louisiana,38824,52312.0,41894.4,51002.9,50727.0,71614.0,,49365.2,32767.0,162549.0,52230.1,,62195.1,52069.0,62193.8,60252.0,25669.5,40705.0,44138.9,42050.5,51515.5,43736.1,49879.0,51121.0,53421.0,,53835.2,,38047.2,,49113.3,40577.2,52767.6,47485.0,43886.0,51095.4,,13488.0,3070.4,12178.9,11903.0,32790.0,,10541.2,-6057.0,123725.0,13406.1,,23371.1,13245.0,23369.8,21428.0,-13154.5,1881.0,5314.9,3226.5,12691.5,4912.1,11055.0,12297.0,14597.0,,15011.2,,-776.8,,10289.3,1753.2,13943.6,8661.0,5062.0,12271.4,,True,True,True,False,,True,True,False,True,,False,True,False,False,True,True,True,True,True,True,True,True,False,,False,,True,,True,True,False,True,True,True,
Maine,7579,7548.0,6879.3,7597.7,7804.0,8147.0,,7619.4,6657.0,8463.9,9791.3,,8440.1,7226.0,8960.5,8458.0,9141.3,8012.0,11627.8,6643.5,7578.3,9450.1,9331.6,10473.0,6590.0,,7903.4,,10145.6,,7051.1,9551.9,7588.0,8403.0,8639.0,9088.8,,-31.0,-699.7,18.7,225.0,568.0,,40.4,-922.0,884.9,2212.3,,861.1,-353.0,1381.5,879.0,1562.3,433.0,4048.8,-935.5,-0.7,1871.1,1752.6,2894.0,-989.0,,324.4,,2566.6,,-527.9,1972.9,9.0,824.0,1060.0,1509.8,,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,,False,,False,False,True,False,False,False,
Maryland,35943,40386.0,39082.4,41074.9,42325.0,46666.0,,38437.6,75500.0,48021.0,48250.4,,54690.4,41934.0,42189.1,40445.0,30619.7,38220.0,38171.8,46280.0,53503.8,32353.9,44761.9,43912.0,41185.0,,44879.2,,49893.4,,43496.2,45032.7,44371.1,50419.5,40966.0,53442.1,,4443.0,3139.4,5131.9,6382.0,10723.0,,2494.6,39557.0,12078.0,12307.4,,18747.4,5991.0,6246.1,4502.0,-5323.3,2277.0,2228.8,10337.0,17560.8,-3589.1,8818.9,7969.0,5242.0,,8936.2,,13950.4,,7553.2,9089.7,8428.1,14476.5,5023.0,17499.1,,True,False,False,False,,True,False,False,False,,False,False,False,False,False,True,True,False,False,True,False,False,False,,False,,False,,False,False,False,False,False,False,
Massachusetts,68958,85908.0,77731.2,86032.5,86178.0,121052.0,,77612.3,60941.0,85977.8,89607.4,,104215.5,80609.0,87605.4,89694.0,44335.9,74952.0,78735.8,88299.0,95922.5,57767.1,88586.3,72641.0,77049.0,,100654.3,,80517.9,,101825.4,91753.9,80957.6,90323.9,86339.0,111957.3,,16950.0,8773.2,17074.5,17220.0,52094.0,,8654.3,-8017.0,17019.8,20649.4,,35257.5,11651.0,18647.4,20736.0,-24622.1,5994.0,9777.8,19341.0,26964.5,-11190.9,19628.3,3683.0,8091.0,,31696.3,,11559.9,,32867.4,22795.9,11999.6,21365.9,17381.0,42999.3,,True,False,False,False,,True,True,False,False,,False,True,False,False,False,True,True,False,False,True,False,True,True,,False,,True,,False,False,True,False,False,False,
Michigan,34193,48864.0,58618.1,51111.6,48374.0,74186.0,,43590.0,14625.0,88195.4,48129.7,,48709.0,54208.0,51712.0,62346.0,52946.3,37787.0,30815.8,43284.5,45727.7,39779.4,45895.5,51584.0,43645.0,,41874.3,,17048.5,,62458.6,26980.2,60723.8,48096.4,48598.0,57329.6,,14671.0,24425.1,16918.6,14181.0,39993.0,,9397.0,-19568.0,54002.4,13936.7,,14516.0,20015.0,17519.0,28153.0,18753.3,3594.0,-3377.2,9091.5,11534.7,5586.4,11702.5,17391.0,9452.0,,7681.3,,-17144.5,,28265.6,-7212.8,26530.8,13903.4,14405.0,23136.6,,False,False,True,False,,True,False,False,True,,True,False,False,False,False,True,True,True,True,True,True,False,True,,True,,False,,False,True,False,True,True,False,
Minnesota,19395,33162.0,38770.4,35689.8,30889.0,51027.0,,27341.8,7494.0,31335.0,32982.0,,28132.3,31273.0,22249.8,38631.0,22664.1,23322.5,10801.0,28103.5,31849.7,22751.3,32876.4,28273.0,33952.0,,29907.6,,9574.0,,34766.9,3111.9,34996.8,34595.1,26926.0,39530.4,,13767.0,19375.4,16294.8,11494.0,31632.0,,7946.8,-11901.0,11940.0,13587.0,,8737.3,11878.0,2854.8,19236.0,3269.1,3927.5,-8594.0,8708.5,12454.7,3356.3,13481.4,8878.0,14557.0,,10512.6,,-9821.0,,15371.9,-16283.1,15601.8,15200.1,7531.0,20135.4,,False,False,True,False,,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,False,False,False,False,True,False,
