,actual_deaths,Baseline,Covid19Sim-Simulator,error-Baseline,error-Covid19Sim-Simulator,beat_baseline-Covid19Sim-Simulator
Alabama,2664,1802.0,1616.7,-862.0,-1047.3,False
Alaska,60,10.0,11.3,-50.0,-48.7,True
Arizona,5759,3203.7,2328.4,-2555.3,-3430.6,False
Arkansas,1552,473.4,383.6,-1078.6,-1168.4,False
California,16567,13960.6,8952.1,-2607.4,-7615.9,False
Colorado,2112,3655.3,2031.8,1543.3,-80.2,True
Connecticut,4530,9352.3,5111.7,4822.3,581.7,True
Delaware,653,1040.9,552.7,387.9,-100.3,True
District of Columbia,636,1405.0,638.7,769.0,2.7,True
Florida,15186,7479.3,3565.3,-7706.7,-11620.7,False
Georgia,7393,6136.0,3042.9,-1257.0,-4350.1,False
Hawaii,168,17.0,18.1,-151.0,-149.9,True
Idaho,507,198.1,151.9,-308.9,-355.1,False
Illinois,9221,18339.0,8987.5,9118.0,-233.5,True
Indiana,3782,6443.9,2872.9,2661.9,-909.1,True
Iowa,1459,2541.0,792.3,1082.0,-666.7,True
Kansas,773,403.6,380.0,-369.4,-393.0,False
Kentucky,1249,1522.9,626.5,273.9,-622.5,False
Louisiana,5635,6662.4,3715.7,1027.4,-1919.3,False
Maine,143,236.9,221.1,93.9,78.1,True
Maryland,3995,7936.3,5205.0,3941.3,1210.0,True
Massachusetts,9587,17789.9,9043.4,8202.9,-543.6,True
Michigan,7219,11919.9,6420.5,4938.9,-560.5,True
Minnesota,2184,3797.0,2194.4,1613.0,10.4,True
Mississippi,3096,2690.1,1553.4,-405.9,-1542.6,False
Missouri,2424,2393.7,927.3,51.7,-1414.7,False
Montana,209,16.0,17.0,-193.0,-192.0,True
Nebraska,519,623.6,486.3,104.6,-32.7,True
Nevada,1659,975.7,514.9,-683.3,-1144.1,False
New Hampshire,455,943.7,293.8,488.7,-161.2,True
New Jersey,16171,26527.3,13003.6,12145.3,-1378.4,True
New Mexico,907,1349.6,562.0,442.6,-345.0,True
New York,33466,47191.1,32680.6,14709.1,198.6,True
North Carolina,3765,2730.0,2771.9,-1035.0,-993.1,True
North Dakota,336,251.6,180.6,-84.4,-155.4,False
Ohio,4997,8799.9,3788.0,3802.9,-1209.0,True
Oklahoma,1095,767.7,458.3,-327.3,-636.7,False
Oregon,599,366.4,183.3,-232.6,-415.7,False
Pennsylvania,8324,17864.4,6939.5,9540.4,-1384.5,True
Rhode Island,1130,2772.4,863.5,1653.4,-255.5,True
South Carolina,3551,1427.9,793.9,-2123.1,-2757.1,False
South Dakota,286,169.1,181.4,-116.9,-104.6,True
Tennessee,2758,1090.6,1059.9,-1667.4,-1698.1,False
Texas,16943,5201.6,4758.4,-11654.4,-12097.6,False
Utah,510,434.6,619.9,-75.4,109.9,False
Vermont,58,54.0,56.4,-4.0,-1.6,True
Virginia,3354,4368.0,2513.0,1014.0,-841.0,True
Washington,2190,2252.4,1526.7,62.4,-663.3,False
West Virginia,387,171.3,99.3,-215.7,-287.7,False
Wisconsin,1568,1641.9,1208.8,127.9,-305.2,False
Wyoming,54,91.4,31.6,37.4,-22.4,True
US,214656,259714.6,147212.7,48302.6,-64199.3,False
