,mean_rank
COVIDhub-ensemble,11.6
SteveMcConnell-CovidComplete,12.5
JCB-PRM,13.1
OliverWyman-Navigator,14.1
Covid19Sim-Simulator,14.5
UMass-MechBayes,14.6
YYG-ParamSearch,14.6
USC-SI_kJalpha,15.0
Karlen-pypm,15.0
GT-DeepCOVID,15.4
CEID-Walk,15.6
COVIDhub-baseline,16.1
UCLA-SuEIR,16.2
UA-EpiCovDA,16.8
CMU-TimeSeries,17.0
DDS-NBDS,17.2
Columbia_UNC-SurvCon,17.7
UCSD_NEU-DeepGLEAM,18.5
MOBS-GLEAM_COVID,18.6
MIT_CritData-GBCF,18.8
JHU_IDD-CovidSP,19.5
IowaStateLW-STEM,19.9
CU-select,20.2
LNQ-ens1,21.2
CovidAnalytics-DELPHI,21.3
NotreDame-mobility,21.5
LANL-GrowthRate,21.8
PSI-DRAFT,21.8
epiforecasts-ensemble1,22.5
MITCovAlliance-SIR,22.7
UT-Mobility,23.5
USACE-ERDC_SEIR,23.6
JHUAPL-Bucky,24.2
UMich-RidgeTfReg,24.2
WalmartLabsML-LogForecasting,25.4
RobertWalraven-ESG,28.0
TTU-squider,28.9
