,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2664,2682.7,2698.7,2868.0,2698.3,2693.0,3632.0,2695.0,2598.3,2761.0,2735.0,2664.4,2740.3,,2468.4,3026.0,2695.5,2687.0,2746.4,2645.2,2637.7,2615.0,2620.8,2842.0,2741.1,,2778.8,2694.4,2649.0,,2690.8,2587.0,,2680.0,2658.0,2672.5,,2753.3,2682.0,2750.7,2967.3,2636.0,2704.0,2657.4,2655.8,2485.0,18.7,34.7,204.0,34.3,29.0,968.0,31.0,-65.7,97.0,71.0,0.4,76.3,,-195.6,362.0,31.5,23.0,82.4,-18.8,-26.3,-49.0,-43.2,178.0,77.1,,114.8,30.4,-15.0,,26.8,-77.0,,16.0,-6.0,8.5,,89.3,18.0,86.7,303.3,-28.0,40.0,-6.6,-8.2,-179.0,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False,,True,True,True,,False,True,False,False,False,False,True,True,False
Alaska,60,47.9,49.2,53.0,48.0,55.0,45.0,58.0,55.6,57.0,63.2,53.5,78.9,,50.3,,55.1,55.7,74.4,52.3,53.8,45.5,74.9,93.0,57.3,,54.0,47.9,48.0,,,47.4,,51.0,63.0,48.7,,67.1,55.0,50.0,56.9,50.0,122.0,50.0,52.9,,-12.1,-10.8,-7.0,-12.0,-5.0,-15.0,-2.0,-4.4,-3.0,3.2,-6.5,18.9,,-9.7,,-4.9,-4.3,14.4,-7.7,-6.2,-14.5,14.9,33.0,-2.7,,-6.0,-12.1,-12.0,,,-12.6,,-9.0,3.0,-11.3,,7.1,-5.0,-10.0,-3.1,-10.0,62.0,-10.0,-7.1,,True,True,True,True,False,True,True,True,True,True,False,,True,,True,True,False,True,True,False,False,False,True,,True,True,True,,,False,,True,True,True,,True,True,True,True,True,False,True,True,
Arizona,5759,5919.9,5817.4,5822.0,5858.8,5845.0,6014.0,5894.0,5770.4,5911.0,6073.7,,5808.7,,5836.1,5912.0,5779.0,5676.3,5704.1,5818.7,5951.8,5767.7,5756.4,5719.0,5761.2,,5740.4,6025.5,5719.0,,5884.3,5740.0,,5876.0,6006.0,5844.8,,5773.4,5834.0,6134.9,5766.6,6031.0,5972.0,5861.2,5741.2,5683.0,160.9,58.4,63.0,99.8,86.0,255.0,135.0,11.4,152.0,314.7,,49.7,,77.1,153.0,20.0,-82.7,-54.9,59.7,192.8,8.7,-2.6,-40.0,2.2,,-18.6,266.5,-40.0,,125.3,-19.0,,117.0,247.0,85.8,,14.4,75.0,375.9,7.6,272.0,213.0,102.2,-17.8,-76.0,True,True,True,True,False,True,True,True,False,,True,,True,True,True,True,True,True,False,True,True,True,True,,True,False,True,,True,True,,True,False,True,,True,True,False,True,False,False,True,True,True
Arkansas,1552,1752.4,1811.1,1435.0,1817.0,1458.0,1474.0,2675.0,1667.8,1378.0,1550.1,,1352.4,,1231.6,1673.0,1577.8,1376.9,1466.9,1425.0,1346.6,1534.6,1392.5,1507.0,1516.0,,1362.7,1414.1,1677.0,,1462.5,1294.6,,1657.0,1900.0,1650.2,,1954.6,1348.0,1437.5,1363.8,1437.0,1569.0,1367.4,1363.9,1158.0,200.4,259.1,-117.0,265.0,-94.0,-78.0,1123.0,115.8,-174.0,-1.9,,-199.6,,-320.4,121.0,25.8,-175.1,-85.1,-127.0,-205.4,-17.4,-159.5,-45.0,-36.0,,-189.3,-137.9,125.0,,-89.5,-257.4,,105.0,348.0,98.2,,402.6,-204.0,-114.5,-188.2,-115.0,17.0,-184.6,-188.1,-394.0,False,True,False,True,True,False,True,True,True,,True,,False,True,True,True,True,True,False,True,True,True,True,,True,True,True,,True,False,,True,False,True,,False,False,True,True,True,True,True,True,False
California,16567,16838.9,17054.8,16866.0,17091.5,16621.0,16497.0,16175.0,16080.6,16900.0,16551.1,16673.9,16181.1,,16744.4,17110.0,16354.4,15850.2,16908.1,16554.9,16326.4,16604.5,16970.0,16507.0,16518.5,,15386.9,16952.5,16912.0,,16907.5,15905.8,,16700.0,16621.0,16857.5,19722.0,16527.3,16478.0,16973.6,16487.7,16434.0,16067.5,16324.6,16475.2,,271.9,487.8,299.0,524.5,54.0,-70.0,-392.0,-486.4,333.0,-15.9,106.9,-385.9,,177.4,543.0,-212.6,-716.8,341.1,-12.1,-240.6,37.5,403.0,-60.0,-48.5,,-1180.1,385.5,345.0,,340.5,-661.2,,133.0,54.0,290.5,3155.0,-39.7,-89.0,406.6,-79.3,-133.0,-499.5,-242.4,-91.8,,False,False,False,True,True,False,False,False,True,True,False,,True,False,True,False,False,True,True,True,False,True,True,,False,False,False,,False,False,,True,True,False,False,True,True,False,True,True,False,True,True,
Colorado,2112,2088.3,2081.5,2095.0,2092.1,2096.0,2201.0,2147.0,2080.7,2044.0,2079.4,2104.2,2128.6,,2075.1,2118.0,2088.6,2251.1,2146.1,2087.0,2095.8,2085.1,2080.3,2135.0,2081.5,,2125.8,2119.8,2084.0,,2076.9,2101.1,,2096.0,2139.0,2073.8,,2093.8,2116.0,2194.6,2270.7,2101.0,2088.0,2061.1,2095.8,2075.0,-23.7,-30.5,-17.0,-19.9,-16.0,89.0,35.0,-31.3,-68.0,-32.6,-7.8,16.6,,-36.9,6.0,-23.4,139.1,34.1,-25.0,-16.2,-26.9,-31.7,23.0,-30.5,,13.8,7.8,-28.0,,-35.1,-10.9,,-16.0,27.0,-38.2,,-18.2,4.0,82.6,158.7,-11.0,-24.0,-50.9,-16.2,-37.0,False,True,True,True,False,False,False,False,False,True,True,,False,True,True,False,False,False,True,False,False,True,False,,True,True,False,,False,True,,True,False,False,,True,True,False,False,True,False,False,True,False
Connecticut,4530,4526.3,4528.1,4529.0,4548.4,4528.0,4594.0,4556.0,4519.9,4494.0,4520.4,4529.2,4581.3,,4500.6,4567.0,4522.9,4650.0,4566.7,4516.5,4503.2,4520.9,4547.4,4529.0,4514.4,,4526.2,4539.6,4508.0,,4521.8,4504.3,,4531.0,4559.0,4520.9,,4526.7,4516.0,4782.5,4759.8,4525.0,4504.0,4509.7,4525.7,4511.0,-3.7,-1.9,-1.0,18.4,-2.0,64.0,26.0,-10.1,-36.0,-9.6,-0.8,51.3,,-29.4,37.0,-7.1,120.0,36.7,-13.5,-26.8,-9.1,17.4,-1.0,-15.6,,-3.8,9.6,-22.0,,-8.2,-25.7,,1.0,29.0,-9.1,,-3.3,-14.0,252.5,229.8,-5.0,-26.0,-20.3,-4.3,-19.0,True,True,False,True,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,True,False,False,,True,False,False,False,False,False,False,False,False
Delaware,653,638.1,643.9,641.0,647.2,642.0,659.0,662.0,638.8,624.0,642.8,643.1,655.3,,630.6,648.0,639.4,663.5,639.4,635.9,629.5,632.4,634.1,644.0,637.0,,639.1,644.0,629.0,,,634.4,,644.0,653.0,640.5,,649.4,635.0,697.5,689.2,641.0,664.0,636.2,636.7,630.0,-14.9,-9.1,-12.0,-5.8,-11.0,6.0,9.0,-14.2,-29.0,-10.2,-9.9,2.3,,-22.4,-5.0,-13.6,10.5,-13.6,-17.1,-23.5,-20.6,-18.9,-9.0,-16.0,,-13.9,-9.0,-24.0,,,-18.6,,-9.0,0.0,-12.5,,-3.6,-18.0,44.5,36.2,-12.0,11.0,-16.8,-16.3,-23.0,True,True,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,False,False,False,False,True,False,,True,True,False,,,False,,True,True,True,,True,False,False,False,True,True,False,False,False
District of Columbia,636,631.4,631.5,627.0,630.4,630.0,622.0,636.0,630.0,624.0,638.5,636.2,632.3,,634.4,630.0,629.8,656.7,628.5,631.4,628.9,625.3,629.5,632.0,,,630.8,629.0,627.0,,,624.6,,630.0,654.0,627.2,,,631.0,,662.9,629.0,640.0,625.9,629.9,,-4.6,-4.5,-9.0,-5.6,-6.0,-14.0,0.0,-6.0,-12.0,2.5,0.2,-3.7,,-1.6,-6.0,-6.2,20.7,-7.5,-4.6,-7.1,-10.7,-6.5,-4.0,,,-5.2,-7.0,-9.0,,,-11.4,,-6.0,18.0,-8.8,,,-5.0,,26.9,-7.0,4.0,-10.1,-6.1,,True,False,False,False,False,True,False,False,True,True,True,,True,False,False,False,False,False,False,False,False,True,,,False,False,False,,,False,,False,False,False,,,False,,False,False,True,False,False,
Florida,15186,15261.7,15300.2,15169.0,15347.7,14916.0,14673.0,15394.0,14919.9,14769.0,15059.2,14939.8,14084.0,,15336.8,15579.0,14627.1,13790.2,15199.7,14472.8,14895.7,15015.9,17106.8,14887.0,14387.5,,14822.7,15036.2,14687.0,,15333.4,13825.6,,15189.0,15492.0,15118.0,,14419.3,14916.0,15416.8,14341.7,15013.0,14653.5,14611.9,14808.8,13944.0,75.7,114.2,-17.0,161.7,-270.0,-513.0,208.0,-266.1,-417.0,-126.8,-246.2,-1102.0,,150.8,393.0,-558.9,-1395.8,13.7,-713.2,-290.3,-170.1,1920.8,-299.0,-798.5,,-363.3,-149.8,-499.0,,147.4,-1360.4,,3.0,306.0,-68.0,,-766.7,-270.0,230.8,-844.3,-173.0,-532.5,-574.1,-377.2,-1242.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,,False,False,,True,False,True,,False,False,False,False,False,False,False,False,False
