,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2664,2586.7,2773.1,4038.0,,2436.4,3679.8,-77.3,109.1,1374.0,,-227.6,1015.8,False,False,,False,False
Alaska,60,29.9,102.4,,,32.8,43.5,-30.1,42.4,,,-27.2,-16.5,False,,,True,True
Arizona,5759,7534.1,8789.1,5236.0,,5591.2,6209.2,1775.1,3030.1,-523.0,,-167.8,450.2,False,True,,True,True
Arkansas,1552,758.1,972.2,1496.0,,544.1,1135.3,-793.9,-579.8,-56.0,,-1007.9,-416.7,True,True,,False,True
California,16567,15768.1,21509.3,11304.0,,13463.7,18602.6,-798.9,4942.3,-5263.0,,-3103.3,2035.6,False,False,,False,False
Colorado,2112,2033.6,2277.7,2082.0,,1973.0,2371.9,-78.4,165.7,-30.0,,-139.0,259.9,False,True,,False,False
Connecticut,4530,4515.1,4462.1,4514.0,,4484.7,4465.0,-14.9,-67.9,-16.0,,-45.3,-65.0,False,False,,False,False
Delaware,653,581.3,777.3,631.0,,674.9,651.5,-71.7,124.3,-22.0,,21.9,-1.5,False,True,,True,True
District of Columbia,636,683.7,597.7,603.0,,632.4,679.6,47.7,-38.3,-33.0,,-3.6,43.6,True,True,,True,True
Florida,15186,10812.0,27661.8,9125.0,,12830.4,13772.4,-4374.0,12475.8,-6061.0,,-2355.6,-1413.6,False,False,,True,True
Georgia,7393,4841.6,8768.2,5762.0,,4837.0,6553.3,-2551.4,1375.2,-1631.0,,-2556.0,-839.7,True,True,,False,True
Hawaii,168,19.0,80.2,,,23.2,33.9,-149.0,-87.8,,,-144.8,-134.1,True,,,True,True
Idaho,507,217.7,1111.1,378.0,,173.6,343.1,-289.3,604.1,-129.0,,-333.4,-163.9,False,True,,False,True
Illinois,9221,12119.4,8259.8,8840.0,,9584.8,8472.6,2898.4,-961.2,-381.0,,363.8,-748.4,True,True,,True,True
Indiana,3782,3621.4,3916.1,3576.0,,3433.4,3867.6,-160.6,134.1,-206.0,,-348.6,85.6,True,False,,False,True
Iowa,1459,1150.6,1662.7,1085.0,,993.5,1160.4,-308.4,203.7,-374.0,,-465.5,-298.6,True,False,,False,True
Kansas,773,464.1,1184.8,835.0,,435.3,543.2,-308.9,411.8,62.0,,-337.7,-229.8,False,True,,False,True
Kentucky,1249,1139.3,1225.3,1071.0,,893.2,1562.0,-109.7,-23.7,-178.0,,-355.8,313.0,True,False,,False,False
Louisiana,5635,5061.7,6341.1,7901.0,,4396.2,5516.8,-573.3,706.1,2266.0,,-1238.8,-118.2,False,False,,False,True
Maine,143,178.3,129.0,118.0,,132.7,172.9,35.3,-14.0,-25.0,,-10.3,29.9,True,True,,True,True
Maryland,3995,4296.1,3731.8,3651.0,,4092.8,4047.5,301.1,-263.2,-344.0,,97.8,52.5,True,False,,True,True
Massachusetts,9587,10150.7,8538.9,11559.0,,9073.4,9005.2,563.7,-1048.1,1972.0,,-513.6,-581.8,False,False,,True,False
Michigan,7219,7548.3,7088.5,6743.0,,7009.2,7702.0,329.3,-130.5,-476.0,,-209.8,483.0,True,False,,True,False
Minnesota,2184,1951.4,2364.9,2493.0,,1836.8,2088.1,-232.6,180.9,309.0,,-347.2,-95.9,True,False,,False,True
Mississippi,3096,3023.3,2920.2,2700.0,,2161.6,2749.9,-72.7,-175.8,-396.0,,-934.4,-346.1,False,False,,False,False
Missouri,2424,1619.1,2045.0,1783.0,,2076.3,1985.7,-804.9,-379.0,-641.0,,-347.7,-438.3,True,True,,True,True
Montana,209,106.1,317.4,64.0,,99.2,151.0,-102.9,108.4,-145.0,,-109.8,-58.0,False,False,,False,True
Nebraska,519,297.9,464.5,486.0,,334.7,429.6,-221.1,-54.5,-33.0,,-184.3,-89.4,True,True,,True,True
Nevada,1659,1351.6,2128.2,1054.0,,980.8,1885.6,-307.4,469.2,-605.0,,-678.2,226.6,False,False,,False,True
New Hampshire,455,519.6,448.6,468.0,,513.8,449.4,64.6,-6.4,13.0,,58.8,-5.6,True,True,,True,True
New Jersey,16171,19562.1,16389.7,19535.0,,16784.9,16625.2,3391.1,218.7,3364.0,,613.9,454.2,True,True,,True,True
New Mexico,907,956.4,1018.2,1314.0,,892.2,977.3,49.4,111.2,407.0,,-14.8,70.3,False,False,,True,False
