,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,2664,1799.1,2082.2,1430.4,882.0,-864.9,-581.8,-1233.6,-1782.0,True,False,False
Alaska,60,10.0,15.1,14.4,,-50.0,-44.9,-45.6,,True,True,
Arizona,5759,3622.4,2293.3,8393.4,1925.0,-2136.6,-3465.7,2634.4,-3834.0,False,False,False
Arkansas,1552,529.0,612.9,4091.3,587.0,-1023.0,-939.1,2539.3,-965.0,True,False,True
California,16567,12846.3,12513.5,11770.2,6704.0,-3720.7,-4053.5,-4796.8,-9863.0,False,False,False
Colorado,2112,2991.3,1959.9,2335.4,1723.0,879.3,-152.1,223.4,-389.0,True,True,True
Connecticut,4530,6338.9,4680.3,4330.1,4427.0,1808.9,150.3,-199.9,-103.0,True,True,True
Delaware,653,969.4,485.1,517.5,466.0,316.4,-167.9,-135.5,-187.0,True,True,True
District of Columbia,636,899.7,611.0,643.7,652.0,263.7,-25.0,7.7,16.0,True,True,True
Florida,15186,7146.4,4226.1,6955.6,4614.0,-8039.6,-10959.9,-8230.4,-10572.0,False,False,False
Georgia,7393,4447.9,3352.9,8203.2,2626.0,-2945.1,-4040.1,810.2,-4767.0,False,True,False
Hawaii,168,17.0,17.8,2040.4,,-151.0,-150.2,1872.4,,True,False,
Idaho,507,100.9,182.5,504.6,84.0,-406.1,-324.5,-2.4,-423.0,True,True,False
Illinois,9221,15082.6,7735.4,7853.0,7756.0,5861.6,-1485.6,-1368.0,-1465.0,True,True,True
Indiana,3782,5320.9,2868.4,3299.4,2433.0,1538.9,-913.6,-482.6,-1349.0,True,True,True
Iowa,1459,1855.0,986.0,3397.0,858.0,396.0,-473.0,1938.0,-601.0,False,False,False
Kansas,773,554.4,328.3,1624.1,331.0,-218.6,-444.7,851.1,-442.0,False,False,False
Kentucky,1249,1166.4,678.6,1253.0,559.0,-82.6,-570.4,4.0,-690.0,False,True,False
Louisiana,5635,5525.3,3607.1,3260.4,3412.0,-109.7,-2027.9,-2374.6,-2223.0,False,False,False
Maine,143,277.6,185.3,2260.3,127.0,134.6,42.3,2117.3,-16.0,True,False,True
Maryland,3995,6624.0,4885.1,3843.4,3731.0,2629.0,890.1,-151.6,-264.0,True,True,True
Massachusetts,9587,15708.9,9064.7,8160.9,8827.0,6121.9,-522.3,-1426.1,-760.0,True,True,True
Michigan,7219,13109.3,6197.0,7029.9,7900.0,5922.3,-990.0,-157.1,713.0,True,True,True
Minnesota,2184,3822.0,1842.8,3534.1,3681.0,1638.0,-341.2,1350.1,1497.0,True,True,True
Mississippi,3096,2299.1,1379.3,1503.5,1000.0,-796.9,-1716.7,-1592.5,-2096.0,False,False,False
Missouri,2424,1511.4,1102.8,1402.9,1031.0,-877.6,-1286.2,-986.1,-1358.0,False,False,False
Montana,209,35.9,19.8,20.2,19.0,-173.1,-189.2,-188.8,-190.0,False,False,False
Nebraska,519,490.6,516.6,4175.9,274.0,-28.4,-2.4,3656.9,-245.0,True,False,False
Nevada,1659,813.0,577.8,876.4,562.0,-846.0,-1081.2,-782.6,-1097.0,False,True,False
New Hampshire,455,1018.1,343.5,740.0,315.0,563.1,-111.5,285.0,-140.0,True,True,True
New Jersey,16171,20711.7,12936.3,13316.3,13611.0,6380.7,-1394.7,-1014.7,-720.0,True,True,True
New Mexico,907,1110.3,560.8,917.5,507.0,203.3,-346.2,10.5,-400.0,False,True,False
New York,33293,40909.7,32151.4,31822.2,32514.0,8468.7,-289.6,-618.8,73.0,True,True,True
North Carolina,3765,2728.4,3588.6,14835.7,2133.0,-1036.6,-176.4,11070.7,-1632.0,True,False,False
North Dakota,336,268.4,127.9,296.2,149.0,-67.6,-208.1,-39.8,-187.0,False,True,False
Ohio,4997,6379.0,3368.3,5116.9,3085.0,1382.0,-1628.7,119.9,-1912.0,False,True,False
Oklahoma,1095,598.0,427.0,510.1,453.0,-497.0,-668.0,-584.9,-642.0,False,False,False
