,mean_rank
COVIDhub-ensemble,13.7
UMass-MechBayes,14.4
LNQ-ens1,14.5
Karlen-pypm,15.1
YYG-ParamSearch,15.5
JCB-PRM,15.5
CMU-TimeSeries,16.2
Google_Harvard-CPF,17.0
GT-DeepCOVID,17.1
OliverWyman-Navigator,17.3
USC-SI_kJalpha,17.5
COVIDhub-baseline,17.9
UCLA-SuEIR,18.1
CEID-Walk,18.3
DDS-NBDS,18.4
LANL-GrowthRate,18.6
IowaStateLW-STEM,18.9
JHU_IDD-CovidSP,19.1
SteveMcConnell-CovidComplete,19.3
MIT_CritData-GBCF,19.4
UA-EpiCovDA,19.5
MITCovAlliance-SIR,19.9
Columbia_UNC-SurvCon,20.3
PSI-DRAFT,20.8
NotreDame-mobility,21.0
IQVIA_ACOE-STAN,21.0
MOBS-GLEAM_COVID,22.0
Covid19Sim-Simulator,22.2
UMich-RidgeTfReg,22.4
JHUAPL-Bucky,23.2
CovidAnalytics-DELPHI,23.6
UT-Mobility,23.7
UCSD_NEU-DeepGLEAM,23.8
CU-select,24.2
USACE-ERDC_SEIR,25.8
WalmartLabsML-LogForecasting,26.2
IHME-CurveFit,26.5
RobertWalraven-ESG,28.4
epiforecasts-ensemble1,29.9
TTU-squider,33.9
