,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2664,2829.7,4663.0,3017.3,2890.0,,3141.2,2709.0,2824.8,2887.8,2681.6,2523.2,2627.7,,3003.7,3051.0,,2499.0,,2725.3,,2681.0,3075.0,2461.4,2706.4,165.7,1999.0,353.3,226.0,,477.2,45.0,160.8,223.8,17.6,-140.8,-36.3,,339.7,387.0,,-165.0,,61.3,,17.0,411.0,-202.6,42.4,False,False,False,,False,True,True,False,True,True,True,,False,False,,True,,True,,True,False,False,True
Alaska,60,66.3,69.0,68.6,63.0,,53.4,,58.6,97.4,77.4,57.8,84.3,,55.2,75.5,,45.6,,57.8,,64.0,61.0,51.1,62.8,6.3,9.0,8.6,3.0,,-6.6,,-1.4,37.4,17.4,-2.2,24.3,,-4.8,15.5,,-14.4,,-2.2,,4.0,1.0,-8.9,2.8,False,False,True,,False,,True,False,False,True,False,,True,False,,False,,True,,True,True,False,True
Arizona,5759,6148.7,5787.0,5849.5,6098.0,,5992.0,6483.0,5691.0,5745.6,5525.5,6008.9,5759.0,,5614.7,5775.0,,5609.9,,5979.7,,5680.3,6019.0,5897.9,5813.3,389.7,28.0,90.5,339.0,,233.0,724.0,-68.0,-13.4,-233.5,249.9,0.0,,-144.3,16.0,,-149.1,,220.7,,-78.7,260.0,138.9,54.3,True,True,True,,True,False,True,True,True,True,True,,True,True,,True,,True,,True,True,True,True
Arkansas,1552,1428.3,1559.0,1507.0,1220.0,,1814.3,1260.0,1249.1,1357.7,1230.8,1311.2,1250.5,,1153.1,1626.5,,1086.9,,1328.1,,1170.1,1441.0,1086.3,1256.1,-123.7,7.0,-45.0,-332.0,,262.3,-292.0,-302.9,-194.3,-321.2,-240.8,-301.5,,-398.9,74.5,,-465.1,,-223.9,,-381.9,-111.0,-465.7,-295.9,True,True,False,,False,False,False,False,False,False,False,,False,True,,False,,False,,False,True,False,False
California,16567,17587.6,15996.0,16078.4,17658.0,,17854.3,17597.0,16523.1,17746.3,16682.0,15827.3,16800.4,,15779.9,17035.5,,14987.6,,17342.6,20493.0,16556.7,16218.0,15893.7,16749.8,1020.6,-571.0,-488.6,1091.0,,1287.3,1030.0,-43.9,1179.3,115.0,-739.7,233.4,,-787.1,468.5,,-1579.4,,775.6,3926.0,-10.3,-349.0,-673.3,182.8,True,True,False,,False,False,True,False,True,True,True,,True,True,,False,,True,False,True,True,True,True
Colorado,2112,2117.7,2108.0,2069.9,2036.0,,2122.2,2129.0,2055.6,2204.0,2033.5,2043.2,2080.9,,2145.2,2272.0,,2009.0,,2074.6,,2319.3,2080.0,2038.4,2081.2,5.7,-4.0,-42.1,-76.0,,10.2,17.0,-56.4,92.0,-78.5,-68.8,-31.1,,33.2,160.0,,-103.0,,-37.4,,207.3,-32.0,-73.6,-30.8,True,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Connecticut,4530,4482.6,4541.0,4517.4,4476.0,,4499.9,4553.0,4514.8,4553.3,4489.6,4491.3,4560.2,,4516.4,4470.0,,4484.8,,4493.1,,4781.3,4485.0,4621.1,4514.4,-47.4,11.0,-12.6,-54.0,,-30.1,23.0,-15.2,23.3,-40.4,-38.7,30.2,,-13.6,-60.0,,-45.2,,-36.9,,251.3,-45.0,91.1,-15.6,True,True,False,,True,True,True,True,True,True,True,,True,False,,True,,True,,False,True,False,True
Delaware,671,633.3,612.0,639.7,618.0,,660.6,636.0,626.4,642.6,625.8,626.6,632.4,,652.3,612.0,,623.4,,627.0,,724.8,635.0,635.8,634.8,-22.7,-44.0,-16.3,-38.0,,4.6,-20.0,-29.6,-13.4,-30.2,-29.4,-23.6,,-3.7,-44.0,,-32.6,,-29.0,,68.8,-21.0,-20.2,-21.2,False,True,False,,True,True,False,True,False,False,False,,True,False,,False,,False,,False,True,True,True
District of Columbia,636,635.3,630.0,627.0,620.0,,638.7,626.0,631.6,629.5,630.1,622.4,628.4,,627.9,619.0,,625.0,,644.5,,688.1,630.0,637.1,629.1,-0.7,-6.0,-9.0,-16.0,,2.7,-10.0,-4.4,-6.5,-5.9,-13.6,-7.6,,-8.1,-17.0,,-11.0,,8.5,,52.1,-6.0,1.1,-6.9,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Florida,15186,15394.7,14025.0,13727.6,14732.0,,14441.5,15036.0,14127.1,15559.0,13848.6,13609.9,17616.7,,14320.5,13709.0,,12955.0,,14704.2,,13758.0,14436.0,13788.7,13910.8,208.7,-1161.0,-1458.4,-454.0,,-744.5,-150.0,-1058.9,373.0,-1337.4,-1576.1,2430.7,,-865.5,-1477.0,,-2231.0,,-481.8,,-1428.0,-750.0,-1397.3,-1275.2,False,False,False,,False,True,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Georgia,7393,8140.1,7510.0,7492.8,7439.0,,8454.3,7218.0,7415.4,7243.5,7536.9,7324.1,7740.2,,6977.7,10955.5,,6944.3,,7404.6,,7397.1,7534.0,6909.1,7615.2,747.1,117.0,99.8,46.0,,1061.3,-175.0,22.4,-149.5,143.9,-68.9,347.2,,-415.3,3562.5,,-448.7,,11.6,,4.1,141.0,-483.9,222.2,True,True,True,,False,True,True,True,True,True,True,,True,False,,True,,True,,True,True,True,True
Hawaii,168,191.9,163.0,210.2,152.0,,115.7,,192.9,285.3,195.9,134.7,119.6,,136.3,305.0,,144.5,,196.6,,136.5,199.0,112.0,188.1,23.9,-5.0,42.2,-16.0,,-52.3,,24.9,117.3,27.9,-33.3,-48.4,,-31.7,137.0,,-23.5,,28.6,,-31.5,31.0,-56.0,20.1,True,False,True,,False,,False,False,False,False,False,,False,False,,True,,False,,False,False,False,True
Idaho,507,511.3,516.0,509.0,496.0,,809.3,546.0,507.1,654.4,527.8,490.2,930.2,,500.9,552.0,,402.0,,498.6,,452.2,474.0,464.2,518.4,4.3,9.0,2.0,-11.0,,302.3,39.0,0.1,147.4,20.8,-16.8,423.2,,-6.1,45.0,,-105.0,,-8.4,,-54.8,-33.0,-42.8,11.4,False,True,False,,False,False,True,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Illinois,9221,9176.9,9366.0,9246.3,9022.0,,9333.4,8893.0,9225.2,9209.3,9165.8,8836.9,8772.2,14910.0,9012.7,9422.0,,8607.8,,9210.2,,11408.6,9323.0,8483.2,9005.4,-44.1,145.0,25.3,-199.0,,112.4,-328.0,4.2,-11.7,-55.2,-384.1,-448.8,5689.0,-208.3,201.0,,-613.2,,-10.8,,2187.6,102.0,-737.8,-215.6,False,True,False,,False,False,True,True,False,False,False,False,False,False,,False,,True,,False,False,False,False
Indiana,3831,3718.6,3804.0,3690.9,3860.0,,3837.9,3713.0,3822.4,4059.9,3825.8,3594.1,3812.1,7255.0,3843.1,3819.0,,3481.4,,3710.1,,4516.4,3737.0,3392.3,3643.7,-151.4,-66.0,-179.1,-10.0,,-32.1,-157.0,-47.6,189.9,-44.2,-275.9,-57.9,3385.0,-26.9,-51.0,,-388.6,,-159.9,,646.4,-133.0,-477.7,-226.3,True,False,True,,True,False,True,False,True,False,True,False,True,True,,False,,False,,False,True,False,False
Iowa,1459,1429.3,3031.0,1685.3,1559.0,,1902.1,1516.0,1700.2,1495.0,1953.5,1303.1,1422.3,,1498.0,1645.5,,1269.9,,1442.2,,1632.1,1494.0,1300.3,1506.5,-29.7,1572.0,226.3,100.0,,443.1,57.0,241.2,36.0,494.5,-155.9,-36.7,,39.0,186.5,,-189.1,,-16.8,,173.1,35.0,-158.7,47.5,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,True,,False,False,False,False
Kansas,773,636.4,774.0,675.7,641.0,,630.6,588.0,633.1,741.4,633.4,537.2,617.0,,604.5,516.0,,513.8,,640.2,,666.5,617.0,546.4,598.3,-136.6,1.0,-97.3,-132.0,,-142.4,-185.0,-139.9,-31.6,-139.6,-235.8,-156.0,,-168.5,-257.0,,-259.2,,-132.8,,-106.5,-156.0,-226.6,-174.7,True,True,True,,False,False,False,True,False,False,False,,False,False,,False,,True,,True,False,False,False
Kentucky,1249,1321.4,1603.0,1370.1,1284.0,,1433.8,1164.0,1309.2,1407.2,1351.0,1174.0,1222.1,3127.5,1256.9,1969.0,,1136.8,,1386.7,,1439.4,1355.0,1120.4,1247.5,72.4,354.0,121.1,35.0,,184.8,-85.0,60.2,158.2,102.0,-75.0,-26.9,1878.5,7.9,720.0,,-112.2,,137.7,,190.4,106.0,-128.6,-1.5,False,False,True,,False,False,True,False,False,False,True,False,True,False,,False,,False,,False,False,False,True
Louisiana,5635,5879.9,5922.0,5527.9,5619.0,,6211.5,5634.0,5580.1,5408.9,5382.0,5748.5,5999.4,,5432.7,5417.0,,5461.6,,5690.2,,5876.9,5452.0,5480.2,5655.3,244.9,287.0,-107.1,-16.0,,576.5,-1.0,-54.9,-226.1,-253.0,113.5,364.4,,-202.3,-218.0,,-173.4,,55.2,,241.9,-183.0,-154.8,20.3,False,True,True,,False,True,True,True,False,True,False,,True,True,,True,,True,,True,True,True,True
Maine,143,143.7,169.0,144.6,139.0,,152.6,164.0,149.4,171.1,149.4,145.1,158.4,,138.1,140.0,,136.5,,140.8,,162.6,147.0,142.7,143.6,0.7,26.0,1.6,-4.0,,9.6,21.0,6.4,28.1,6.4,2.1,15.4,,-4.9,-3.0,,-6.5,,-2.2,,19.6,4.0,-0.3,0.6,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,True,True
Maryland,3995,4027.3,3990.0,4033.3,3848.0,,4180.4,3962.0,4039.2,4028.7,3977.1,3969.9,3981.8,,4054.3,4031.0,,3962.6,,3964.6,,4604.9,4080.0,4005.4,4025.8,32.3,-5.0,38.3,-147.0,,185.4,-33.0,44.2,33.7,-17.9,-25.1,-13.2,,59.3,36.0,,-32.4,,-30.4,,609.9,85.0,10.4,30.8,True,False,False,,False,False,False,False,True,True,True,,False,False,,False,,True,,False,False,True,True
Massachusetts,9587,9494.1,9290.0,11165.4,9244.0,,9914.7,9261.0,9654.4,9497.3,9574.6,9348.1,9333.9,,9335.4,9512.0,,9365.0,,9283.8,,9834.0,9221.0,9324.0,9406.3,-92.9,-297.0,1578.4,-343.0,,327.7,-326.0,67.4,-89.7,-12.4,-238.9,-253.1,,-251.6,-75.0,,-222.0,,-303.2,,247.0,-366.0,-263.0,-180.7,False,False,False,,False,False,True,True,True,False,False,,False,True,,False,,False,,False,False,False,False
Michigan,7219,7087.7,7540.0,7195.7,7125.0,,7344.2,7223.0,7215.6,7557.4,7217.4,6953.3,7126.0,10205.0,6960.9,6960.0,,7234.7,,7110.0,,8102.7,7176.0,7107.6,7083.3,-131.3,321.0,-23.3,-94.0,,125.2,4.0,-3.4,338.4,-1.6,-265.7,-93.0,2986.0,-258.1,-259.0,,15.7,,-109.0,,883.7,-43.0,-111.4,-135.7,False,True,True,,True,True,True,False,True,False,True,False,False,False,,True,,True,,False,True,True,False
Minnesota,2184,2122.7,2573.0,2174.6,1943.0,,2430.5,2098.0,2219.1,2209.8,2203.8,2093.2,2052.2,4683.5,2372.2,2363.0,,2060.0,,2109.2,,2587.7,2160.0,1956.8,2137.0,-61.3,389.0,-9.4,-241.0,,246.5,-86.0,35.1,25.8,19.8,-90.8,-131.8,2499.5,188.2,179.0,,-124.0,,-74.8,,403.7,-24.0,-227.2,-47.0,False,True,False,,False,False,True,True,True,False,False,False,False,False,,False,,False,,False,True,False,True
Mississippi,3096,3278.6,3302.0,3240.5,3072.0,,3491.2,3308.0,3194.6,3016.7,3092.0,3041.8,3227.4,,3276.0,3185.0,,2891.7,,3052.3,,3184.3,3147.0,3011.9,3055.0,182.6,206.0,144.5,-24.0,,395.2,212.0,98.6,-79.3,-4.0,-54.2,131.4,,180.0,89.0,,-204.3,,-43.7,,88.3,51.0,-84.1,-41.0,False,True,True,,False,False,True,True,True,True,True,,True,True,,False,,True,,True,True,True,True
Missouri,2436,2423.3,2321.0,2415.8,2158.0,,1971.5,1941.0,2092.7,2315.6,2047.3,2097.7,2221.6,,2259.3,2633.0,,2006.5,,2145.5,,2580.1,2479.0,1768.9,2096.7,12.3,-90.0,4.8,-253.0,,-439.5,-470.0,-318.3,-95.4,-363.7,-313.3,-189.4,,-151.7,222.0,,-404.5,,-265.5,,169.1,68.0,-642.1,-314.3,False,True,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Montana,209,180.1,274.0,196.3,157.0,,152.5,209.0,177.8,213.6,179.5,166.6,223.9,,185.3,154.0,,142.4,,158.2,,180.7,192.0,145.4,172.5,-28.9,65.0,-12.7,-52.0,,-56.5,0.0,-31.2,4.6,-29.5,-42.4,14.9,,-23.7,-55.0,,-66.6,,-50.8,,-28.3,-17.0,-63.6,-36.5,False,True,False,,False,True,False,True,False,False,True,,True,False,,False,,False,,True,True,False,False
Nebraska,519,462.3,522.0,499.7,431.0,,476.7,487.0,493.5,570.9,502.5,436.7,507.3,,489.1,493.0,,442.9,,450.4,,500.9,469.0,446.7,472.3,-56.7,3.0,-19.3,-88.0,,-42.3,-32.0,-25.5,51.9,-16.5,-82.3,-11.7,,-29.9,-26.0,,-76.1,,-68.6,,-18.1,-50.0,-72.3,-46.7,True,True,False,,True,True,True,True,True,False,True,,True,True,,False,,False,,True,True,False,True
Nevada,1659,1811.6,1673.0,1659.8,1691.0,,1842.3,1747.0,1699.4,1749.9,1719.8,1647.5,1902.1,,1712.4,1494.0,,1473.1,,1766.8,,1663.0,1652.0,1637.2,1727.0,152.6,14.0,0.8,32.0,,183.3,88.0,40.4,90.9,60.8,-11.5,243.1,,53.4,-165.0,,-185.9,,107.8,,4.0,-7.0,-21.8,68.0,True,True,True,,False,True,True,True,True,True,False,,True,False,,False,,True,,True,True,True,True
New Hampshire,455,437.9,442.0,446.5,436.0,,453.3,445.0,447.3,472.6,439.3,449.1,444.3,,460.0,461.0,,485.0,,445.2,,489.1,438.0,445.6,448.9,-17.1,-13.0,-8.5,-19.0,,-1.7,-10.0,-7.7,17.6,-15.7,-5.9,-10.7,,5.0,6.0,,30.0,,-9.8,,34.1,-17.0,-9.4,-6.1,True,True,False,,True,True,True,False,True,True,True,,True,True,,False,,True,,False,True,True,True
New Jersey,16171,16241.6,16089.0,16099.7,16007.0,,16083.7,16250.0,16110.9,16215.6,16269.4,16106.8,16489.1,,16175.1,16061.0,,16164.7,,16259.3,,16932.0,16238.0,16329.1,16113.0,70.6,-82.0,-71.3,-164.0,,-87.3,79.0,-60.1,44.6,98.4,-64.2,318.1,,4.1,-110.0,,-6.3,,88.3,,761.0,67.0,158.1,-58.0,False,False,False,,False,False,True,True,False,True,False,,True,False,,True,,False,,False,True,False,True
New Mexico,907,963.3,1049.0,916.0,877.0,,954.1,947.0,888.1,970.7,878.4,880.6,1031.3,,895.1,931.0,,847.6,,925.0,,928.7,925.0,887.8,907.2,56.3,142.0,9.0,-30.0,,47.1,40.0,-18.9,63.7,-28.6,-26.4,124.3,,-11.9,24.0,,-59.4,,18.0,,21.7,18.0,-19.2,0.2,False,True,True,,True,True,True,False,True,True,False,,True,True,,False,,True,,True,True,True,True
New York,33466,33365.9,33640.0,33413.9,32992.0,,33429.1,33248.0,33230.7,33434.9,33285.7,33184.9,34232.1,,33330.8,33262.0,,33133.4,,33296.1,,34777.7,33575.0,33143.9,33246.3,-100.1,174.0,-52.1,-474.0,,-36.9,-218.0,-235.3,-31.1,-180.3,-281.1,766.1,,-135.2,-204.0,,-332.6,,-169.9,,1311.7,109.0,-322.1,-219.7,False,True,False,,True,False,False,True,False,False,False,,False,False,,False,,False,,False,False,False,False
North Carolina,3765,3851.7,5226.0,3980.4,3658.0,,3931.9,3648.0,3700.5,3882.0,3642.6,3359.7,3643.9,,3385.3,3427.0,,3229.1,,3830.1,,3679.4,3966.0,3312.7,3623.4,86.7,1461.0,215.4,-107.0,,166.9,-117.0,-64.5,117.0,-122.4,-405.3,-121.1,,-379.7,-338.0,,-535.9,,65.1,,-85.6,201.0,-452.3,-141.6,False,False,False,,False,False,True,False,False,False,False,,False,False,,False,,True,,True,False,False,False
