,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,2664,2107.6,2273.8,1987.9,1765.0,,-556.4,-390.2,-676.1,-899.0,,True,False,False,
Alaska,60,43.7,35.9,17.8,,,-16.3,-24.1,-42.2,,,False,False,,
Arizona,5759,5234.0,10861.3,4271.6,2788.0,,-525.0,5102.3,-1487.4,-2971.0,,False,False,False,
Arkansas,1552,843.4,1261.9,793.2,869.0,,-708.6,-290.1,-758.8,-683.0,,True,False,True,
California,16567,12127.4,16630.3,10067.9,7132.0,,-4439.6,63.3,-6499.1,-9435.0,,True,False,False,
Colorado,2112,2106.9,1999.8,2155.4,1843.0,,-5.1,-112.2,43.4,-269.0,,False,False,False,
Connecticut,4530,5148.0,4506.9,4611.4,4419.0,,618.0,-23.1,81.4,-111.0,,True,True,True,
Delaware,653,1576.7,552.1,576.9,628.0,,923.7,-100.9,-76.1,-25.0,,True,True,True,
District of Columbia,636,802.6,592.2,627.4,685.0,,166.6,-43.8,-8.6,49.0,,True,True,True,
Florida,15186,7252.1,40987.2,15275.8,7111.0,,-7933.9,25801.2,89.8,-8075.0,,False,True,False,
Georgia,7393,4783.7,6110.5,5393.0,4497.0,,-2609.3,-1282.5,-2000.0,-2896.0,,True,True,False,
Hawaii,168,32.9,95.7,79.4,,,-135.1,-72.3,-88.6,,,True,True,,
Idaho,507,120.7,717.1,118.2,159.0,,-386.3,210.1,-388.8,-348.0,,True,False,True,
Illinois,9221,10468.6,7449.7,8695.5,8816.0,,1247.6,-1771.3,-525.5,-405.0,,False,True,True,
Indiana,3782,3792.7,3086.0,2999.1,2953.0,,10.7,-696.0,-782.9,-829.0,,False,False,False,
Iowa,1459,1003.1,1207.8,831.4,922.0,,-455.9,-251.2,-627.6,-537.0,,True,False,False,
Kansas,773,447.3,505.2,441.3,295.0,,-325.7,-267.8,-331.7,-478.0,,True,False,False,
Kentucky,1249,1033.4,830.6,794.5,841.0,,-215.6,-418.4,-454.5,-408.0,,False,False,False,
Louisiana,5635,4595.6,4680.1,4293.8,3835.0,,-1039.4,-954.9,-1341.2,-1800.0,,True,False,False,
Maine,143,133.7,127.1,120.4,141.0,,-9.3,-15.9,-22.6,-2.0,,False,False,True,
Maryland,3995,4683.4,3592.3,3531.7,3486.0,,688.4,-402.7,-463.3,-509.0,,True,True,True,
Massachusetts,9587,11060.1,8319.8,10470.7,8315.0,,1474.1,-1266.2,884.7,-1271.0,,True,True,True,
Michigan,7219,7152.4,6669.8,6441.1,6983.0,,-66.6,-549.2,-777.9,-236.0,,False,False,False,
Minnesota,2184,2173.1,1972.6,1832.9,1586.0,,-10.9,-211.4,-351.1,-598.0,,False,False,False,
Mississippi,3096,2539.6,2458.8,2023.5,2261.0,,-556.4,-637.2,-1072.5,-835.0,,False,False,False,
Missouri,2424,1583.4,2102.8,1694.0,1517.0,,-830.6,-311.2,-720.0,-897.0,,True,True,False,
Montana,209,51.7,176.9,51.8,54.0,,-157.3,-32.1,-157.2,-155.0,,True,True,True,
Nebraska,519,608.7,382.8,514.9,394.0,,89.7,-136.2,-4.1,-125.0,,False,True,False,
Nevada,1659,693.1,7123.1,998.0,565.0,,-965.9,5464.1,-661.0,-1094.0,,False,True,False,
New Hampshire,455,783.0,470.0,822.2,387.0,,328.0,15.0,367.2,-68.0,,True,False,True,
New Jersey,16171,45224.1,13523.1,16043.3,16312.0,,29053.1,-2647.9,-127.7,141.0,,True,True,True,
New Mexico,907,833.7,828.0,815.4,842.0,,-73.3,-79.0,-91.6,-65.0,,False,False,True,
New York,33293,35438.1,32099.5,33308.1,32045.0,,2826.1,-512.5,696.1,-567.0,,True,True,True,
