,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2664,3492.4,3690.0,3042.0,2839.0,,2703.9,3388.2,828.4,1026.0,378.0,175.0,,39.9,724.2,False,True,True,,True,True
Alaska,60,41.7,117.4,19.0,,,49.4,57.1,-18.3,57.4,-41.0,,,-10.6,-2.9,False,False,,,True,True
Arizona,5759,9211.3,6315.8,5514.7,6662.0,,6144.3,6833.1,3452.3,556.8,-244.3,903.0,,385.3,1074.1,True,True,True,,True,True
Arkansas,1552,878.7,1298.4,807.1,915.0,,686.8,879.4,-673.3,-253.6,-744.9,-637.0,,-865.2,-672.6,True,False,True,,False,True
California,16567,16406.3,20072.1,17360.9,14747.0,,14065.2,16113.8,-160.7,3505.1,793.9,-1820.0,,-2501.8,-453.2,False,False,False,,False,False
Colorado,2112,2250.0,2535.4,2485.4,2027.0,,2395.9,2403.8,138.0,423.4,373.4,-85.0,,283.9,291.8,False,False,True,,False,False
Connecticut,4530,4597.6,4483.7,4696.6,4485.0,,4419.8,4605.9,67.6,-46.3,166.6,-45.0,,-110.2,75.9,True,False,True,,False,False
Delaware,671,1187.0,680.8,557.5,615.0,,1273.0,657.5,532.0,25.8,-97.5,-40.0,,618.0,2.5,True,True,True,,False,True
District of Columbia,636,613.6,641.1,668.1,593.0,,584.0,634.4,-22.4,5.1,32.1,-43.0,,-52.0,-1.6,True,False,False,,False,True
Florida,15186,15321.4,20661.9,15647.9,12418.0,,13159.2,13267.1,135.4,5475.9,461.9,-2768.0,,-2026.8,-1918.9,False,False,False,,False,False
Georgia,7393,7015.7,8124.6,6553.2,4931.0,,7204.4,6666.6,-377.3,731.6,-839.8,-2462.0,,-188.6,-726.4,False,False,False,,True,False
Hawaii,168,47.7,70.1,27.6,,,29.9,73.5,-120.3,-97.9,-140.4,,,-138.1,-94.5,True,False,,,False,True
Idaho,507,439.1,1097.6,351.8,332.0,,332.6,538.5,-67.9,590.6,-155.2,-175.0,,-174.4,31.5,False,False,False,,False,True
Illinois,9221,8697.4,9246.2,8334.6,8249.0,,8867.2,8966.5,-523.6,25.2,-886.4,-972.0,,-353.8,-254.5,True,False,False,,True,True
Indiana,3831,3782.4,3741.8,3298.0,3433.0,,3810.6,4221.6,-116.6,-157.2,-601.0,-466.0,,-88.4,322.6,False,False,False,,True,False
Iowa,1459,1219.9,1511.9,1526.8,1091.0,,1005.3,1352.3,-239.1,52.9,67.8,-368.0,,-453.7,-106.7,True,True,False,,False,True
Kansas,773,569.9,1027.3,397.5,520.0,,532.4,575.3,-203.1,254.3,-375.5,-253.0,,-240.6,-197.7,False,False,False,,False,True
Kentucky,1249,1025.7,1614.3,1034.1,896.0,,1028.7,1472.7,-223.3,365.3,-214.9,-353.0,,-220.3,223.7,False,True,False,,True,False
Louisiana,5635,6151.6,6108.4,4749.2,6262.0,,5984.1,5356.4,516.6,473.4,-885.8,627.0,,349.1,-278.6,True,False,False,,True,True
Maine,143,140.7,126.3,164.3,161.0,,120.8,156.3,-2.3,-16.7,21.3,18.0,,-22.2,13.3,False,False,False,,False,False
Maryland,3995,4124.0,4240.0,4074.1,3994.0,,4144.2,4700.5,129.0,245.0,79.1,-1.0,,149.2,705.5,False,True,True,,False,False
Massachusetts,9587,9593.0,8711.0,9750.6,8877.0,,9112.1,9302.1,6.0,-876.0,163.6,-710.0,,-474.9,-284.9,False,False,False,,False,False
Michigan,7219,6769.1,7205.6,7178.4,7016.0,,6769.2,6787.2,-449.9,-13.4,-40.6,-203.0,,-449.8,-431.8,True,True,True,,True,True
Minnesota,2184,1972.3,2325.1,1839.0,2169.0,,1974.3,2145.8,-211.7,141.1,-345.0,-15.0,,-209.7,-38.2,True,False,True,,True,True
Mississippi,3096,2991.3,3340.4,2379.5,2463.0,,2537.4,2833.2,-104.7,244.4,-716.5,-633.0,,-558.6,-262.8,False,False,False,,False,False
Missouri,2436,2001.6,3172.9,1555.7,1510.0,,2259.0,2221.9,-421.4,749.9,-867.3,-913.0,,-164.0,-201.1,False,False,False,,True,True
Montana,209,143.7,316.2,426.8,96.0,,69.2,179.8,-65.3,107.2,217.8,-113.0,,-139.8,-29.2,False,False,False,,False,True
Nebraska,519,478.9,629.4,339.9,401.0,,414.8,471.5,-40.1,110.4,-179.1,-118.0,,-104.2,-47.5,False,False,False,,False,False
Nevada,1659,1678.6,1996.7,1536.9,1518.0,,1482.1,1816.9,19.6,337.7,-122.1,-141.0,,-176.9,157.9,False,False,False,,False,False
New Hampshire,455,528.4,480.1,443.6,420.0,,603.7,513.4,73.4,25.1,-11.4,-35.0,,148.7,58.4,True,True,True,,False,True
New Jersey,16171,16666.4,16684.9,17517.1,16026.0,,15839.7,16518.5,495.4,513.9,1346.1,-145.0,,-331.3,347.5,False,False,True,,True,True
New Mexico,907,1080.9,951.4,855.8,783.0,,998.7,1004.3,173.9,44.4,-51.2,-124.0,,91.7,97.3,True,True,True,,True,True
New York,33466,34095.7,33081.8,34667.0,33177.0,,33289.6,33608.4,628.7,-385.2,1200.0,-290.0,,-177.4,141.4,True,False,True,,True,True
North Carolina,3765,3608.4,3773.4,2812.3,2987.0,,3258.0,3494.6,-156.6,8.4,-952.7,-778.0,,-507.0,-270.4,True,False,False,,False,False
