,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7393,8080.6,6656.0,,6173.2,7294.0,9041.6,6512.0,6504.9,6200.6,,7436.9,7144.6,6837.0,,7024.7,687.6,-737.0,,-1219.8,-99.0,1648.6,-881.0,-888.1,-1192.4,,43.9,-248.4,-556.0,,-368.3,False,,False,True,False,False,False,False,,True,True,True,,True
Hawaii,168,95.0,85.0,,268.5,131.0,77.7,,86.1,75.0,,99.6,132.5,113.0,,108.4,-73.0,-83.0,,100.5,-37.0,-90.3,,-81.9,-93.0,,-68.4,-35.5,-55.0,,-59.6,False,,False,True,False,,False,False,,True,True,True,,True
Idaho,507,567.6,474.0,,473.0,492.0,475.1,426.0,388.3,354.5,,484.6,432.5,443.0,,517.8,60.6,-33.0,,-34.0,-15.0,-31.9,-81.0,-118.7,-152.5,,-22.4,-74.5,-64.0,,10.8,True,,True,True,True,False,False,False,,True,False,False,,True
Illinois,9221,9007.9,9291.0,,9057.4,8593.0,8769.3,8809.0,8607.9,8332.7,,8756.2,11835.1,9228.0,,8976.1,-213.1,70.0,,-163.6,-628.0,-451.7,-412.0,-613.1,-888.3,,-464.8,2614.1,7.0,,-244.9,True,,True,False,False,False,False,False,,False,False,True,,False
Indiana,3831,3816.6,3686.0,,3642.6,3561.0,4183.8,3690.0,3502.4,3603.3,,3634.4,4576.0,3762.0,,3873.3,-58.4,-189.0,,-232.4,-314.0,308.8,-185.0,-372.6,-271.7,,-240.6,701.0,-113.0,,-1.7,False,,False,False,False,False,False,False,,False,False,False,,True
Iowa,1459,1462.1,1349.0,,1343.2,1085.0,1520.8,1353.0,1284.7,1219.0,,1351.2,1583.5,1455.0,,1384.0,3.1,-110.0,,-115.8,-374.0,61.8,-106.0,-174.3,-240.0,,-107.8,124.5,-4.0,,-75.0,False,,False,False,False,False,False,False,,False,False,False,,False
Kansas,773,563.1,637.0,,706.7,628.0,614.3,581.0,526.7,508.4,,569.0,703.0,594.0,,573.7,-209.9,-136.0,,-66.3,-145.0,-158.7,-192.0,-246.3,-264.6,,-204.0,-70.0,-179.0,,-199.3,True,,True,True,True,True,False,False,,True,True,True,,True
Kentucky,1249,1297.1,1111.0,,1199.9,1260.0,1306.9,1096.0,977.4,1015.8,,1312.0,1319.9,1300.0,,1181.9,48.1,-138.0,,-49.1,11.0,57.9,-153.0,-271.6,-233.2,,63.0,70.9,51.0,,-67.1,False,,False,True,False,False,False,False,,False,False,False,,False
Louisiana,5635,6384.9,5518.0,,4828.5,5710.0,6273.5,5847.0,5543.1,5563.2,,6211.6,5763.3,5203.0,,5648.5,749.9,-117.0,,-806.5,75.0,638.5,212.0,-91.9,-71.8,,576.6,128.3,-432.0,,13.5,True,,False,True,True,True,True,True,,True,True,True,,True
Maine,143,158.4,154.0,,140.9,135.0,137.5,171.0,143.4,156.8,,141.2,181.5,148.0,,148.6,15.4,11.0,,-2.1,-8.0,-5.5,28.0,0.4,13.8,,-1.8,38.5,5.0,,5.6,True,,True,True,True,False,True,True,,True,False,True,,True
