,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2664,3255.3,3380.4,2245.0,2618.0,,2660.4,3337.0,591.3,716.4,-419.0,-46.0,,-3.6,673.0,False,True,True,,True,False
Alaska,60,29.9,143.3,22.7,,,37.5,31.7,-30.1,83.3,-37.3,,,-22.5,-28.3,False,False,,,True,True
Arizona,5759,8974.1,7364.4,4790.0,6683.0,,5963.4,6277.4,3215.1,1605.4,-969.0,924.0,,204.4,518.4,True,True,True,,True,True
Arkansas,1552,783.9,1152.1,584.4,747.0,,571.1,822.2,-768.1,-399.9,-967.6,-805.0,,-980.9,-729.8,True,False,False,,False,True
California,16567,15588.1,19744.4,18811.3,14578.0,,13379.7,14801.9,-978.9,3177.4,2244.3,-1989.0,,-3187.3,-1765.1,False,False,False,,False,False
Colorado,2112,2072.1,2499.2,1984.1,1964.0,,2157.0,2567.4,-39.9,387.2,-127.9,-148.0,,45.0,455.4,False,False,False,,False,False
Connecticut,4530,4965.1,4483.4,4442.5,4528.0,,4637.0,4589.7,435.1,-46.6,-87.5,-2.0,,107.0,59.7,True,True,True,,True,True
Delaware,653,594.1,678.1,548.2,572.0,,621.7,633.7,-58.9,25.1,-104.8,-81.0,,-31.3,-19.3,True,False,False,,True,True
District of Columbia,636,696.6,623.8,663.4,636.0,,650.3,675.7,60.6,-12.2,27.4,0.0,,14.3,39.7,True,True,True,,True,True
Florida,15186,13756.3,22907.7,15655.1,14251.0,,10975.6,14884.6,-1429.7,7721.7,469.1,-935.0,,-4210.4,-301.4,False,True,True,,False,True
Georgia,7393,5201.6,9115.8,4453.3,4191.0,,6782.2,5547.6,-2191.4,1722.8,-2939.7,-3202.0,,-610.8,-1845.4,True,False,False,,True,True
Hawaii,168,83.3,65.6,20.7,,,42.9,54.1,-84.7,-102.4,-147.3,,,-125.1,-113.9,False,False,,,False,False
Idaho,507,320.6,1342.8,374.6,302.0,,218.3,552.1,-186.4,835.8,-132.4,-205.0,,-288.7,45.1,False,True,False,,False,True
Illinois,9221,8673.7,8663.2,8204.1,8195.0,,8728.8,8394.7,-547.3,-557.8,-1016.9,-1026.0,,-492.2,-826.3,False,False,False,,True,False
Indiana,3782,3557.1,3783.0,3421.9,3012.0,,3522.9,3730.8,-224.9,1.0,-360.1,-770.0,,-259.1,-51.2,True,False,False,,False,True
Iowa,1459,1279.1,1716.3,1127.5,913.0,,1020.1,1153.3,-179.9,257.3,-331.5,-546.0,,-438.9,-305.7,False,False,False,,False,False
Kansas,773,451.3,1125.2,392.2,431.0,,426.2,552.3,-321.7,352.2,-380.8,-342.0,,-346.8,-220.7,False,False,False,,False,True
Kentucky,1249,1203.6,1245.5,1121.5,810.0,,1180.0,1616.7,-45.4,-3.5,-127.5,-439.0,,-69.0,367.7,True,False,False,,False,False
Louisiana,5635,5048.9,6160.7,4859.4,5028.0,,6250.9,5555.3,-586.1,525.7,-775.6,-607.0,,615.9,-79.7,True,False,False,,False,True
