,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2664,2606.9,2580.9,2618.8,2618.0,2615.0,2615.0,2617.0,2609.0,2595.6,2606.0,2613.1,2607.4,2619.2,2624.7,2618.0,2663.0,2632.1,2625.3,2617.7,2628.0,2617.9,2614.0,2614.8,2697.0,2613.8,,2655.9,2618.2,2627.0,,2625.8,2590.9,,2623.0,2976.2,2613.0,2615.5,,2609.2,2620.0,2647.3,2607.0,2603.0,2626.1,2619.4,2615.0,-57.1,-83.1,-45.2,-46.0,-49.0,-49.0,-47.0,-55.0,-68.4,-58.0,-50.9,-56.6,-44.8,-39.3,-46.0,-1.0,-31.9,-38.7,-46.3,-36.0,-46.1,-50.0,-49.2,33.0,-50.2,,-8.1,-45.8,-37.0,,-38.2,-73.1,,-41.0,312.2,-51.0,-48.5,,-54.8,-44.0,-16.7,-57.0,-61.0,-37.9,-44.6,-49.0,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,False,True,True,True
Alaska,60,59.7,61.1,63.6,64.0,64.0,63.0,62.0,67.0,65.8,62.0,62.5,66.7,66.0,65.0,,,60.7,67.9,68.5,65.4,64.1,62.0,59.6,90.0,64.3,,59.3,60.3,63.0,,,59.7,,65.0,56.2,66.0,60.2,,59.0,63.0,61.3,66.0,61.0,60.5,62.6,57.0,-0.3,1.1,3.6,4.0,4.0,3.0,2.0,7.0,5.8,2.0,2.5,6.7,6.0,5.0,,,0.7,7.9,8.5,5.4,4.1,2.0,-0.4,30.0,4.3,,-0.7,0.3,3.0,,,-0.3,,5.0,-3.8,6.0,0.2,,-1.0,3.0,1.3,6.0,1.0,0.5,2.6,-3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,True,False,,,True,,False,False,False,True,,False,False,False,False,False,False,False,False
Arizona,5759,5777.1,5753.6,5796.0,5788.0,5788.0,5794.0,5804.0,5816.0,5793.9,5815.0,5782.6,5792.8,5773.8,5799.9,5823.0,5828.0,5825.1,5859.7,5794.6,5771.8,5834.1,5792.7,5776.9,5808.0,5748.6,,5770.0,5773.8,5805.0,,5867.2,5729.1,,5823.0,6104.9,5782.0,5791.3,,5743.7,5789.0,5841.4,5799.0,5774.0,5828.1,5783.7,5763.0,18.1,-5.4,37.0,29.0,29.0,35.0,45.0,57.0,34.9,56.0,23.6,33.8,14.8,40.9,64.0,69.0,66.1,100.7,35.6,12.8,75.1,33.7,17.9,49.0,-10.4,,11.0,14.8,46.0,,108.2,-29.9,,64.0,345.9,23.0,32.3,,-15.3,30.0,82.4,40.0,15.0,69.1,24.7,4.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,,True,True,False,,False,False,,False,False,False,False,,True,False,False,False,True,False,False,True
Arkansas,1552,1525.3,1523.0,1554.1,1525.0,1529.0,1524.0,1487.0,1546.0,1488.5,1517.0,1541.3,,1533.0,1507.3,1532.0,1538.0,1529.5,1564.6,1509.9,1499.7,1529.8,1500.3,1525.0,1515.0,1550.8,,1473.7,1542.0,1513.0,,1524.1,1511.7,,1547.0,1272.5,1551.0,1521.5,,1550.2,1519.0,1548.5,1529.0,1539.0,1495.1,1518.5,1250.0,-26.7,-29.0,2.1,-27.0,-23.0,-28.0,-65.0,-6.0,-63.5,-35.0,-10.7,,-19.0,-44.7,-20.0,-14.0,-22.5,12.6,-42.1,-52.3,-22.2,-51.7,-27.0,-37.0,-1.2,,-78.3,-10.0,-39.0,,-27.9,-40.3,,-5.0,-279.5,-1.0,-30.5,,-1.8,-33.0,-3.5,-23.0,-13.0,-56.9,-33.5,-302.0,False,True,False,True,False,False,True,False,False,True,,True,False,True,True,True,True,False,False,True,False,False,False,True,,False,True,False,,False,False,,True,False,True,False,,True,False,True,True,True,False,False,False
California,16567,16610.7,16499.1,16637.5,16641.0,16647.0,16584.0,16539.0,16657.0,16416.6,16537.0,16537.1,16573.8,16619.6,16500.3,16683.0,16779.0,16623.9,16681.7,16555.4,16616.7,16595.5,16565.6,16600.2,16566.0,16583.7,,16483.2,16644.8,16451.0,,16675.9,16441.7,,16669.0,15915.6,16680.0,16633.7,17213.0,16584.0,16570.0,16679.4,16668.0,16547.0,16584.4,16574.2,16632.0,43.7,-67.9,70.5,74.0,80.0,17.0,-28.0,90.0,-150.4,-30.0,-29.9,6.8,52.6,-66.7,116.0,212.0,56.9,114.7,-11.6,49.7,28.5,-1.4,33.2,-1.0,16.7,,-83.8,77.8,-116.0,,108.9,-125.3,,102.0,-651.4,113.0,66.7,646.0,17.0,3.0,112.4,101.0,-20.0,17.4,7.2,65.0,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,,False,False,False,,False,False,,False,False,False,False,False,True,True,False,False,True,True,True,False
Colorado,2112,2091.1,2090.8,2080.8,2081.0,2080.0,2091.0,2111.0,2094.0,2082.7,2109.0,2092.3,2090.7,2079.0,2087.6,2081.0,2105.0,2091.0,2110.6,2090.4,2101.5,2093.8,2091.9,2094.8,2129.0,2081.5,,2104.9,2088.4,2081.0,,2083.7,2082.4,,2096.0,2334.5,2101.0,2079.1,,2081.6,2096.0,2084.7,2094.0,2108.0,2082.0,2095.8,2074.0,-20.9,-21.2,-31.2,-31.0,-32.0,-21.0,-1.0,-18.0,-29.3,-3.0,-19.7,-21.3,-33.0,-24.4,-31.0,-7.0,-21.0,-1.4,-21.6,-10.5,-18.2,-20.1,-17.2,17.0,-30.5,,-7.1,-23.6,-31.0,,-28.3,-29.6,,-16.0,222.5,-11.0,-32.9,,-30.4,-16.0,-27.3,-18.0,-4.0,-30.0,-16.2,-38.0,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,,True,False,False,,False,False,,True,False,True,False,,False,True,False,True,True,False,True,False
Connecticut,4530,4523.3,4547.3,4526.6,4526.0,4525.0,4524.0,4527.0,4526.0,4520.3,4535.0,4523.1,4520.9,4528.9,4540.5,4524.0,4541.0,4523.8,4534.6,4523.7,4528.6,4523.1,4519.9,4523.6,4527.0,4523.7,,4524.7,4528.0,4514.0,,4521.4,4517.1,,4524.0,4733.2,4525.0,4524.1,,4524.2,4526.0,4525.1,4524.0,4521.0,4508.9,4525.7,4512.0,-6.7,17.3,-3.4,-4.0,-5.0,-6.0,-3.0,-4.0,-9.7,5.0,-6.9,-9.1,-1.1,10.5,-6.0,11.0,-6.2,4.6,-6.3,-1.4,-6.9,-10.1,-6.4,-3.0,-6.3,,-5.3,-2.0,-16.0,,-8.6,-12.9,,-6.0,203.2,-5.0,-5.9,,-5.8,-4.0,-4.9,-6.0,-9.0,-21.1,-4.3,-18.0,False,True,True,True,True,True,True,False,True,False,False,True,False,True,False,True,True,True,True,False,False,True,True,True,,True,True,False,,False,False,,True,False,True,True,,True,True,True,True,False,False,True,False
Delaware,653,655.3,656.2,656.8,657.0,657.0,655.0,653.0,654.0,653.5,654.0,655.9,655.5,652.8,658.6,649.0,647.0,652.3,654.8,672.3,651.7,654.8,651.6,652.7,653.0,654.6,,655.0,659.3,650.0,,,647.3,,655.0,717.0,662.0,649.9,,655.6,654.0,664.1,654.0,658.0,652.7,654.8,653.0,2.3,3.2,3.8,4.0,4.0,2.0,0.0,1.0,0.5,1.0,2.9,2.5,-0.2,5.6,-4.0,-6.0,-0.7,1.8,19.3,-1.3,1.8,-1.4,-0.3,0.0,1.6,,2.0,6.3,-3.0,,,-5.7,,2.0,64.0,9.0,-3.1,,2.6,1.0,11.1,1.0,5.0,-0.3,1.8,0.0,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,,True,False,False,,,False,,True,False,False,False,,False,True,False,True,False,True,True,True
District of Columbia,636,637.0,635.5,629.9,634.0,634.0,634.0,633.0,633.0,631.0,633.0,636.9,632.6,630.3,633.9,632.0,630.0,632.6,632.9,,634.7,633.4,633.6,632.1,633.0,,,633.9,635.2,633.0,,,635.0,,634.0,661.0,646.0,633.6,,,634.0,,635.0,639.0,632.1,636.3,636.0,1.0,-0.5,-6.1,-2.0,-2.0,-2.0,-3.0,-3.0,-5.0,-3.0,0.9,-3.4,-5.7,-2.1,-4.0,-6.0,-3.4,-3.1,,-1.3,-2.6,-2.4,-3.9,-3.0,,,-2.1,-0.8,-3.0,,,-1.0,,-2.0,25.0,10.0,-2.4,,,-2.0,,-1.0,3.0,-3.9,0.3,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,,,False,True,False,,,True,,False,False,False,False,,,False,,False,False,False,True,True
Florida,15186,15218.7,15152.0,15244.0,15223.0,15234.0,15172.0,15045.0,15291.0,15034.4,15093.0,15036.4,15159.5,15212.9,15049.6,15310.0,15240.0,15229.9,15225.1,15138.8,15132.1,15259.3,15147.9,15144.7,15099.0,15027.0,,15178.8,15254.3,15111.0,,15311.7,15153.1,,15264.0,15576.2,15174.0,15209.5,,15036.8,15134.0,15248.1,15228.0,15172.5,15137.0,15198.7,15016.0,32.7,-34.0,58.0,37.0,48.0,-14.0,-141.0,105.0,-151.6,-93.0,-149.6,-26.5,26.9,-136.4,124.0,54.0,43.9,39.1,-47.2,-53.9,73.3,-38.1,-41.3,-87.0,-159.0,,-7.2,68.3,-75.0,,125.7,-32.9,,78.0,390.2,-12.0,23.5,,-149.2,-52.0,62.1,42.0,-13.5,-49.0,12.7,-170.0,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,False,False,True,True,,False,False,False,False,True,False,True,False
