,total_deaths_2020-08-16,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
STH-3PU,170482,214594.0,214882,44542.0,44400,142.0,0.3%
YYG-ParamSearch,170482,213963.9,214882,43911.9,44400,-488.1,-1.1%
Columbia_UNC-SurvCon,170482,211650.0,214882,41598.0,44400,-2802.0,-6.3%
UCLA-SuEIR,170482,211311.4,214882,41259.4,44400,-3140.6,-7.1%
IowaStateLW-STEM,170482,209248.0,214882,39196.0,44400,-5204.0,-11.7%
USC-SI_kJalpha,170482,202989.0,214882,32937.0,44400,-11463.0,-25.8%
Baseline,170482,225947.7,214882,55895.7,44400,11495.7,25.9%
USACE-ERDC_SEIR,170482,226103.1,214882,56051.1,44400,11651.1,26.2%
Covid19Sim-Simulator,170482,193523.2,214882,23471.2,44400,-20928.8,-47.1%
RobertWalraven-ESG,170482,192842.0,214882,22790.0,44400,-21610.0,-48.7%
Auquan-SEIR,170482,192605.0,214882,22553.0,44400,-21847.0,-49.2%
MITCovAlliance-SIR,170482,187766.1,214882,17714.1,44400,-26685.9,-60.1%
