,mean_rank
JCB-PRM,12.6
COVIDhub-ensemble,13.4
UMass-MechBayes,13.8
Karlen-pypm,14.4
SteveMcConnell-CovidComplete,14.7
YYG-ParamSearch,15.2
MIT_CritData-GBCF,15.4
USC-SI_kJalpha,15.6
GT-DeepCOVID,16.2
LNQ-ens1,16.4
CMU-TimeSeries,16.9
OliverWyman-Navigator,17.1
DDS-NBDS,17.7
NotreDame-mobility,18.0
Covid19Sim-Simulator,18.1
LANL-GrowthRate,18.1
PSI-DRAFT,18.3
UCLA-SuEIR,18.4
COVIDhub-baseline,19.3
JHU_IDD-CovidSP,19.4
CEID-Walk,19.5
MOBS-GLEAM_COVID,19.8
UA-EpiCovDA,20.2
Columbia_UNC-SurvCon,20.8
IowaStateLW-STEM,21.4
UT-Mobility,21.4
CovidAnalytics-DELPHI,21.5
CU-select,21.8
IHME-CurveFit,21.9
UCSD_NEU-DeepGLEAM,22.2
JHUAPL-Bucky,23.5
Google_Harvard-CPF,24.0
USACE-ERDC_SEIR,24.2
MITCovAlliance-SIR,24.4
UMich-RidgeTfReg,24.9
WalmartLabsML-LogForecasting,26.4
epiforecasts-ensemble1,26.5
RobertWalraven-ESG,27.3
