,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2664,2640.3,2662.4,2591.0,2650.2,2668.0,2675.0,2820.0,2717.0,2814.0,2699.0,2646.5,,,2647.0,2669.1,2602.9,2810.5,2662.4,2622.0,2573.8,2619.9,2659.0,2749.9,,3015.2,2675.2,2407.0,,2921.7,2499.1,,2672.7,3226.0,2753.0,2631.3,,2801.8,2678.0,2774.9,2708.8,2683.0,2538.0,2449.9,2650.1,2616.0,-23.7,-1.6,-73.0,-13.8,4.0,11.0,156.0,53.0,150.0,35.0,-17.5,,,-17.0,5.1,-61.1,146.5,-1.6,-42.0,-90.2,-44.1,-5.0,85.9,,351.2,11.2,-257.0,,257.7,-164.9,,8.7,562.0,89.0,-32.7,,137.8,14.0,110.9,44.8,19.0,-126.0,-214.1,-13.9,-48.0,True,False,True,True,True,False,False,False,False,True,,,True,True,False,False,True,False,False,False,True,False,,False,True,False,,False,False,,True,False,False,False,,False,True,False,False,True,False,False,True,False
Alaska,60,51.7,55.2,61.0,52.0,60.0,65.0,74.0,63.9,61.0,67.8,57.9,,,,60.9,59.5,84.7,57.0,56.3,45.9,81.3,97.0,63.9,,51.6,52.0,69.0,,,49.0,,57.2,57.5,65.0,51.2,,89.6,59.0,50.6,60.0,56.0,85.0,52.4,57.8,,-8.3,-4.8,1.0,-8.0,0.0,5.0,14.0,3.9,1.0,7.8,-2.1,,,,0.9,-0.5,24.7,-3.0,-3.7,-14.1,21.3,37.0,3.9,,-8.4,-8.0,9.0,,,-11.0,,-2.8,-2.5,5.0,-8.8,,29.6,-1.0,-9.4,-0.0,-4.0,25.0,-7.6,-2.2,,True,True,True,True,True,False,True,True,True,True,,,,True,True,False,True,True,False,False,False,True,,False,True,False,,,False,,True,True,True,False,,False,True,False,True,True,False,True,True,
Arizona,5759,5711.6,5723.5,5675.0,5747.4,5717.0,5689.0,5780.0,5794.8,5961.0,5741.2,5698.0,,,6067.0,5665.4,5466.2,5660.3,5541.0,5717.3,5607.2,5737.2,5700.0,5637.5,,5595.1,5764.4,5703.0,,6222.1,5453.7,,5797.8,6534.6,5724.0,5783.0,,5668.4,5687.0,6094.6,5639.3,5605.0,5965.0,5828.4,5592.0,5546.0,-47.4,-35.5,-84.0,-11.6,-42.0,-70.0,21.0,35.8,202.0,-17.8,-61.0,,,308.0,-93.6,-292.8,-98.7,-218.0,-41.7,-151.8,-21.8,-59.0,-121.5,,-163.9,5.4,-56.0,,463.1,-305.3,,38.8,775.6,-35.0,24.0,,-90.6,-72.0,335.6,-119.7,-154.0,206.0,69.4,-167.0,-213.0,True,False,True,True,False,True,True,False,True,False,,,False,False,False,False,False,True,False,True,False,False,,False,True,False,,False,False,,True,False,True,True,,False,False,False,False,False,False,False,False,False
Arkansas,1552,1316.6,1314.9,1221.0,1317.0,1293.0,1387.0,1596.0,1440.4,1239.0,1442.0,,,,1504.0,1398.2,1135.1,1306.5,1269.8,1329.6,1284.2,1264.7,1231.0,1262.6,,1170.2,1325.0,1453.0,,,1166.9,,1336.2,1227.5,1284.0,1262.7,,1239.0,1338.0,1251.2,1210.0,1366.0,1487.0,1162.1,1247.3,1233.0,-235.4,-237.1,-331.0,-235.0,-259.0,-165.0,44.0,-111.6,-313.0,-110.0,,,,-48.0,-153.8,-416.9,-245.5,-282.2,-222.4,-267.8,-287.3,-321.0,-289.4,,-381.8,-227.0,-99.0,,,-385.1,,-215.8,-324.5,-268.0,-289.3,,-313.0,-214.0,-300.8,-342.0,-186.0,-65.0,-389.9,-304.7,-319.0,False,False,True,False,True,True,True,False,True,,,,True,True,False,False,False,True,False,False,False,False,,False,True,True,,,False,,True,False,False,False,,False,True,False,False,True,True,False,False,False
California,16567,16873.6,16811.5,16279.0,16799.2,16426.0,16317.0,15721.0,15905.9,17148.0,16780.8,16334.7,,,17176.0,16083.5,15477.2,17099.6,16384.3,15777.5,16300.5,16928.2,16082.0,16020.1,,15858.3,16265.9,15620.5,,17239.9,15643.6,,16426.4,20893.2,17725.0,16546.8,20679.0,16129.4,16188.0,16966.9,16298.1,16063.0,17527.0,16051.6,16596.6,16186.0,306.6,244.5,-288.0,232.2,-141.0,-250.0,-846.0,-661.1,581.0,213.8,-232.3,,,609.0,-483.5,-1089.8,532.6,-182.7,-789.5,-266.5,361.2,-485.0,-546.9,,-708.7,-301.1,-946.5,,672.9,-923.4,,-140.6,4326.2,1158.0,-20.2,4112.0,-437.6,-379.0,399.9,-268.9,-504.0,960.0,-515.4,29.6,-381.0,True,True,True,True,True,False,False,False,True,True,,,False,False,False,False,True,False,True,False,False,False,,False,True,False,,False,False,,True,False,False,True,False,False,False,False,True,False,False,False,True,False
Colorado,2112,2049.7,2045.8,2058.0,2070.1,2073.0,2183.0,2263.0,2086.1,2031.0,2106.5,2129.6,,,2148.0,2062.8,2184.1,2179.3,2049.8,2050.2,2050.2,2078.7,2136.0,2019.4,,2132.7,2061.7,2097.0,,2091.8,2052.8,,2070.8,2413.5,2102.0,2047.5,,2044.1,2075.0,2240.6,2283.6,2064.0,2035.0,2132.2,2066.1,2058.0,-62.3,-66.2,-54.0,-41.9,-39.0,71.0,151.0,-25.9,-81.0,-5.5,17.6,,,36.0,-49.2,72.1,67.3,-62.2,-61.8,-61.8,-33.3,24.0,-92.6,,20.7,-50.3,-15.0,,-20.2,-59.2,,-41.2,301.5,-10.0,-64.5,,-67.9,-37.0,128.6,171.6,-48.0,-77.0,20.2,-45.9,-54.0,False,True,True,True,False,False,True,False,True,True,,,True,True,False,False,True,True,True,True,True,False,,True,True,True,,True,True,,True,False,True,False,,False,True,False,False,True,False,True,True,True
Connecticut,4530,4526.3,4531.3,4515.0,4579.7,4515.0,4603.0,4568.0,4520.6,4484.0,4509.9,4528.0,,,4552.0,4509.6,4615.5,4552.2,4504.8,4498.7,4498.1,4554.1,4506.0,4509.1,,4518.5,4514.0,4495.0,,4486.9,4499.6,,4509.1,5161.1,4515.0,4518.6,,4510.7,4510.0,4887.1,4741.1,4514.0,4496.0,4522.2,4526.3,4508.0,-3.7,1.3,-15.0,49.7,-15.0,73.0,38.0,-9.4,-46.0,-20.1,-2.0,,,22.0,-20.4,85.5,22.2,-25.2,-31.3,-31.9,24.1,-24.0,-20.9,,-11.5,-16.0,-35.0,,-43.1,-30.4,,-20.9,631.1,-15.0,-11.4,,-19.3,-20.0,357.1,211.1,-16.0,-34.0,-7.8,-3.7,-22.0,True,False,False,False,False,False,False,False,False,True,,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False
Delaware,653,638.1,631.0,635.0,640.8,635.0,662.0,654.0,643.3,621.0,643.0,648.0,,,635.0,637.9,667.7,640.1,628.5,630.6,624.7,632.1,631.0,630.6,,639.2,643.6,619.0,,,633.7,,636.6,724.9,673.0,631.0,,634.8,644.0,717.9,700.7,641.0,660.0,655.1,636.2,629.0,-14.9,-22.0,-18.0,-12.2,-18.0,9.0,1.0,-9.7,-32.0,-10.0,-5.0,,,-18.0,-15.1,14.7,-12.9,-24.5,-22.4,-28.3,-20.9,-22.0,-22.4,,-13.8,-9.4,-34.0,,,-19.3,,-16.4,71.9,20.0,-22.0,,-18.2,-9.0,64.9,47.7,-12.0,7.0,2.1,-16.8,-24.0,False,False,True,False,True,True,True,False,True,True,,,False,False,True,True,False,False,False,False,False,False,,True,True,False,,,False,,False,False,False,False,,False,True,False,False,True,True,True,False,False
District of Columbia,636,635.3,631.7,631.0,638.8,632.0,634.0,634.0,631.9,621.0,641.0,639.6,,,632.0,629.3,658.4,632.9,631.4,625.3,618.5,629.4,632.0,,,626.9,630.3,627.0,,,620.8,,633.9,679.7,645.0,631.1,,,631.0,,676.6,632.0,657.0,626.3,629.9,631.0,-0.7,-4.3,-5.0,2.8,-4.0,-2.0,-2.0,-4.1,-15.0,5.0,3.6,,,-4.0,-6.7,22.4,-3.1,-4.6,-10.7,-17.5,-6.6,-4.0,,,-9.1,-5.7,-9.0,,,-15.2,,-2.1,43.7,9.0,-4.9,,,-5.0,,40.6,-4.0,21.0,-9.7,-6.1,-5.0,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,,,False,False,False,,,False,,False,False,False,False,,,False,,False,False,False,False,False,False
Florida,15186,15535.6,15684.0,14793.0,15755.4,14514.0,14147.0,14992.0,14579.8,14669.0,14660.7,14332.1,,,15156.0,14281.6,13182.6,15329.9,14173.6,14492.7,14620.7,17557.8,13936.0,14025.6,,14083.4,14681.2,14337.0,,15397.0,13291.6,,14766.8,15272.8,15290.0,15248.4,,14249.1,14634.0,15540.4,14031.6,14961.0,13911.5,14361.0,14183.2,14504.0,349.6,498.0,-393.0,569.4,-672.0,-1039.0,-194.0,-606.2,-517.0,-525.3,-853.9,,,-30.0,-904.4,-2003.4,143.9,-1012.4,-693.3,-565.3,2371.8,-1250.0,-1160.4,,-1102.6,-504.8,-849.0,,211.0,-1894.4,,-419.2,86.8,104.0,62.4,,-936.9,-552.0,354.4,-1154.4,-225.0,-1274.5,-825.0,-1002.8,-682.0,False,False,False,False,False,True,False,False,False,False,,,True,False,False,True,False,False,False,False,False,False,,False,False,False,,True,False,,False,True,True,True,,False,False,False,False,True,False,False,False,False
