,mean_rank
YYG-ParamSearch,12.5
CMU-TimeSeries,15.4
LNQ-ens1,15.5
COVIDhub-ensemble,15.8
UMass-MechBayes,15.8
OliverWyman-Navigator,16.2
COVIDhub-baseline,16.3
USC-SI_kJalpha,16.4
Geneva-DetGrowth,16.7
CEID-Walk,17.0
Karlen-pypm,17.8
UCLA-SuEIR,17.9
NotreDame-mobility,18.1
SteveMcConnell-CovidComplete,18.6
IQVIA_ACOE-STAN,18.8
JCB-PRM,19.0
GT-DeepCOVID,19.0
UMich-RidgeTfReg,19.5
DDS-NBDS,19.7
CovidAnalytics-DELPHI,19.9
LANL-GrowthRate,20.0
UA-EpiCovDA,20.0
BPagano-RtDriven,20.4
JHU_IDD-CovidSP,20.7
MIT_CritData-GBCF,21.0
Columbia_UNC-SurvCon,21.0
UCSD_NEU-DeepGLEAM,21.3
MOBS-GLEAM_COVID,21.4
IowaStateLW-STEM,21.6
UT-Mobility,21.6
PSI-DRAFT,22.8
JHU_CSSE-DECOM,23.2
CU-select,23.3
RobertWalraven-ESG,23.8
Google_Harvard-CPF,24.7
JHUAPL-Bucky,25.0
WalmartLabsML-LogForecasting,25.9
Covid19Sim-Simulator,28.4
epiforecasts-ensemble1,31.7
TTU-squider,36.3
