,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2664,3034.7,,2675.1,2938.0,2349.4,2700.0,2723.8,,2942.1,2483.0,,2675.1,,2760.5,2868.2,2819.0,,2671.0,370.7,,11.1,274.0,-314.6,36.0,59.8,,278.1,-181.0,,11.1,,96.5,204.2,155.0,,7.0,,True,True,True,True,True,,True,True,,True,,True,True,True,,True
Alaska,60,66.3,,70.2,62.0,37.2,,48.8,,61.0,65.0,,43.5,,57.4,58.9,72.0,,59.3,6.3,,10.2,2.0,-22.8,,-11.2,,1.0,5.0,,-16.5,,-2.6,-1.1,12.0,,-0.7,,False,True,False,,False,,True,True,,False,,True,True,False,,True
Arizona,5759,6547.0,,5900.2,6181.0,6101.5,6422.0,5672.0,,5554.6,5728.0,,5594.7,,6256.2,5494.9,5697.0,,5805.4,788.0,,141.2,422.0,342.5,663.0,-87.0,,-204.4,-31.0,,-164.3,,497.2,-264.1,-62.0,,46.4,,True,True,True,True,True,,True,True,,True,,True,True,True,,True
Arkansas,1552,1352.1,,1221.4,1176.0,1163.5,1241.0,1149.5,,1012.9,1393.5,,973.4,,1207.7,1078.6,1247.0,,1147.9,-199.9,,-330.6,-376.0,-388.5,-311.0,-402.5,,-539.1,-158.5,,-578.6,,-344.3,-473.4,-305.0,,-404.1,,False,False,False,False,False,,False,True,,False,,False,False,False,,False
California,16567,17529.0,,17112.2,18303.0,19201.8,17283.0,15257.5,,16064.8,17052.5,,15323.6,,16969.8,16285.0,15503.0,,16682.5,962.0,,545.2,1736.0,2634.8,716.0,-1309.5,,-502.2,485.5,,-1243.4,,402.8,-282.0,-1064.0,,115.5,,True,False,False,True,False,,True,True,,False,,True,True,False,,True
Colorado,2112,2082.6,,2061.7,2026.0,2069.8,2115.0,2001.9,,2125.6,2050.0,,2025.0,,2049.4,2343.6,2042.0,,2074.8,-29.4,,-50.3,-86.0,-42.2,3.0,-110.1,,13.6,-62.0,,-87.0,,-62.6,231.6,-70.0,,-37.2,,False,False,False,True,False,,True,False,,False,,False,False,False,,False
Connecticut,4530,4494.3,,4536.5,4480.0,4494.7,4563.0,4494.5,,4527.0,4526.0,,4488.4,,4501.3,4906.6,4511.0,,4537.2,-35.7,,6.5,-50.0,-35.3,33.0,-35.5,,-3.0,-4.0,,-41.6,,-28.7,376.6,-19.0,,7.2,,True,False,True,True,True,,True,True,,False,,True,False,True,,True
Delaware,653,627.4,,634.3,617.0,624.6,643.0,636.8,,666.0,634.0,,616.0,,627.4,702.5,629.0,,639.5,-25.6,,-18.7,-36.0,-28.4,-10.0,-16.2,,13.0,-19.0,,-37.0,,-25.6,49.5,-24.0,,-13.5,,True,False,False,True,True,,True,True,,False,,False,False,True,,True
District of Columbia,636,617.7,,629.3,618.0,665.2,626.0,618.3,,626.6,610.0,,617.9,,617.7,694.4,625.0,,630.8,-18.3,,-6.7,-18.0,29.2,-10.0,-17.7,,-9.4,-26.0,,-18.1,,-18.3,58.4,-11.0,,-5.2,,True,True,False,True,True,,True,False,,True,,False,False,True,,True
Florida,15186,15769.6,,13363.1,14986.0,17355.6,15120.0,13243.0,,14388.7,14257.5,,13008.2,,15409.0,13193.8,13328.0,,13754.0,583.6,,-1822.9,-200.0,2169.6,-66.0,-1943.0,,-797.3,-928.5,,-2177.8,,223.0,-1992.2,-1858.0,,-1432.0,,False,True,False,True,False,,False,False,,False,,True,False,False,,False
Georgia,7393,8368.6,,7408.8,7342.0,8265.8,7102.0,6926.9,,6810.4,8002.5,,7023.3,,7752.3,7293.3,7586.0,,7400.7,975.6,,15.8,-51.0,872.8,-291.0,-466.1,,-582.6,609.5,,-369.7,,359.3,-99.7,193.0,,7.7,,True,True,True,True,True,,True,True,,True,,True,True,True,,True
Hawaii,168,156.7,,191.3,138.0,62.1,,113.3,,166.5,255.0,,102.1,,126.7,140.7,181.0,,141.8,-11.3,,23.3,-30.0,-105.9,,-54.7,,-1.5,87.0,,-65.9,,-41.3,-27.3,13.0,,-26.2,,False,False,False,,False,,True,False,,False,,False,False,False,,False
Idaho,507,663.6,,565.7,498.0,622.9,594.0,493.9,,528.5,576.0,,405.1,,558.4,479.9,524.0,,553.7,156.6,,58.7,-9.0,115.9,87.0,-13.1,,21.5,69.0,,-101.9,,51.4,-27.1,17.0,,46.7,,True,True,True,True,True,,True,True,,True,,True,True,True,,True
Illinois,9221,9042.1,,9230.5,8783.0,9530.9,8834.0,8713.9,14938.0,8965.5,8924.0,,8537.9,,8802.0,10893.8,9000.0,,8951.5,-178.9,,9.5,-438.0,309.9,-387.0,-507.1,5717.0,-255.5,-297.0,,-683.1,,-419.0,1672.8,-221.0,,-269.5,,True,False,False,False,False,False,False,False,,False,,False,False,False,,False
Indiana,3782,3706.9,,3802.0,3883.0,4047.1,3727.0,3580.7,7794.5,3818.8,3929.0,,3559.1,,3627.7,4771.0,3765.0,,3639.6,-75.1,,20.0,101.0,265.1,-55.0,-201.3,4012.5,36.8,147.0,,-222.9,,-154.3,989.0,-17.0,,-142.4,,True,False,False,True,False,False,True,False,,False,,False,False,True,,False
Iowa,1459,1558.1,,1899.7,1514.0,1754.9,1540.0,1451.3,,1419.5,1762.0,,1246.6,,1411.7,2096.0,1803.0,,1578.8,99.1,,440.7,55.0,295.9,81.0,-7.7,,-39.5,303.0,,-212.4,,-47.3,637.0,344.0,,119.8,,False,True,False,True,True,,True,False,,False,,True,False,False,,False
