,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2664,2619.9,2632.0,2631.0,2629.0,2655.0,2778.0,2632.0,2594.6,2700.0,2641.8,2630.7,2720.9,,2713.2,2656.0,2781.0,2660.7,2689.0,2682.1,2622.7,2628.7,2648.3,2668.1,2750.0,2711.2,,2735.1,2651.1,2615.0,,2689.3,2574.0,2668.0,2976.2,2630.0,2628.8,,2719.4,2658.0,2701.3,2957.9,2678.0,2594.0,2644.5,2636.9,2563.0,-44.1,-32.0,-33.0,-35.0,-9.0,114.0,-32.0,-69.4,36.0,-22.2,-33.3,56.9,,49.2,-8.0,117.0,-3.3,25.0,18.1,-41.3,-35.3,-15.7,4.1,86.0,47.2,,71.1,-12.9,-49.0,,25.3,-90.0,4.0,312.2,-34.0,-35.2,,55.4,-6.0,37.3,293.9,14.0,-70.0,-19.5,-27.1,-101.0,True,True,True,True,False,True,False,True,True,True,False,,False,True,False,True,True,True,True,True,True,True,False,False,,False,True,False,,True,False,True,False,True,True,,False,True,True,False,True,False,True,True,False
Alaska,60,76.4,66.1,66.0,66.0,63.0,53.0,57.0,52.7,64.0,68.3,59.4,63.1,,46.7,,,57.1,66.7,70.4,58.5,63.0,60.0,72.3,96.0,62.8,,63.1,70.6,58.0,,,58.7,60.0,56.2,69.0,63.2,,66.8,67.0,57.0,60.0,60.0,59.0,60.9,67.0,55.0,16.4,6.1,6.0,6.0,3.0,-7.0,-3.0,-7.3,4.0,8.3,-0.6,3.1,,-13.3,,,-2.9,6.7,10.4,-1.5,3.0,0.0,12.3,36.0,2.8,,3.1,10.6,-2.0,,,-1.3,0.0,-3.8,9.0,3.2,,6.8,7.0,-3.0,-0.0,0.0,-1.0,0.9,7.0,-5.0,True,True,True,True,True,True,True,True,True,True,True,,True,,,True,True,True,True,True,True,True,False,True,,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True
Arizona,5759,5894.1,5912.3,5912.0,5932.1,5848.0,5814.0,6188.0,5779.8,5881.0,5812.1,5843.0,5797.2,,5823.5,6003.0,5939.0,5825.7,5695.0,5780.7,5869.9,5769.9,5835.2,5803.7,5818.0,6046.9,,5784.7,5937.0,5809.0,,5920.9,5717.5,5967.0,6104.9,5952.0,5910.6,,6055.0,5824.0,6056.3,5817.4,5910.0,5792.5,5886.1,5878.9,5767.0,135.1,153.3,153.0,173.1,89.0,55.0,429.0,20.8,122.0,53.1,84.0,38.2,,64.5,244.0,180.0,66.7,-64.0,21.7,110.9,10.9,76.2,44.7,59.0,287.9,,25.7,178.0,50.0,,161.9,-41.5,208.0,345.9,193.0,151.6,,296.0,65.0,297.3,58.4,151.0,33.5,127.1,119.9,8.0,False,False,False,True,True,False,True,True,True,True,True,,True,False,False,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,False,False,False,False,,False,True,False,True,False,True,True,True,True
Arkansas,1552,1543.9,1474.7,1465.0,1493.0,1493.0,1450.0,1674.0,1624.1,1493.0,1538.9,,1515.0,,1446.1,1521.0,1397.0,1499.1,1412.1,1474.3,1557.9,1427.7,1510.0,1553.6,1489.0,1542.6,,1440.7,1539.4,1648.0,,1645.4,1469.0,1603.0,1272.5,1602.0,1471.6,,1550.8,1528.0,1549.9,1413.3,1525.0,1487.0,1442.1,1477.5,1234.0,-8.1,-77.3,-87.0,-59.0,-59.0,-102.0,122.0,72.1,-59.0,-13.1,,-37.0,,-105.9,-31.0,-155.0,-52.9,-139.9,-77.7,5.9,-124.3,-42.0,1.6,-63.0,-9.4,,-111.3,-12.6,96.0,,93.4,-83.0,51.0,-279.5,50.0,-80.4,,-1.2,-24.0,-2.1,-138.7,-27.0,-65.0,-109.9,-74.5,-318.0,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,True,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,,True,False,True,False,False,False,False,False,False
California,16567,16701.7,16768.1,16658.0,16713.1,16643.0,16551.0,16560.0,16340.8,16684.0,16478.7,16581.5,16448.0,,17091.2,16846.0,16741.0,16544.4,16208.1,16745.5,16547.3,16395.4,16641.5,16403.5,16512.0,17013.7,,16164.1,16805.9,16677.0,,16895.0,16078.6,16773.0,20349.4,16900.0,16655.4,18672.0,17018.8,16532.0,16823.6,16477.0,16687.0,16378.0,16490.5,16683.1,16061.0,134.7,201.1,91.0,146.1,76.0,-16.0,-7.0,-226.2,117.0,-88.3,14.5,-119.0,,524.2,279.0,174.0,-22.6,-358.9,178.5,-19.7,-171.6,74.5,-163.5,-55.0,446.7,,-402.9,238.9,110.0,,328.0,-488.4,206.0,3782.4,333.0,88.4,2105.0,451.8,-35.0,256.6,-90.0,120.0,-189.0,-76.5,116.1,-506.0,False,True,False,True,True,True,False,True,True,True,True,,False,False,False,True,False,False,True,False,True,False,True,False,,False,False,True,,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False
Colorado,2112,2091.1,2092.6,2094.0,2095.0,2100.0,2138.0,2148.0,2095.8,2061.0,2098.6,2104.0,2119.6,,2083.9,2093.0,2111.0,2101.5,2251.4,2128.2,2105.6,2094.9,2100.2,2102.2,2152.0,2064.0,,2044.1,2113.7,2056.0,,2088.9,2067.8,2111.0,2334.5,2104.0,2086.9,,2072.3,2103.0,2114.3,2239.3,2126.0,2100.0,2071.9,2099.4,2078.0,-20.9,-19.4,-18.0,-17.0,-12.0,26.0,36.0,-16.2,-51.0,-13.4,-8.0,7.6,,-28.1,-19.0,-1.0,-10.5,139.4,16.2,-6.4,-17.1,-11.8,-9.8,40.0,-48.0,,-67.9,1.7,-56.0,,-23.1,-44.2,-1.0,222.5,-8.0,-25.1,,-39.7,-9.0,2.3,127.3,14.0,-12.0,-40.1,-12.6,-34.0,True,True,True,True,False,False,True,False,True,True,True,,False,True,True,True,False,True,True,True,True,True,False,False,,False,True,False,,False,False,True,False,True,False,,False,True,True,False,True,True,False,True,False
Connecticut,4530,4517.7,4516.8,4519.0,4523.0,4520.0,4533.0,4533.0,4519.7,4502.0,4520.8,4524.1,4553.6,,4518.4,4516.0,4541.0,4519.3,4617.9,4533.3,4521.5,4508.8,4514.4,4575.3,4529.0,4518.1,,4527.7,4517.6,4512.0,,4520.6,4510.7,4527.0,5010.9,4517.0,4517.1,,4526.3,4520.0,4557.6,4677.0,4527.0,4518.0,4502.7,4530.0,4508.0,-12.3,-13.2,-11.0,-7.0,-10.0,3.0,3.0,-10.3,-28.0,-9.2,-5.9,23.6,,-11.6,-14.0,11.0,-10.7,87.9,3.3,-8.5,-21.2,-15.6,45.3,-1.0,-11.9,,-2.3,-12.4,-18.0,,-9.4,-19.3,-3.0,480.9,-13.0,-12.9,,-3.7,-10.0,27.6,147.0,-3.0,-12.0,-27.3,-0.0,-22.0,False,True,True,True,True,True,True,False,True,True,False,,True,False,True,True,False,True,True,False,False,False,True,True,,True,False,False,,True,False,True,False,False,False,,True,True,False,False,True,True,False,True,False
Delaware,671,655.3,655.8,653.0,657.0,653.0,648.0,658.0,648.1,635.0,654.5,651.4,651.9,,643.2,654.0,649.0,645.5,657.4,649.8,647.5,642.2,645.0,652.8,649.0,652.1,,645.8,657.2,639.0,,,648.2,655.0,717.0,665.0,652.6,,660.3,645.0,673.7,682.7,647.0,703.0,643.8,649.2,647.0,-2.7,-2.2,-5.0,-1.0,-5.0,-10.0,0.0,-9.9,-23.0,-3.5,-6.6,-6.1,,-14.8,-4.0,-9.0,-12.5,-0.6,-8.2,-10.5,-15.8,-13.0,-5.2,-9.0,-5.9,,-12.2,-0.8,-19.0,,,-9.8,-3.0,59.0,7.0,-5.4,,2.3,-13.0,15.7,24.7,-11.0,45.0,-14.2,-8.8,-11.0,True,False,True,False,False,True,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,,False,True,False,,,False,False,False,False,False,,True,False,False,False,False,False,False,False,False
District of Columbia,636,631.4,633.7,633.0,634.3,632.0,635.0,632.0,629.6,627.0,636.5,633.8,639.8,,630.1,630.0,626.0,629.9,641.9,634.1,632.4,629.9,624.5,634.9,632.0,,,630.7,632.0,627.0,,,624.5,633.0,661.0,643.0,632.5,,,631.0,,651.7,633.0,628.0,627.7,631.0,631.0,-4.6,-2.3,-3.0,-1.7,-4.0,-1.0,-4.0,-6.4,-9.0,0.5,-2.2,3.8,,-5.9,-6.0,-10.0,-6.1,5.9,-1.9,-3.6,-6.1,-11.5,-1.1,-4.0,,,-5.3,-4.0,-9.0,,,-11.5,-3.0,25.0,7.0,-3.5,,,-5.0,,15.7,-3.0,-8.0,-8.3,-5.0,-5.0,True,True,True,True,True,True,False,False,True,True,True,,False,False,False,False,False,True,True,False,False,True,True,,,False,True,False,,,False,True,False,False,True,,,False,,False,True,False,False,False,False
Florida,15186,15398.9,15525.8,15418.0,15492.1,15065.0,14864.0,15296.0,15058.6,14963.0,14849.6,15228.9,14753.8,,15750.2,15639.0,15110.0,14987.6,14340.9,15266.5,14909.4,15024.4,15090.1,15013.8,14991.0,15484.3,,15172.7,15589.5,14985.0,,15424.8,14502.5,15427.0,15576.2,15038.0,15341.9,,15828.9,15065.0,15490.7,14692.2,15498.0,14608.0,14966.7,15143.3,14646.0,212.9,339.8,232.0,306.1,-121.0,-322.0,110.0,-127.4,-223.0,-336.4,42.9,-432.2,,564.2,453.0,-76.0,-198.4,-845.1,80.5,-276.6,-161.6,-95.9,-172.2,-195.0,298.3,,-13.3,403.5,-201.0,,238.8,-683.5,241.0,390.2,-148.0,155.9,,642.9,-121.0,304.7,-493.8,312.0,-578.0,-219.3,-42.7,-540.0,False,False,False,True,False,True,True,False,False,True,False,,False,False,True,True,False,True,False,True,True,True,True,False,,True,False,True,,False,False,False,False,True,True,,False,True,False,False,False,False,False,True,False
