,total_deaths_2020-08-30,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,183204,214861.1,214613,31795.1,31409,386.1,1.2%
STH-3PU,183204,213546.0,214613,30480.0,31409,-929.0,-3.0%
IowaStateLW-STEM,183204,215680.0,214613,32614.0,31409,1205.0,3.8%
CovidAnalytics-DELPHI,183204,213031.0,214613,29965.0,31409,-1444.0,-4.6%
USC-SI_kJalpha,183204,212903.0,214613,29837.0,31409,-1572.0,-5.0%
UCLA-SuEIR,183204,212543.2,214613,29477.2,31409,-1931.8,-6.2%
Columbia_UNC-SurvCon,183204,212295.0,214613,29229.0,31409,-2180.0,-6.9%
QJHong-Encounter,183204,210400.5,214613,27334.5,31409,-4074.5,-13.0%
YYG-ParamSearch,183204,209841.9,214613,26775.9,31409,-4633.1,-14.8%
NotreDame-mobility,183204,209298.0,214613,26232.0,31409,-5177.0,-16.5%
Baseline,183204,219766.9,214613,36700.9,31409,5291.9,16.8%
PSI-DRAFT,183204,220181.0,214613,37115.0,31409,5706.0,18.2%
USACE-ERDC_SEIR,183204,221654.8,214613,38588.8,31409,7179.8,22.9%
WalmartLabsML-LogForecasting,183204,203075.0,214613,20009.0,31409,-11400.0,-36.3%
RobertWalraven-ESG,183204,202435.1,214613,19369.1,31409,-12039.9,-38.3%
LANL-GrowthRate,183204,201476.2,214613,18410.2,31409,-12998.8,-41.4%
IHME-CurveFit,183204,227794.5,214613,44728.5,31409,13319.5,42.4%
NotreDame-FRED,183204,,214613,,31409,,
