,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2664,3016.9,2706.8,,2642.8,2780.6,352.9,42.8,,-21.2,116.6,True,,True,True
Alaska,60,43.7,33.9,,39.8,56.2,-16.3,-26.1,,-20.2,-3.8,False,,False,True
Arizona,5759,7560.0,6061.5,,5827.7,6485.5,1801.0,302.5,,68.7,726.5,True,,True,True
Arkansas,1552,1252.6,1174.5,,950.9,1054.6,-299.4,-377.5,,-601.1,-497.4,False,,False,False
California,16567,19065.9,18932.6,,15702.5,17448.9,2498.9,2365.6,,-864.5,881.9,True,,True,True
Colorado,2112,1982.0,2803.4,,1954.9,2238.2,-130.0,691.4,,-157.1,126.2,False,,False,True
Connecticut,4530,4520.7,4626.8,,4518.1,4545.0,-9.3,96.8,,-11.9,15.0,False,,False,False
Delaware,653,644.1,647.0,,648.3,653.1,-8.9,-6.0,,-4.7,0.1,True,,True,True
District of Columbia,636,635.3,596.5,,641.0,639.3,-0.7,-39.5,,5.0,3.3,False,,False,False
Florida,15186,17946.6,15880.5,,12901.6,15396.9,2760.6,694.5,,-2284.4,210.9,True,,True,True
Georgia,7393,7378.7,8706.4,,6208.5,6584.0,-14.3,1313.4,,-1184.5,-809.0,False,,False,False
Hawaii,168,75.3,28.3,,75.5,100.7,-92.7,-139.7,,-92.5,-67.3,False,,True,True
Idaho,507,591.3,617.6,,322.9,616.3,84.3,110.6,,-184.1,109.3,False,,False,False
Illinois,9221,9005.3,8682.1,,9075.3,9308.9,-215.7,-538.9,,-145.7,87.9,False,,True,True
Indiana,3782,3625.6,3733.0,,3386.8,3933.7,-156.4,-49.0,,-395.2,151.7,True,,False,True
Iowa,1459,1400.4,1302.6,,1176.0,1349.0,-58.6,-156.4,,-283.0,-110.0,False,,False,False
Kansas,773,548.3,1000.6,,461.1,603.9,-224.7,227.6,,-311.9,-169.1,False,,False,True
Kentucky,1249,1047.6,1592.1,,956.3,1148.1,-201.4,343.1,,-292.7,-100.9,False,,False,True
Louisiana,5635,6530.4,6366.5,,5513.6,5563.2,895.4,731.5,,-121.4,-71.8,True,,True,True
Maine,143,142.7,142.3,,130.6,144.7,-0.3,-0.7,,-12.4,1.7,False,,False,False
Maryland,3995,4205.0,4214.9,,3975.8,4437.0,210.0,219.9,,-19.2,442.0,False,,True,False
Massachusetts,9587,9594.1,9355.5,,9170.8,9684.9,7.1,-231.5,,-416.2,97.9,False,,False,False
Michigan,7219,7068.1,7085.9,,6898.0,7120.8,-150.9,-133.1,,-321.0,-98.2,True,,False,True
Minnesota,2184,2087.7,1967.0,,2013.4,2158.6,-96.3,-217.0,,-170.6,-25.4,False,,False,True
Mississippi,3096,3605.4,3110.2,,2729.8,3076.7,509.4,14.2,,-366.2,-19.3,True,,True,True
Missouri,2407,1847.7,3057.1,,1890.5,1969.2,-559.3,650.1,,-516.5,-437.8,False,,True,True
Montana,209,199.0,147.9,,113.1,210.9,-10.0,-61.1,,-95.9,1.9,False,,False,True
Nebraska,519,460.1,492.1,,409.5,481.4,-58.9,-26.9,,-109.5,-37.6,True,,False,True
Nevada,1659,2064.1,2139.3,,1536.4,1764.2,405.1,480.3,,-122.6,105.2,False,,True,True
New Hampshire,455,436.7,488.6,,467.1,497.4,-18.3,33.6,,12.1,42.4,False,,True,False
New Jersey,16171,16210.6,16251.3,,16299.0,16224.1,39.6,80.3,,128.0,53.1,False,,False,False
New Mexico,907,959.6,1036.0,,820.9,984.2,52.6,129.0,,-86.1,77.2,False,,False,False
New York,33466,33340.9,33296.1,,33095.5,33190.6,-144.1,-188.9,,-389.5,-294.4,False,,False,False
North Carolina,3765,4043.1,4254.9,,3462.1,3641.1,278.1,489.9,,-302.9,-123.9,False,,False,True
North Dakota,336,174.0,157.7,,197.4,181.5,-162.0,-178.3,,-138.6,-154.5,False,,True,True
Ohio,4997,4909.0,5754.1,,4222.7,5052.6,-88.0,757.1,,-774.3,55.6,False,,False,True
Oklahoma,1095,1072.4,1422.3,,866.1,1076.7,-22.6,327.3,,-228.9,-18.3,False,,False,True
Oregon,599,621.7,1057.7,,438.9,692.3,22.7,458.7,,-160.1,93.3,False,,False,False
Pennsylvania,8324,8090.4,8019.0,,7919.0,8177.4,-233.6,-305.0,,-405.0,-146.6,False,,False,True
Rhode Island,1130,1076.0,1056.4,,1102.7,1098.6,-43.0,-62.6,,-16.3,-20.4,False,,True,True
South Carolina,3551,4280.7,3451.8,,3035.4,3813.7,729.7,-99.2,,-515.6,262.7,True,,True,True
South Dakota,286,243.4,193.5,,224.1,216.3,-42.6,-92.5,,-61.9,-69.7,False,,False,False
Tennessee,2758,2551.6,1974.0,,2278.5,2258.2,-206.4,-784.0,,-479.5,-499.8,False,,False,False
Texas,17208,23115.9,20364.5,15725.0,13968.7,18139.1,6273.9,3522.5,-1117.0,-2873.3,1297.1,True,True,True,True
Utah,510,557.4,605.2,,460.1,611.7,47.4,95.2,,-49.9,101.7,False,,False,False
Vermont,58,66.9,59.4,,62.7,68.6,8.9,1.4,,4.7,10.6,True,,True,False
Virginia,3354,3282.6,4032.2,,2746.9,3650.4,-71.4,678.2,,-607.1,296.4,False,,False,False
Washington,2168,2502.9,2604.4,,2114.6,2583.9,368.9,470.4,,-19.4,449.9,False,,True,False
West Virginia,387,333.9,188.7,,198.5,326.5,-53.1,-198.3,,-188.5,-60.5,False,,False,False
