,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2664,2919.4,2507.0,,2523.7,2808.0,2604.5,2270.9,,2653.3,2532.3,2292.0,2706.6,255.4,-157.0,,-140.3,144.0,-59.5,-393.1,,-10.7,-131.7,-372.0,42.6,True,,True,True,True,False,,True,True,False,True
Alaska,60,43.7,52.0,,91.1,,125.6,38.4,,42.8,69.3,28.0,50.9,-16.3,-8.0,,31.1,,65.6,-21.6,,-17.2,9.3,-32.0,-9.1,True,,False,,False,False,,False,True,False,True
Arizona,5759,7303.1,5786.0,,4423.9,6798.0,5356.3,5664.9,,6203.7,5412.1,5136.0,6336.7,1544.1,27.0,,-1335.1,1039.0,-402.7,-94.1,,444.7,-346.9,-623.0,577.7,True,,True,True,True,True,,True,True,True,True
Arkansas,1552,1031.1,897.0,,1048.0,1079.0,677.9,727.2,,801.9,925.0,844.0,1013.8,-520.9,-655.0,,-504.0,-473.0,-874.1,-824.8,,-750.1,-627.0,-708.0,-538.2,False,,True,True,False,False,,False,False,False,False
California,16567,18047.3,14766.0,,15742.7,18002.0,18537.9,13593.9,,16033.4,19091.0,16379.0,17057.9,1480.3,-1801.0,,-824.3,1435.0,1970.9,-2973.1,,-533.6,2524.0,-188.0,490.9,False,,True,True,False,False,,True,False,True,True
Colorado,2112,2194.6,2187.0,,2162.0,2116.0,2598.1,2079.2,,2235.6,2473.5,2047.0,2215.6,82.6,75.0,,50.0,4.0,486.1,-32.8,,123.6,361.5,-65.0,103.6,True,,True,True,False,True,,False,False,True,False
Connecticut,4530,4547.3,4713.0,,4512.3,4526.0,4492.7,4481.9,,4551.3,4783.9,4479.0,4527.8,17.3,183.0,,-17.7,-4.0,-37.3,-48.1,,21.3,253.9,-51.0,-2.2,False,,False,True,False,False,,False,False,False,True
Delaware,653,608.7,682.0,,635.3,634.0,677.1,602.2,,623.8,905.0,604.0,658.0,-44.3,29.0,,-17.7,-19.0,24.1,-50.8,,-29.2,252.0,-49.0,5.0,True,,True,True,True,False,,True,False,False,True
District of Columbia,636,644.1,668.0,,641.2,623.0,589.1,,,650.1,753.7,640.0,639.6,8.1,32.0,,5.2,-13.0,-46.9,,,14.1,117.7,4.0,3.6,False,,True,False,False,,,False,False,True,True
Florida,15186,19399.1,14670.0,,11649.5,15759.0,9342.1,13203.0,,16239.9,13613.9,13536.0,15631.9,4213.1,-516.0,,-3536.5,573.0,-5843.9,-1983.0,,1053.9,-1572.1,-1650.0,445.9,True,,True,True,False,True,,True,True,True,True
