,actual_deaths,Baseline,Covid19Sim-Simulator,error-Baseline,error-Covid19Sim-Simulator,beat_baseline-Covid19Sim-Simulator
Alabama,2664,2119.7,2137.6,-544.3,-526.4,True
Alaska,60,10.0,11.7,-50.0,-48.3,True
Arizona,5759,2905.9,1915.3,-2853.1,-3843.7,False
Arkansas,1552,453.6,482.2,-1098.4,-1069.8,True
California,16567,12073.1,11269.6,-4493.9,-5297.4,False
Colorado,2112,3575.9,1901.9,1463.9,-210.1,True
Connecticut,4530,8677.1,4898.0,4147.1,368.0,True
Delaware,653,1120.3,501.5,467.3,-151.5,True
District of Columbia,636,1107.1,627.2,471.1,-8.8,True
Florida,15186,6486.4,3871.7,-8699.6,-11314.3,False
Georgia,7393,6314.7,3241.1,-1078.3,-4151.9,False
Hawaii,168,17.0,17.8,-151.0,-150.2,True
Idaho,507,138.6,172.1,-368.4,-334.9,True
Illinois,9221,15459.7,8128.4,6238.7,-1092.6,True
Indiana,3782,5113.4,2786.3,1331.4,-995.7,True
Iowa,1459,2024.7,960.2,565.7,-498.8,True
Kansas,773,403.6,324.3,-369.4,-448.7,False
Kentucky,1249,1185.3,617.1,-63.7,-631.9,False
Louisiana,5635,4676.7,3601.3,-958.3,-2033.7,False
Maine,143,296.4,191.0,153.4,48.0,True
Maryland,3995,7340.6,5050.2,3345.6,1055.2,True
Massachusetts,9587,15784.3,8640.0,6197.3,-947.0,True
Michigan,7219,10450.4,6224.5,3471.4,-754.5,True
Minnesota,2184,4293.4,2063.9,2109.4,-120.1,True
Mississippi,3096,2789.4,1301.0,-306.6,-1795.0,False
Missouri,2407,2473.1,977.5,104.1,-1391.5,False
Montana,209,35.9,18.3,-173.1,-190.7,False
Nebraska,519,603.7,533.8,84.7,14.8,True
Nevada,1659,1114.7,555.7,-544.3,-1103.3,False
New Hampshire,455,923.9,335.3,468.9,-119.7,True
New Jersey,16171,22258.0,12805.6,7907.0,-1545.4,True
New Mexico,907,1091.4,546.7,184.4,-360.3,False
New York,33466,41909.1,32283.5,9358.1,-267.5,True
North Carolina,3765,3822.1,3414.7,57.1,-350.3,False
North Dakota,336,211.9,145.9,-124.1,-190.1,False
Ohio,4997,5662.4,3367.6,665.4,-1629.4,False
Oklahoma,1095,767.7,422.8,-327.3,-672.2,False
Oregon,599,247.3,173.1,-351.7,-425.9,False
Pennsylvania,8324,13456.1,6844.6,5132.1,-1479.4,True
Rhode Island,1130,2792.3,898.3,1769.3,-124.7,True
South Carolina,3551,1606.6,980.1,-1944.4,-2570.9,False
South Dakota,286,288.3,173.9,2.3,-112.1,False
Tennessee,2758,892.0,724.2,-1866.0,-2033.8,False
Texas,17208,4447.0,4187.7,-12570.0,-12829.3,False
Utah,510,414.7,793.3,-95.3,283.3,False
Vermont,58,73.9,57.0,15.9,-1.0,True
Virginia,3354,5221.9,2255.0,1867.9,-1099.0,True
Washington,2168,2192.9,1716.5,29.9,-446.5,False
West Virginia,387,131.6,160.2,-255.4,-226.8,True
Wisconsin,1568,2138.3,1566.4,628.3,56.4,True
Wyoming,54,91.4,31.6,37.4,-22.4,True
US,214882,230007.3,147177.7,18499.3,-64330.3,False
