,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,89.1,24.1,168.1,0.3,6.8,65.6,739.4
LANL-GrowthRate,51.0,95.0,43.0,146.2,0.2,13.3,88.4,700.4
UMass-MechBayes,51.0,96.0,44.0,123.7,0.0,16.5,135.0,681.0
COVIDhub-ensemble,51.0,105.4,29.5,198.7,0.3,7.7,95.0,1187.2
CU-select,51.0,129.0,66.0,144.3,0.0,23.5,190.5,602.0
Baseline_0.98,51.0,129.3,42.7,273.8,0.0,8.1,83.1,1520.4
IHME-CurveFit,51.0,143.1,40.8,290.0,2.0,10.2,126.7,1359.0
UT-Mobility,51.0,144.6,42.5,267.2,2.9,22.1,172.0,1676.0
UCLA-SuEIR,51.0,157.8,51.3,503.7,0.2,11.8,130.3,3543.5
Baseline,51.0,201.6,34.6,459.5,0.0,5.7,116.3,2453.9
MIT_CovidAnalytics-DELPHI,51.0,226.0,87.0,374.1,0.0,10.0,240.0,1637.0
MOBS_NEU-GLEAM_COVID,51.0,295.7,46.9,695.7,1.8,15.0,190.8,4207.8
