,actual_deaths,Baseline,Baseline_0.98,CU-select,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,NotreDame-FRED,UT-Mobility,YYG-ParamSearch,error-Baseline,error-CU,error-IHME,error-IowaStateLW,error-LANL,error-MIT_CovidAnalytics,error-NotreDame,error-UT,error-YYG,beat_baseline-CU,beat_baseline-IHME,beat_baseline-IowaStateLW,beat_baseline-LANL,beat_baseline-MIT_CovidAnalytics,beat_baseline-NotreDame,beat_baseline-UT,beat_baseline-YYG
Alabama,618,520.1,439.0,709.0,309.1,325.0,420.0,461.0,,438.0,477.7,-97.9,91.0,-308.9,-293.0,-198.0,-157.0,,-180.0,-140.3,True,False,False,False,False,False,False,False
Alaska,10,9.0,9.0,15.0,,,10.4,12.0,,52.1,22.5,-1.0,5.0,,,0.4,2.0,,42.1,12.5,False,False,False,True,False,False,False,False
Arizona,904,717.0,598.0,903.0,700.2,574.0,638.0,594.0,,578.4,701.6,-187.0,-1.0,-203.8,-330.0,-266.0,-310.0,,-325.6,-202.4,True,False,False,False,False,False,False,False
Arkansas,133,109.3,93.6,126.0,150.9,146.0,95.2,202.0,,106.1,111.4,-23.7,-7.0,17.9,13.0,-37.8,69.0,,-26.9,-21.6,True,True,True,False,False,False,False,True
California,4144,4386.7,3669.9,5725.0,2035.4,3385.0,3804.3,3781.0,,2981.1,3864.4,242.7,1581.0,-2108.6,-759.0,-339.7,-363.0,,-1162.9,-279.6,False,False,False,False,False,False,False,False
Colorado,1443,1989.7,1639.1,1391.0,1052.3,1291.0,2142.6,1539.0,,1310.3,1584.7,546.7,-52.0,-390.7,-152.0,699.6,96.0,,-132.7,141.7,True,True,True,False,True,False,True,True
Connecticut,3912,5795.1,4752.6,4289.0,3353.8,3249.0,3519.2,5931.0,,3081.8,4227.2,1883.1,377.0,-558.2,-663.0,-392.8,2019.0,,-830.2,315.2,True,True,True,True,False,False,True,True
Delaware,361,377.4,308.1,668.0,156.6,412.0,242.0,430.0,,276.4,312.9,16.4,307.0,-204.4,51.0,-119.0,69.0,,-84.6,-48.1,False,False,False,False,False,False,False,False
District of Columbia,462,576.3,469.0,,255.2,428.0,439.9,488.0,,548.6,423.9,114.3,,-206.8,-34.0,-22.1,26.0,,86.6,-38.1,False,False,True,True,True,False,True,True
Florida,2447,2537.0,2143.3,2047.0,1894.1,2045.0,1830.3,2119.0,,1564.6,2145.8,90.0,-400.0,-552.9,-402.0,-616.7,-328.0,,-882.4,-301.2,False,False,False,False,False,False,False,False
Georgia,2004,2028.3,1728.7,1523.0,2188.6,1435.0,1503.3,1367.0,,1217.0,1740.5,24.3,-481.0,184.6,-569.0,-500.7,-637.0,,-787.0,-263.5,False,False,False,False,False,False,False,False
Hawaii,17,33.4,28.2,14.0,22.7,,16.9,20.0,,56.6,35.2,16.4,-3.0,5.7,,-0.1,3.0,,39.6,18.2,True,True,False,True,True,False,False,False
Idaho,82,114.3,98.6,91.0,66.0,101.0,71.0,92.0,,178.0,115.3,32.3,9.0,-16.0,19.0,-11.0,10.0,,96.0,33.3,True,True,True,True,True,False,False,False
Illinois,5330,5056.1,4215.0,5270.0,2292.2,4243.0,5137.3,5984.0,2353.0,3068.9,4320.6,-273.9,-60.0,-3037.8,-1087.0,-192.7,654.0,-2977.0,-2261.1,-1009.4,True,False,False,True,False,False,False,False
Indiana,2125,2032.1,1703.8,1303.0,1017.9,1392.0,1881.2,1897.0,962.5,1429.6,1678.2,-92.9,-822.0,-1107.1,-733.0,-243.8,-228.0,-1162.5,-695.4,-446.8,False,False,False,False,False,False,False,False
Iowa,531,326.9,270.6,1336.0,314.0,385.0,595.8,862.0,,260.9,362.2,-204.1,805.0,-217.0,-146.0,64.8,331.0,,-270.1,-168.8,False,False,True,True,False,False,False,True
Kansas,215,257.0,220.4,208.0,329.5,360.0,280.0,450.0,,204.0,269.5,42.0,-7.0,114.5,145.0,65.0,235.0,,-11.0,54.5,True,False,False,False,False,False,True,False
Kentucky,431,509.1,428.0,247.0,506.4,324.0,409.9,497.0,,427.9,454.9,78.1,-184.0,75.4,-107.0,-21.1,66.0,,-3.1,23.9,False,True,False,True,True,False,True,True
Louisiana,2786,3832.1,3265.7,2230.0,2032.5,2928.0,1984.5,2201.0,,2191.8,3369.6,1046.1,-556.0,-753.5,142.0,-801.5,-585.0,,-594.2,583.6,True,True,True,True,True,False,True,True
Maine,89,127.7,106.8,58.0,66.5,68.0,65.4,95.0,,180.4,127.4,38.7,-31.0,-22.5,-21.0,-23.6,6.0,,91.4,38.4,True,True,True,True,True,False,False,True
Maryland,2509,3090.9,2503.5,3736.0,1196.5,1830.0,2990.0,2728.0,,1482.1,2364.5,581.9,1227.0,-1312.5,-679.0,481.0,219.0,,-1026.9,-144.5,False,False,False,True,True,False,False,True
Massachusetts,6768,8693.6,7133.0,11012.0,5599.5,6027.0,9672.2,9219.0,,5115.4,7722.1,1925.6,4244.0,-1168.5,-741.0,2904.2,2451.0,,-1652.6,954.1,False,True,True,False,False,False,True,True
Michigan,5704,8138.7,6890.8,4985.0,3818.1,4994.0,4751.8,6041.0,4352.0,4630.9,6456.9,2434.7,-719.0,-1885.9,-710.0,-952.2,337.0,-1352.0,-1073.1,752.9,True,True,True,True,True,True,True,True
Minnesota,1036,942.3,761.8,304.0,727.3,439.0,925.0,870.0,175.5,1087.7,753.9,-93.7,-732.0,-308.7,-597.0,-111.0,-166.0,-860.5,51.7,-282.1,False,False,False,False,False,False,True,False
Mississippi,723,557.3,468.3,258.0,380.0,305.0,342.0,694.0,,433.8,487.8,-165.7,-465.0,-343.0,-418.0,-381.0,-29.0,,-289.2,-235.2,False,False,False,False,True,False,False,False
Missouri,812,1015.1,842.5,797.0,626.7,512.0,417.8,598.0,,510.7,599.8,203.1,-15.0,-185.3,-300.0,-394.2,-214.0,,-301.3,-212.2,True,True,False,False,False,False,False,False
Montana,17,33.4,28.2,15.0,26.8,19.0,15.1,12.0,,138.9,39.0,16.4,-2.0,9.8,2.0,-1.9,-5.0,,121.9,22.0,True,True,True,True,True,False,False,False
Nebraska,170,192.0,155.4,16.0,320.6,300.0,348.6,524.0,,195.1,138.1,22.0,-154.0,150.6,130.0,178.6,354.0,,25.1,-31.9,False,False,False,False,False,False,False,False
Nevada,417,439.1,376.4,462.0,259.4,506.0,389.9,431.0,,290.3,413.1,22.1,45.0,-157.6,89.0,-27.1,14.0,,-126.7,-3.9,False,False,False,False,True,False,False,True
New Hampshire,238,166.9,138.1,253.0,71.6,119.0,115.9,169.0,,126.0,139.5,-71.1,15.0,-166.4,-119.0,-122.1,-69.0,,-112.0,-98.5,True,False,False,False,True,False,False,False
New Jersey,11634,13592.9,11531.3,14797.0,7051.0,11626.0,11114.7,12818.0,,7414.6,11413.8,1958.9,3163.0,-4583.0,-8.0,-519.3,1184.0,,-4219.4,-220.2,False,False,True,True,True,False,False,True
New Mexico,351,312.7,255.2,453.0,209.9,186.0,279.2,294.0,,481.7,259.3,-38.3,102.0,-141.1,-165.0,-71.8,-57.0,,130.7,-91.7,False,False,False,False,False,False,False,False
New York,29710,40177.3,35354.2,30551.0,24087.6,29518.0,34341.1,33175.0,,19288.0,33240.0,10467.3,841.0,-5622.4,-192.0,4631.1,3465.0,,-10422.0,3530.0,True,True,True,True,True,False,True,True
North Carolina,929,926.3,764.1,464.0,375.4,510.0,838.8,870.0,,884.1,804.1,-2.7,-465.0,-553.6,-419.0,-90.2,-59.0,,-44.9,-124.9,False,False,False,False,False,False,False,False
North Dakota,60,55.9,45.4,13.0,186.6,45.0,34.2,90.0,,86.1,38.8,-4.1,-47.0,126.6,-15.0,-25.8,30.0,,26.1,-21.2,False,False,False,False,False,False,False,False
Ohio,2149,1976.3,1640.1,2017.0,835.5,1434.0,1141.3,2882.0,764.5,1345.7,1689.9,-172.7,-132.0,-1313.5,-715.0,-1007.7,733.0,-1384.5,-803.3,-459.1,True,False,False,False,False,False,False,False
Oklahoma,334,462.1,390.2,285.0,,297.0,324.9,378.0,,319.6,419.6,128.1,-49.0,,-37.0,-9.1,44.0,,-14.4,85.6,True,False,True,True,True,False,True,True
Oregon,153,179.4,155.9,169.0,124.8,147.0,161.6,173.0,,178.6,177.3,26.4,16.0,-28.2,-6.0,8.6,20.0,,25.6,24.3,True,False,True,True,True,False,True,True
Pennsylvania,5537,4438.9,3732.5,5337.0,2318.2,3756.0,3836.8,4710.0,,3368.4,3915.8,-1098.1,-200.0,-3218.8,-1781.0,-1700.2,-827.0,,-2168.6,-1621.2,True,False,False,False,True,False,False,False
Rhode Island,711,595.1,495.7,1580.0,593.5,690.0,574.0,808.0,,449.6,568.1,-115.9,869.0,-117.5,-21.0,-137.0,97.0,,-261.4,-142.9,False,False,True,False,True,False,False,False
South Carolina,487,436.3,365.6,301.0,347.5,363.0,348.8,325.0,,331.6,353.2,-50.7,-186.0,-139.5,-124.0,-138.2,-162.0,,-155.4,-133.8,False,False,False,False,False,False,False,False
South Dakota,62,30.4,25.2,186.0,36.0,171.0,20.3,48.0,,401.3,46.5,-31.6,124.0,-26.0,109.0,-41.7,-14.0,,339.3,-15.5,False,True,False,False,True,False,False,True
Tennessee,364,341.3,298.1,546.0,247.5,835.0,426.1,438.0,,294.9,320.6,-22.7,182.0,-116.5,471.0,62.1,74.0,,-69.1,-43.4,False,False,False,False,False,False,False,False
Texas,1652,1433.0,1222.4,1667.0,1436.6,1906.0,1243.6,1285.0,,1111.1,1260.2,-219.0,15.0,-215.4,254.0,-408.4,-367.0,,-540.9,-391.8,True,True,False,False,False,False,False,False
Utah,112,109.0,90.7,441.0,366.2,224.0,85.6,65.0,,155.9,99.1,-3.0,329.0,254.2,112.0,-26.4,-47.0,,43.9,-12.9,False,False,False,False,False,False,False,False
Vermont,55,84.9,74.4,52.0,54.2,53.0,50.5,62.0,,139.3,84.3,29.9,-3.0,-0.8,-2.0,-4.5,7.0,,84.3,29.3,True,True,True,True,True,False,False,True
Virginia,1370,1284.4,1059.4,1297.0,633.8,1042.0,1366.5,1886.0,,896.1,1096.6,-85.6,-73.0,-736.2,-328.0,-3.5,516.0,,-473.9,-273.4,True,False,False,True,False,False,False,False
