,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,24229.7,1936.0,67902.4,0.0,274.5,18274.0,463761.0
LANL-GrowthRate,51.0,29990.4,1848.7,87108.2,0.0,177.1,7810.5,490600.7
YYG-ParamSearch,51.0,35639.6,580.4,107417.3,0.1,46.8,4315.3,546712.2
CU-select,51.0,37048.9,4356.0,74169.3,0.0,564.5,36290.5,362404.0
COVIDhub-ensemble,51.0,49821.8,872.3,203491.3,0.1,58.9,9043.0,1409358.1
Baseline_0.98,51.0,90230.6,1819.1,353241.1,0.0,66.1,6919.4,2311568.2
UT-Mobility,51.0,90894.6,1806.2,399344.4,8.2,487.2,29701.5,2808976.0
IHME-CurveFit,51.0,102936.7,1666.6,365926.3,4.0,104.9,16127.6,1846919.1
MIT_CovidAnalytics-DELPHI,51.0,188302.3,7569.0,552509.1,0.0,101.0,57664.0,2679769.0
Baseline,51.0,247665.1,1195.2,939824.2,0.0,33.2,13687.7,6021414.9
UCLA-SuEIR,51.0,273654.4,2630.2,1757731.6,0.0,138.5,16984.0,12556621.8
MOBS_NEU-GLEAM_COVID,51.0,561930.5,2196.5,2564056.2,3.1,225.4,36400.6,17705209.3
