,actual_deaths,Baseline,Baseline_0.98,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_40,UChicago-CovidIL_60,UChicago-CovidIL_80,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-ensemble,error-CU-select,error-GT-DeepCOVID,error-IHME-CurveFit,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_40,error-UChicago-CovidIL_60,error-UChicago-CovidIL_80,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-GT-DeepCOVID,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_40,beat_baseline-UChicago-CovidIL_60,beat_baseline-UChicago-CovidIL_80,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,618,687.3,637.5,655.0,651.0,,736.2,613.0,560.0,846.9,,562.3,,,,,,696.0,575.5,657.5,69.3,37.0,33.0,,118.2,-5.0,-58.0,228.9,,-55.7,,,,,,78.0,-42.5,39.5,True,True,,False,True,True,False,,True,,,,,,False,True,True
Alaska,10,12.9,12.4,12.5,16.0,,5.0,10.4,9.0,11.8,,12.3,,,,,,11.0,15.6,12.4,2.9,2.5,6.0,,-5.0,0.4,-1.0,1.8,,2.3,,,,,,1.0,5.6,2.4,True,False,,False,True,True,True,,True,,,,,,True,False,True
Arizona,904,1033.1,949.1,904.7,850.0,,1072.8,833.2,859.0,836.9,,765.4,,,,,,1175.0,992.9,1023.3,129.1,0.7,-54.0,,168.8,-70.8,-45.0,-67.1,,-138.6,,,,,,271.0,88.9,119.3,True,True,,False,True,True,True,,False,,,,,,False,True,True
Arkansas,133,133.9,126.6,137.2,106.0,130.8,136.0,153.0,128.0,159.3,,139.8,,,,,,139.0,147.6,144.5,0.9,4.2,-27.0,-2.2,3.0,20.0,-5.0,26.3,,6.8,,,,,,6.0,14.6,11.5,False,False,False,False,False,False,False,,False,,,,,,False,False,False
California,4144,4144.6,3903.1,3967.5,4458.0,3486.2,4158.1,3564.9,4259.0,3951.0,,4182.9,,,,,,4002.0,3855.0,3848.8,0.6,-176.5,314.0,-657.8,14.1,-579.1,115.0,-193.0,,38.9,,,,,,-142.0,-289.0,-295.2,False,False,False,False,False,False,False,,False,,,,,,False,False,False
Colorado,1443,1339.6,1277.3,1373.6,1505.0,,1365.3,1285.7,1594.0,1254.5,,1359.4,,,,,,1255.0,1164.3,1368.9,-103.4,-69.4,62.0,,-77.7,-157.3,151.0,-188.5,,-83.6,,,,,,-188.0,-278.7,-74.1,True,True,,True,False,False,False,,True,,,,,,False,False,True
Connecticut,3912,4484.1,4227.7,3984.5,3788.0,,3977.9,3925.5,4001.0,4596.2,,3782.5,,,,,,3852.0,3576.9,3980.1,572.1,72.5,-124.0,,65.9,13.5,89.0,684.2,,-129.5,,,,,,-60.0,-335.1,68.1,True,True,,True,True,True,False,,True,,,,,,True,True,True
Delaware,361,346.7,325.5,352.5,422.0,308.8,334.9,323.4,360.0,406.8,,336.0,,,,,,317.0,334.7,356.4,-14.3,-8.5,61.0,-52.2,-26.1,-37.6,-1.0,45.8,,-25.0,,,,,,-44.0,-26.3,-4.6,True,False,False,False,False,True,False,,False,,,,,,False,False,True
District of Columbia,462,528.7,493.9,529.5,,535.9,472.0,520.5,588.0,,,445.6,,,,,,582.0,486.5,503.6,66.7,67.5,,73.9,10.0,58.5,126.0,,,-16.4,,,,,,120.0,24.5,41.6,False,,False,True,True,False,,,True,,,,,,False,True,True
Florida,2447,2698.1,2533.0,2496.2,2667.0,2901.7,2807.1,2385.1,2220.0,2566.1,,2223.9,,,,,,2488.0,2389.7,2510.2,251.1,49.2,220.0,454.7,360.1,-61.9,-227.0,119.1,,-223.1,,,,,,41.0,-57.3,63.2,True,True,False,False,True,True,True,,True,,,,,,True,True,True
Georgia,2004,2040.3,1933.1,1893.8,1863.0,1691.6,2355.5,1981.2,1748.0,1957.5,,2071.9,,,,,,1905.0,1719.3,1966.4,36.3,-110.2,-141.0,-312.4,351.5,-22.8,-256.0,-46.5,,67.9,,,,,,-99.0,-284.7,-37.6,False,False,False,False,True,False,False,,False,,,,,,False,False,False
Hawaii,17,17.0,17.0,20.6,19.0,,19.0,17.6,20.0,22.3,,21.2,,,,,,19.0,22.9,22.9,0.0,3.6,2.0,,2.0,0.6,3.0,5.3,,4.2,,,,,,2.0,5.9,5.9,False,False,,False,False,False,False,,False,,,,,,False,False,False
Idaho,82,75.6,74.1,82.3,82.0,81.4,75.1,82.2,82.0,86.4,,89.3,,,,,,76.0,91.6,80.2,-6.4,0.3,0.0,-0.6,-6.9,0.2,0.0,4.4,,7.3,,,,,,-6.0,9.6,-1.8,True,True,True,False,True,True,True,,False,,,,,,True,False,True
Illinois,5330,5657.4,5276.9,5012.0,5623.0,5153.2,5487.6,4629.6,6466.0,6011.8,5642.5,5034.3,5012.0,5012.0,5029.0,4997.7,5018.9,5453.0,5048.2,5675.8,327.4,-318.0,293.0,-176.8,157.6,-700.4,1136.0,681.8,312.5,-295.7,-318.0,-318.0,-301.0,-332.3,-311.1,123.0,-281.8,345.8,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False
Indiana,2125,2582.3,2400.7,2388.9,2164.0,,2558.6,2095.9,2446.0,2967.2,2868.5,2112.7,,,,,,2396.0,2434.0,2528.1,457.3,263.9,39.0,,433.6,-29.1,321.0,842.2,743.5,-12.3,,,,,,271.0,309.0,403.1,True,True,,True,True,True,False,False,True,,,,,,True,True,True
Iowa,531,496.4,457.3,601.4,576.0,808.1,494.7,363.6,763.0,637.2,,629.0,,,,,,492.0,714.4,545.9,-34.6,70.4,45.0,277.1,-36.3,-167.4,232.0,106.2,,98.0,,,,,,-39.0,183.4,14.9,False,False,False,False,False,False,False,,False,,,,,,False,False,True
Kansas,215,259.7,245.2,306.1,293.0,,254.0,220.5,514.0,256.8,,369.5,,,,,,254.0,258.3,239.1,44.7,91.1,78.0,,39.0,5.5,299.0,41.8,,154.5,,,,,,39.0,43.3,24.1,False,False,,True,True,False,True,,False,,,,,,True,True,True
Kentucky,431,449.7,425.1,468.3,418.0,679.7,488.4,368.9,518.0,438.5,367.0,491.7,,,,,,408.0,407.1,427.1,18.7,37.3,-13.0,248.7,57.4,-62.1,87.0,7.5,-64.0,60.7,,,,,,-23.0,-23.9,-3.9,False,True,False,False,False,False,True,False,False,,,,,,False,False,True
Louisiana,2786,3068.9,2936.5,2779.8,2596.0,,2929.6,2741.4,2408.0,2776.9,,2937.4,,,,,,2768.0,2625.4,2873.1,282.9,-6.2,-190.0,,143.6,-44.6,-378.0,-9.1,,151.4,,,,,,-18.0,-160.6,87.1,True,True,,True,True,False,True,,True,,,,,,True,True,True
Maine,89,84.0,80.6,94.7,109.0,,78.5,109.3,98.0,80.3,,88.8,,,,,,89.0,92.6,88.6,-5.0,5.7,20.0,,-10.5,20.3,9.0,-8.7,,-0.2,,,,,,0.0,3.6,-0.4,False,False,,False,False,False,False,,True,,,,,,True,True,True
Maryland,2509,2681.1,2505.8,2776.7,2565.0,2729.2,2247.5,2597.5,3333.0,3385.2,,2358.0,,,,,,2774.0,2420.1,2478.3,172.1,267.7,56.0,220.2,-261.5,88.5,824.0,876.2,,-151.0,,,,,,265.0,-88.9,-30.7,False,True,False,False,True,False,False,,True,,,,,,False,True,True
Massachusetts,6768,7764.7,7293.9,7160.7,7013.0,6585.2,6903.2,6528.4,8381.0,8450.3,,6351.1,,,,,,7030.0,6579.4,7057.9,996.7,392.7,245.0,-182.8,135.2,-239.6,1613.0,1682.3,,-416.9,,,,,,262.0,-188.6,289.9,True,True,True,True,True,False,False,,True,,,,,,True,True,True
Michigan,5704,6283.0,6029.5,5461.3,5380.0,4758.8,5687.0,5350.9,5661.0,5839.0,5243.0,5702.1,,,,,,5378.0,5288.9,5724.3,579.0,-242.7,-324.0,-945.2,-17.0,-353.1,-43.0,135.0,-461.0,-1.9,,,,,,-326.0,-415.1,20.3,True,True,False,True,True,True,True,True,True,,,,,,True,True,True
Minnesota,1036,1035.1,957.9,1386.2,1362.0,,1291.2,966.0,2673.0,1418.9,1236.5,1014.8,,,,,,1214.0,1431.1,1046.7,-0.9,350.2,326.0,,255.2,-70.0,1637.0,382.9,200.5,-21.2,,,,,,178.0,395.1,10.7,False,False,,False,False,False,False,False,False,,,,,,False,False,False
Mississippi,723,792.9,731.5,715.5,657.0,,766.5,649.5,689.0,891.8,,591.9,,,,,,764.0,713.6,771.9,69.9,-7.5,-66.0,,43.5,-73.5,-34.0,168.8,,-131.1,,,,,,41.0,-9.4,48.9,True,True,,True,False,True,False,,False,,,,,,True,True,True
Missouri,812,950.7,892.3,754.6,682.0,868.7,832.5,693.6,684.0,796.7,,659.8,,,,,,832.0,854.2,824.4,138.7,-57.4,-130.0,56.7,20.5,-118.4,-128.0,-15.3,,-152.2,,,,,,20.0,42.2,12.4,True,True,True,True,True,True,True,,False,,,,,,True,True,True
Montana,17,16.0,16.0,18.6,17.0,,14.0,16.2,15.0,21.1,,19.6,,,,,,18.0,28.7,19.8,-1.0,1.6,0.0,,-3.0,-0.8,-2.0,4.1,,2.6,,,,,,1.0,11.7,2.8,False,True,,False,True,False,False,,False,,,,,,False,False,False
Nebraska,170,124.3,118.5,282.4,687.0,,160.5,117.7,418.0,156.9,,276.2,,,,,,178.0,172.9,143.1,-45.7,112.4,517.0,,-9.5,-52.3,248.0,-13.1,,106.2,,,,,,8.0,2.9,-26.9,False,False,,True,False,False,True,,False,,,,,,True,True,True
