,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51,106.8,57.6,135.8,1.3,17.4,156.8,664.9
YYG-ParamSearch,51,130.7,59.6,193.7,1.5,16.8,134.8,858.6
LANL-GrowthRate,51,166.4,62.6,277.0,0.2,23.3,200.8,1649.4
CU-select,50,227.5,90.0,330.6,0.0,24.5,274.5,1747.0
IHME-CurveFit,51,245.1,47.0,418.3,1.1,15.2,267.9,2023.6
UCLA-SuEIR,51,248.0,118.8,421.5,0.8,28.8,260.9,2395.8
UMass-MechBayes,51,277.0,136.0,478.8,0.0,18.0,249.0,2494.0
COVIDhub-baseline,51,295.0,37.0,690.1,0.0,13.9,168.4,3189.4
Baseline,51,295.6,44.0,788.2,0.6,15.3,152.2,4242.6
CovidAnalytics-DELPHI,51,309.3,107.0,526.8,0.0,25.0,454.5,3153.0
IowaStateLW-STEM,49,317.9,166.0,726.0,1.0,36.0,330.5,5118.0
UT-Mobility,51,447.3,75.0,1319.6,1.1,36.9,392.3,9190.9
MOBS-GLEAM_COVID,50,467.4,158.3,780.2,0.8,37.5,358.4,4320.7
