,Truth,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,GT-DeepCOVID,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_increase,UChicago-CovidIL_30_increase,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch
Alabama,618.0,664.4,644.7,803.0,697.1,658.0,761.3,709.1,640.0,1013.4,601.9,640.0,724.0,,751.0,734.0,654.0,,,,,630.0,612.6,594.9,674.2
Alaska,10.0,10.0,10.0,15.0,11.4,16.0,11.1,3.0,,20.1,10.1,9.0,10.8,,10.0,13.0,11.4,,,,,10.0,11.0,11.4,11.2
Arizona,904.0,947.4,917.6,1006.0,1004.5,918.0,1210.0,1206.5,1008.0,2806.5,944.1,982.0,929.4,,1168.0,1088.0,1134.6,,,,,1005.0,955.4,929.7,995.1
Arkansas,133.0,111.0,109.5,170.0,137.5,140.0,132.6,112.4,115.0,255.0,135.4,125.0,129.7,,154.0,215.0,116.8,,,,,118.0,126.8,115.4,118.4
California,4144.0,4213.1,4104.5,4752.0,4130.6,4172.0,4121.6,4224.8,4191.0,8710.0,3962.8,4257.0,4090.7,,4294.0,4756.0,4105.0,,,,,4121.0,4468.5,3934.5,4116.1
Colorado,1443.0,1668.1,1617.6,1673.0,1519.4,1451.0,1604.9,1517.9,1365.0,1734.3,1443.8,1515.0,1661.9,,1480.5,1469.0,1397.5,,,,,1620.0,1493.4,1468.7,1585.0
Connecticut,3912.0,4227.0,4135.6,4066.0,4018.6,3939.0,3827.8,4127.0,3804.0,3290.3,4215.4,3884.0,4182.8,,3992.5,3821.0,4005.0,,,,,4174.0,3747.2,3797.7,4040.8
Delaware,361.0,418.1,403.8,442.0,407.2,420.0,458.9,397.0,386.0,523.4,373.5,371.0,424.3,,398.0,400.0,391.0,,,,,428.0,354.4,374.0,415.5
District of Columbia,462.0,494.4,482.0,540.0,484.9,,448.0,490.0,493.0,495.7,463.3,552.0,,,492.0,519.0,458.6,,,,,481.0,456.8,448.9,493.2
Florida,2447.0,2441.0,2388.8,2772.0,2434.6,2433.0,,2690.5,2466.0,3380.7,2454.9,2291.0,2396.1,,2542.5,7984.0,2323.5,,,,,2436.0,2210.6,2280.6,2431.6
