,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-YYG-ParamSearch
Alabama,2967,2928.7,3163.3,4782.0,,3972.8,-38.3,196.3,1815.0,,1005.8,False,False,,False
Alaska,82,32.9,146.5,,,51.8,-49.1,64.5,,,-30.2,False,,,True
Arizona,5979,8770.1,10070.0,5708.0,,6532.2,2791.1,4091.0,-271.0,,553.2,False,True,,True
Arkansas,1925,860.1,1082.7,1814.0,,1291.7,-1064.9,-842.3,-111.0,,-633.3,True,True,,True
California,17659,17802.1,26695.9,11772.0,,20583.1,143.1,9036.9,-5887.0,,2924.1,False,False,,False
Colorado,2285,2105.6,2491.5,2130.0,,2500.8,-179.4,206.5,-155.0,,215.8,False,True,,False
Connecticut,4616,4554.1,4462.4,4518.0,,4478.7,-61.9,-153.6,-98.0,,-137.3,False,False,,False
Delaware,708,596.3,873.9,643.0,,674.4,-111.7,165.9,-65.0,,-33.6,False,True,,True
District of Columbia,646,710.7,601.0,604.0,,700.3,64.7,-45.0,-42.0,,54.3,True,True,,True
Florida,16761,12345.0,34483.7,10076.0,,14968.5,-4416.0,17722.7,-6685.0,,-1792.5,False,False,,True
Georgia,7979,5270.6,10600.4,6391.0,,7160.5,-2708.4,2621.4,-1588.0,,-818.5,True,True,,True
Hawaii,219,19.0,113.7,,,41.6,-200.0,-105.3,,,-177.4,True,,,True
Idaho,629,244.7,1549.9,457.0,,418.7,-384.3,920.9,-172.0,,-210.3,False,True,,True
Illinois,10040,13223.4,8594.5,9050.0,,8609.7,3183.4,-1445.5,-990.0,,-1430.3,True,True,,True
Indiana,4332,3822.4,4650.9,3795.0,,4070.6,-509.6,318.9,-537.0,,-261.4,True,False,,True
Iowa,1716,1243.6,2033.2,1170.0,,1230.6,-472.4,317.2,-546.0,,-485.4,True,False,,False
Kansas,1029,503.1,1583.9,960.0,,604.9,-525.9,554.9,-69.0,,-424.1,False,True,,True
Kentucky,1485,1259.3,1541.9,1168.0,,1827.6,-225.7,56.9,-317.0,,342.6,True,False,,False
Louisiana,5919,5445.7,7425.9,9264.0,,5813.7,-473.3,1506.9,3345.0,,-105.3,False,False,,True
Maine,147,193.3,129.2,120.0,,193.0,46.3,-17.8,-27.0,,46.0,True,True,,True
Maryland,4147,4524.1,3839.9,3654.0,,4161.1,377.1,-307.1,-493.0,,14.1,True,False,,True
Massachusetts,9991,10576.7,8591.3,12421.0,,9075.2,585.7,-1399.7,2430.0,,-915.8,False,False,,False
Michigan,7699,7836.3,7423.7,6849.0,,8010.8,137.3,-275.3,-850.0,,311.8,False,False,,False
Minnesota,2511,2047.4,2737.3,2776.0,,2200.4,-463.6,226.3,265.0,,-310.6,True,True,,True
Mississippi,3334,3437.3,3392.6,3084.0,,2879.3,103.3,58.6,-250.0,,-454.7,True,False,,False
Missouri,3026,1742.1,2326.6,1931.0,,2198.5,-1283.9,-699.4,-1095.0,,-827.5,True,True,,True
Montana,375,124.1,549.9,78.0,,193.7,-250.9,174.9,-297.0,,-181.3,True,False,,True
Nebraska,652,300.9,508.2,530.0,,453.1,-351.1,-143.8,-122.0,,-198.9,True,True,,True
Nevada,1777,1528.6,2604.0,1091.0,,2152.8,-248.4,827.0,-686.0,,375.8,False,False,,False
New Hampshire,483,549.6,448.8,485.0,,453.8,66.6,-34.2,2.0,,-29.2,True,True,,True
New Jersey,16350,20504.1,16497.7,20263.0,,16814.4,4154.1,147.7,3913.0,,464.4,True,True,,True
New Mexico,1018,1052.4,1181.1,1495.0,,1059.3,34.4,163.1,477.0,,41.3,False,False,,False
New York,33730,34633.4,33103.1,35502.0,,33631.4,948.4,-581.9,1817.0,,-53.6,True,False,,True
North Carolina,4378,3091.9,4164.3,5439.0,,3449.4,-1286.1,-213.7,1061.0,,-928.6,True,True,,True
North Dakota,524,198.0,241.2,253.0,,188.0,-326.0,-282.8,-271.0,,-336.0,True,True,,False
Ohio,5301,5389.0,5834.1,5426.0,,6453.0,88.0,533.1,125.0,,1152.0,False,False,,False
Oklahoma,1337,802.6,1810.8,2414.0,,841.8,-534.4,473.8,1077.0,,-495.2,True,False,,True
Oregon,689,535.3,845.2,707.0,,961.6,-153.7,156.2,18.0,,272.6,False,True,,False
Pennsylvania,8800,9298.4,8718.1,8762.0,,9179.8,498.4,-81.9,-38.0,,379.8,True,True,,True
Rhode Island,1201,1229.7,1110.4,1181.0,,1126.4,39.7,-79.6,-9.0,,-63.6,False,True,,False
South Carolina,3935,3196.9,4208.0,3511.0,,3920.1,-738.1,273.0,-424.0,,-14.9,True,True,,True
South Dakota,425,299.3,185.6,221.0,,216.2,-125.7,-239.4,-204.0,,-208.8,False,False,,False
Tennessee,3353,2263.3,3708.7,3894.0,,3299.3,-1089.7,355.7,541.0,,-53.7,True,True,,True
Texas,18788,12333.9,27098.2,23628.0,10868.0,14026.4,-5715.1,9049.2,5579.0,-7181.0,-4022.6,False,True,False,True
Utah,604,706.6,1214.9,903.0,,996.8,102.6,610.9,299.0,,392.8,False,False,,False
Vermont,58,56.0,60.1,58.0,,80.1,-2.0,2.1,0.0,,22.1,False,True,,False
Virginia,3654,3757.9,2683.7,2884.0,,4588.9,103.9,-970.3,-770.0,,934.9,False,False,,False
Washington,2345,2690.7,3186.2,2374.0,,2924.3,312.7,808.2,-4.0,,546.3,False,True,,False
West Virginia,459,127.7,709.2,209.0,,152.6,-331.3,250.2,-250.0,,-306.4,True,True,,True
Wisconsin,2339,1200.6,2473.1,1397.0,,1695.0,-1109.4,163.1,-913.0,,-615.0,True,True,,True
Wyoming,87,36.9,140.3,52.0,,46.2,-50.1,53.3,-35.0,,-40.8,False,True,,True
US,231420,218375.7,271508.2,213692.0,163123.0,223464.0,-12253.3,40879.2,-16937.0,-67506.0,-7165.0,False,False,False,True
