,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2967,2777.9,2617.1,2796.1,2797.0,2786.0,2786.0,2791.0,2754.0,2793.2,2727.0,2759.9,2690.7,2837.2,2862.0,2843.1,2787.1,2891.8,2843.9,2765.4,2752.8,2811.6,3012.0,2786.9,,2962.6,2786.3,2798.0,,2845.0,2655.9,,2811.0,3387.1,2826.0,2784.9,,2771.0,2832.0,2922.8,2760.0,2663.0,2794.9,2861.3,2592.0,-189.1,-349.9,-170.9,-170.0,-181.0,-181.0,-176.0,-213.0,-173.8,-240.0,-207.1,-276.3,-129.8,-105.0,-123.9,-179.9,-75.2,-123.1,-201.6,-214.2,-155.4,45.0,-180.1,,-4.4,-180.7,-169.0,,-122.0,-311.1,,-156.0,420.1,-141.0,-182.1,,-196.0,-135.0,-44.2,-207.0,-304.0,-172.1,-105.7,-375.0,False,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,,True,False,,True,False,True,True,,False,True,True,False,False,True,True,False
Alaska,82,65.7,64.8,78.5,89.0,82.0,83.0,83.0,111.0,94.0,78.0,78.8,98.8,90.5,,71.1,92.8,106.2,91.0,88.3,73.4,69.9,132.0,92.5,,63.2,89.3,79.0,,,63.7,,87.0,65.9,96.0,66.1,,83.9,87.0,71.9,101.0,70.0,67.0,84.5,72.0,-16.3,-17.2,-3.5,7.0,0.0,1.0,1.0,29.0,12.0,-4.0,-3.2,16.8,8.5,,-10.9,10.8,24.2,9.0,6.3,-8.6,-12.1,50.0,10.5,,-18.8,7.3,-3.0,,,-18.3,,5.0,-16.1,14.0,-15.9,,1.9,5.0,-10.1,19.0,-12.0,-15.0,2.5,-10.0,False,True,True,True,True,True,False,True,True,True,False,True,,True,True,False,True,True,True,True,False,True,,False,True,True,,,False,,True,True,True,True,,True,True,True,False,True,True,True,True
Arizona,5979,6026.1,5816.8,5994.7,6022.0,6040.1,6061.0,6126.0,6164.0,6231.2,6090.0,6003.5,6069.6,6113.0,6090.0,6203.7,6187.4,6157.2,5972.6,6225.1,6001.0,5956.3,6080.0,5839.1,,5904.4,5947.1,6073.0,,6428.1,5751.5,,6162.0,6514.8,6022.0,6061.4,,5821.4,6044.0,6406.8,6026.0,5922.0,6134.1,6038.3,5884.0,47.1,-162.2,15.7,43.0,61.1,82.0,147.0,185.0,252.2,111.0,24.5,90.6,134.0,111.0,224.7,208.4,178.2,-6.4,246.1,22.0,-22.7,101.0,-139.9,,-74.6,-31.9,94.0,,449.1,-227.5,,183.0,535.8,43.0,82.4,,-157.6,65.0,427.8,47.0,-57.0,155.1,59.3,-95.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,,False,True,False,,False,False,,False,False,True,False,,False,False,False,True,False,False,False,False
Arkansas,1925,1876.3,1858.0,1907.5,1797.0,1895.0,1895.0,1746.0,1972.0,1986.5,1837.0,1874.8,,1855.9,1919.0,1978.7,1937.8,1839.8,1732.9,1898.6,1694.5,1844.8,1756.0,2015.1,,1626.3,2015.8,1753.0,,1912.9,1738.8,,1941.0,1520.2,1902.0,1795.0,,2018.5,1803.0,1932.0,1882.0,1927.0,1660.3,1877.5,1585.0,-48.7,-67.0,-17.5,-128.0,-30.0,-30.0,-179.0,47.0,61.5,-88.0,-50.2,,-69.1,-6.0,53.7,12.8,-85.2,-192.1,-26.4,-230.5,-80.2,-169.0,90.1,,-298.7,90.8,-172.0,,-12.1,-186.2,,16.0,-404.8,-23.0,-130.0,,93.5,-122.0,7.0,-43.0,2.0,-264.7,-47.5,-340.0,False,True,False,True,True,False,True,False,False,False,,False,True,False,True,False,False,True,False,False,False,False,,False,False,False,,True,False,,True,False,True,False,,False,False,True,True,True,False,True,False
California,17659,18233.7,17448.2,18250.7,17991.0,18241.7,17947.0,17702.0,18436.0,17873.1,17567.0,17478.7,17936.5,17407.7,18127.0,17968.8,17937.9,18159.7,18226.6,17732.0,17587.7,18018.5,17661.0,18031.3,,17485.5,18276.9,17108.5,,18425.9,17083.0,,18237.0,16731.0,18721.0,17999.3,19588.0,18033.3,17861.0,18343.7,18223.0,17707.5,17662.3,17924.5,16517.0,574.7,-210.8,591.7,332.0,582.7,288.0,43.0,777.0,214.1,-92.0,-180.3,277.5,-251.3,468.0,309.8,278.9,500.7,567.6,73.0,-71.3,359.5,2.0,372.3,,-173.5,617.9,-550.5,,766.9,-576.0,,578.0,-928.0,1062.0,340.3,1929.0,374.3,202.0,684.7,564.0,48.5,3.3,265.5,-1142.0,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,False,False,,False,False,False,True,False,True,True,False,True,True,True,True,False
Colorado,2285,2172.1,2160.3,2136.9,2160.0,2150.3,2183.0,2263.0,2278.0,2246.0,2242.0,2167.2,2184.7,2195.1,2190.0,2220.1,2311.4,2228.3,2231.4,2201.6,2153.3,2190.0,2281.0,2163.5,,2216.6,2171.8,2138.0,,2153.8,2117.8,,2204.0,2552.7,2200.0,2125.6,,2169.5,2202.0,2158.0,2214.0,2238.5,2122.2,2217.8,2140.0,-112.9,-124.7,-148.1,-125.0,-134.7,-102.0,-22.0,-7.0,-39.0,-43.0,-117.8,-100.3,-89.9,-95.0,-64.9,26.4,-56.7,-53.6,-83.4,-131.7,-95.0,-4.0,-121.5,,-68.4,-113.2,-147.0,,-131.2,-167.2,,-81.0,267.7,-85.0,-159.4,,-115.5,-83.0,-127.0,-71.0,-46.5,-162.8,-67.2,-145.0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,,True,False,False,,False,False,,True,False,True,False,,False,True,False,True,True,False,True,False
Connecticut,4616,4559.3,4602.1,4566.9,4564.0,4600.8,4562.0,4620.0,4563.0,4571.6,4584.0,4559.3,4556.0,4662.1,4590.0,4560.2,4657.7,4579.7,4582.0,4549.3,4537.1,4558.2,4574.0,4560.0,,4571.0,4585.0,4516.0,,4544.2,4528.5,,4561.0,5173.8,4569.0,4548.3,,4569.5,4599.0,4562.0,4565.0,4540.0,4525.2,4591.9,4543.0,-56.7,-13.9,-49.1,-52.0,-15.2,-54.0,4.0,-53.0,-44.4,-32.0,-56.7,-60.0,46.1,-26.0,-55.8,41.7,-36.3,-34.0,-66.7,-78.9,-57.8,-42.0,-56.0,,-45.0,-31.0,-100.0,,-71.8,-87.5,,-55.0,557.8,-47.0,-67.7,,-46.5,-17.0,-54.0,-51.0,-76.0,-90.8,-24.1,-73.0,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,,True,True,False,,False,False,,True,False,True,False,,True,True,True,True,False,False,True,False
Delaware,708,691.3,701.0,692.0,696.0,695.7,691.0,702.0,675.0,690.5,676.0,693.6,720.7,708.5,665.0,676.0,691.4,792.6,674.3,682.4,668.3,680.8,676.0,691.3,,698.1,712.8,662.0,,,652.7,,689.0,770.2,714.0,662.5,,703.3,690.0,724.7,686.0,696.0,673.9,691.2,672.0,-16.7,-7.0,-16.0,-12.0,-12.3,-17.0,-6.0,-33.0,-17.5,-32.0,-14.4,12.7,0.5,-43.0,-32.0,-16.6,84.6,-33.7,-25.6,-39.7,-27.2,-32.0,-16.7,,-9.9,4.8,-46.0,,,-55.3,,-19.0,62.2,6.0,-45.5,,-4.7,-18.0,16.7,-22.0,-12.0,-34.1,-16.8,-36.0,True,True,True,True,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,,True,True,False,,,False,,False,False,True,False,,True,False,True,False,True,False,False,False
District of Columbia,646,658.0,665.2,638.1,646.0,651.0,645.0,633.0,642.0,644.6,636.0,660.4,648.5,654.4,638.0,643.3,648.8,,647.1,646.0,640.5,635.7,644.0,,,644.5,644.8,643.0,,,642.8,,648.0,689.4,686.0,643.4,,,645.0,,649.0,662.0,639.7,655.7,642.0,12.0,19.2,-7.9,0.0,5.0,-1.0,-13.0,-4.0,-1.4,-10.0,14.4,2.5,8.4,-8.0,-2.7,2.8,,1.1,0.0,-5.5,-10.3,-2.0,,,-1.5,-1.2,-3.0,,,-3.2,,2.0,43.4,40.0,-2.6,,,-1.0,,3.0,16.0,-6.3,9.7,-4.0,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,,,True,,True,False,False,True,,,True,,True,False,True,True,True
Florida,16761,17135.7,16605.2,17083.9,16738.0,17051.7,16661.0,16241.0,17015.0,16805.3,16241.0,15857.0,16502.5,16046.3,16661.0,16899.5,16577.8,16606.6,16569.3,16962.1,16274.6,16556.3,16264.0,15938.0,,17354.3,17266.3,16263.0,,17497.5,16110.2,,17012.0,17519.9,17121.0,16656.9,,15984.7,16546.0,16979.0,16787.0,16978.5,16245.2,17058.9,15216.0,374.7,-155.8,322.9,-23.0,290.7,-100.0,-520.0,254.0,44.3,-520.0,-904.0,-258.5,-714.7,-100.0,138.5,-183.2,-154.4,-191.7,201.1,-486.4,-204.7,-497.0,-823.0,,593.3,505.3,-498.0,,736.5,-650.8,,251.0,758.9,360.0,-104.1,,-776.3,-215.0,218.0,26.0,217.5,-515.8,297.9,-1545.0,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,,False,False,False,,False,False,,True,False,True,True,,False,True,True,True,True,False,True,False
