,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-YYG-ParamSearch
Alabama,2967,3753.3,3996.6,2452.4,2947.0,,3552.9,786.3,1029.6,-514.6,-20.0,,585.9,False,True,True,,True
Alaska,82,32.9,216.6,22.7,,,36.3,-49.1,134.6,-59.3,,,-45.7,False,False,,,True
Arizona,5979,10546.1,8283.5,5157.0,7409.0,,6598.9,4567.1,2304.5,-822.0,1430.0,,619.9,True,True,True,,True
Arkansas,1925,891.9,1356.0,615.3,864.0,,921.2,-1033.1,-569.0,-1309.7,-1061.0,,-1003.8,True,False,False,,True
California,17659,17580.1,22988.7,21138.0,15954.0,,16090.7,-78.9,5329.7,3479.0,-1705.0,,-1568.3,False,False,False,,False
Colorado,2285,2153.1,2842.3,2029.2,1989.0,,2755.5,-131.9,557.3,-255.8,-296.0,,470.5,False,False,False,,False
Connecticut,4616,5109.1,4494.5,4455.4,4529.0,,4624.2,493.1,-121.5,-160.6,-87.0,,8.2,True,True,True,,True
Delaware,708,612.1,703.3,552.6,576.0,,654.1,-95.9,-4.7,-155.4,-132.0,,-53.9,True,False,False,,True
District of Columbia,646,726.6,637.5,680.0,640.0,,693.0,80.6,-8.5,34.0,-6.0,,47.0,True,True,True,,True
Florida,16761,15976.3,26635.6,19093.6,16232.0,,15816.6,-784.7,9874.6,2332.6,-529.0,,-944.4,False,False,True,,False
Georgia,7979,5714.6,10903.0,4721.4,4359.0,,5867.0,-2264.4,2924.0,-3257.6,-3620.0,,-2112.0,False,False,False,,True
Hawaii,219,98.3,81.2,20.7,,,68.5,-120.7,-137.8,-198.3,,,-150.5,False,False,,,False
Idaho,629,371.6,1891.8,547.7,346.0,,649.1,-257.4,1262.8,-81.3,-283.0,,20.1,False,True,False,,True
Illinois,9994,8973.7,9064.1,8343.6,8267.0,,8514.6,-1020.3,-929.9,-1650.4,-1727.0,,-1479.4,True,False,False,,False
Indiana,4332,3743.1,4235.6,3621.1,3058.0,,3910.0,-588.9,-96.4,-710.9,-1274.0,,-422.0,True,False,False,,True
Iowa,1716,1402.1,2108.8,1219.8,941.0,,1225.2,-313.9,392.8,-496.2,-775.0,,-490.8,False,False,False,,False
Kansas,1025,487.3,1431.0,408.8,450.0,,615.8,-537.7,406.0,-616.2,-575.0,,-409.2,True,False,False,,True
Kentucky,1485,1338.6,1489.8,1231.3,840.0,,1851.8,-146.4,4.8,-253.7,-645.0,,366.8,True,False,False,,False
Louisiana,5919,5429.9,6885.2,5150.1,5399.0,,5718.7,-489.1,966.2,-768.9,-520.0,,-200.3,False,False,False,,True
Maine,147,161.6,126.1,166.7,134.0,,181.4,14.6,-20.9,19.7,-13.0,,34.4,False,False,True,,False
Maryland,4147,4238.7,4004.1,4268.6,3763.0,,4477.8,91.7,-142.9,121.6,-384.0,,330.8,False,False,False,,False
Massachusetts,9991,10005.9,8656.0,10101.4,8781.0,,9493.4,14.9,-1335.0,110.4,-1210.0,,-497.6,False,False,False,,False
Michigan,7699,7138.6,7502.5,8009.6,7295.0,,7662.2,-560.4,-196.5,310.6,-404.0,,-36.8,True,True,True,,True
Minnesota,2511,2190.1,2465.3,1747.8,2450.0,,2515.0,-320.9,-45.7,-763.2,-61.0,,4.0,True,False,True,,True
Mississippi,3334,2929.9,2997.2,3395.6,2473.0,,2542.3,-404.1,-336.8,61.6,-861.0,,-791.7,True,True,False,,False
Missouri,3037,1789.7,2465.6,1655.7,1359.0,,2065.8,-1247.3,-571.4,-1381.3,-1678.0,,-971.2,True,False,False,,True
Montana,375,155.9,604.1,517.9,127.0,,175.6,-219.1,229.1,142.9,-248.0,,-199.4,False,True,False,,True
Nebraska,652,538.7,507.7,302.2,397.0,,480.1,-113.3,-144.3,-349.8,-255.0,,-171.9,False,False,False,,False
Nevada,1773,1449.3,3311.0,2449.7,1425.0,,1770.9,-323.7,1538.0,676.7,-348.0,,-2.1,False,False,False,,True
New Hampshire,483,502.0,452.3,456.9,405.0,,450.5,19.0,-30.7,-26.1,-78.0,,-32.5,False,False,False,,False
New Jersey,16350,18395.1,16826.1,18708.6,16220.0,,17163.7,2045.1,476.1,2358.6,-130.0,,813.7,True,False,True,,True
New Mexico,1018,957.3,1024.9,1094.1,874.0,,1153.9,-60.7,6.9,76.1,-144.0,,135.9,True,False,False,,False
New York,33511,34649.3,33203.4,35351.8,33402.0,,33739.8,1159.3,-286.6,1861.8,-88.0,,249.8,True,False,True,,True
North Carolina,4378,3583.4,3991.2,2322.4,2974.0,,3332.6,-794.6,-386.8,-2055.6,-1404.0,,-1045.4,True,False,False,,False
North Dakota,524,166.3,330.2,465.7,113.0,,164.0,-357.7,-193.8,-58.3,-411.0,,-360.0,True,True,False,,False
Ohio,5301,4897.4,5423.6,4532.5,4038.0,,5885.1,-403.6,122.6,-768.5,-1263.0,,584.1,True,False,False,,False
Oklahoma,1337,881.9,1769.6,1019.6,1253.0,,957.0,-455.1,432.6,-317.4,-84.0,,-380.0,True,True,True,,True
Oregon,689,646.3,745.1,599.4,425.0,,831.0,-42.7,56.1,-89.6,-264.0,,142.0,False,False,False,,False
Pennsylvania,8800,8775.1,8664.2,8417.9,7646.0,,8787.2,-24.9,-135.8,-382.1,-1154.0,,-12.8,False,False,False,,True
Rhode Island,1201,1198.0,1237.6,1038.6,1187.0,,1118.1,-2.0,37.6,-161.4,-13.0,,-81.9,False,False,False,,False
South Carolina,3935,4037.3,4239.4,4543.2,2320.0,,3158.7,102.3,304.4,608.2,-1615.0,,-776.3,False,False,False,,False
South Dakota,425,251.7,166.3,239.9,250.0,,201.7,-173.3,-258.7,-185.1,-175.0,,-223.3,False,False,False,,False
Tennessee,3353,2358.4,4262.1,1913.9,2028.0,,2425.6,-994.6,909.1,-1439.1,-1325.0,,-927.4,True,False,False,,True
Texas,18465,15838.3,21097.6,18614.8,20536.0,29070.0,13713.5,-1959.7,3299.6,816.8,2738.0,11272.0,-4084.5,False,True,False,False,False
Utah,604,659.0,903.4,1198.1,531.0,,772.0,55.0,299.4,594.1,-73.0,,168.0,False,False,False,,False
Vermont,58,56.0,60.8,56.5,56.0,,81.0,-2.0,2.8,-1.5,-2.0,,23.0,False,True,False,,False
Virginia,3654,2933.3,3288.2,4819.5,2300.0,,3324.6,-720.7,-365.8,1165.5,-1354.0,,-329.4,True,False,False,,True
