,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2967,3146.6,2503.4,3797.0,2823.0,,2913.7,2759.7,179.6,-463.6,830.0,-144.0,,-53.3,-207.3,False,False,True,,True,False
Alaska,82,71.4,85.2,31.1,,,50.1,64.1,-10.6,3.2,-50.9,,,-31.9,-17.9,True,False,,,False,False
Arizona,5979,7383.1,4584.5,7404.6,7532.0,,6766.6,5958.0,1404.1,-1394.5,1425.6,1553.0,,787.6,-21.0,True,False,False,,True,True
Arkansas,1925,1554.4,1063.3,1414.8,1318.0,,1242.4,1201.0,-370.6,-861.7,-510.2,-607.0,,-682.6,-724.0,False,False,False,,False,False
California,17659,21123.0,16783.1,28907.5,20883.0,,19118.9,18471.2,3464.0,-875.9,11248.5,3224.0,,1459.9,812.2,True,False,True,,True,True
Colorado,2285,2134.9,2137.7,2191.7,2237.0,,2064.1,2181.9,-150.1,-147.3,-93.3,-48.0,,-220.9,-103.1,True,True,True,,False,True
Connecticut,4616,4529.0,4518.0,4563.2,4587.0,,4523.7,4545.8,-87.0,-98.0,-52.8,-29.0,,-92.3,-70.2,False,True,True,,False,True
Delaware,708,669.0,652.4,638.7,650.0,,649.7,677.7,-39.0,-55.6,-69.3,-58.0,,-58.3,-30.3,False,False,False,,False,True
District of Columbia,646,673.0,642.4,695.5,630.0,,643.4,652.5,27.0,-3.6,49.5,-16.0,,-2.6,6.5,True,False,True,,True,True
Florida,16761,18930.3,11833.3,19047.5,18149.0,,17386.4,14331.5,2169.3,-4927.7,2286.5,1388.0,,625.4,-2429.5,False,False,True,,True,False
Georgia,7979,9370.6,6632.0,9862.2,6944.0,,8200.1,7511.5,1391.6,-1347.0,1883.2,-1035.0,,221.1,-467.5,True,False,True,,True,True
Hawaii,219,116.0,442.1,103.1,,,126.8,143.6,-103.0,223.1,-115.9,,,-92.2,-75.4,False,False,,,True,True
Idaho,629,681.6,518.1,591.6,465.0,,537.5,594.8,52.6,-110.9,-37.4,-164.0,,-91.5,-34.2,False,True,False,,False,True
Illinois,10040,9409.9,9525.8,9361.5,9015.0,,8951.5,9339.1,-630.1,-514.2,-678.5,-1025.0,,-1088.5,-700.9,True,False,False,,False,False
Indiana,4332,4077.6,3839.4,4870.5,3887.0,,3745.3,4145.0,-254.4,-492.6,538.5,-445.0,,-586.7,-187.0,False,False,False,,False,True
Iowa,1716,1648.1,1523.8,1885.9,1487.0,,1473.6,1520.3,-67.9,-192.2,169.9,-229.0,,-242.4,-195.7,False,False,False,,False,False
Kansas,1029,623.1,820.3,755.8,628.0,,626.4,646.7,-405.9,-208.7,-273.2,-401.0,,-402.6,-382.3,True,True,True,,True,True
Kentucky,1485,1483.1,1339.8,1649.2,1170.0,,1509.2,1331.4,-1.9,-145.2,164.2,-315.0,,24.2,-153.6,False,False,False,,False,False
Louisiana,5919,7101.9,4898.1,7064.6,6340.0,,6747.5,5845.8,1182.9,-1020.9,1145.6,421.0,,828.5,-73.2,True,True,True,,True,True
Maine,147,170.4,148.0,142.9,185.0,,143.3,159.7,23.4,1.0,-4.1,38.0,,-3.7,12.7,True,True,False,,True,True
Maryland,4147,4203.6,4110.2,4396.7,3931.0,,4028.9,4179.4,56.6,-36.8,249.7,-216.0,,-118.1,32.4,True,False,False,,False,True
Massachusetts,9991,9739.1,8922.1,10356.7,9905.0,,9381.5,9650.2,-251.9,-1068.9,365.7,-86.0,,-609.5,-340.8,False,False,True,,False,False
Michigan,7699,7319.4,7216.2,8005.2,7378.0,,7032.7,7260.5,-379.6,-482.8,306.2,-321.0,,-666.3,-438.5,False,True,True,,False,False
Minnesota,2511,2414.3,2336.1,3265.0,2188.0,,2519.1,2325.9,-96.7,-174.9,754.0,-323.0,,8.1,-185.1,False,False,False,,True,False
Mississippi,3334,3777.7,2416.9,3106.7,3740.0,,3545.3,3096.1,443.7,-917.1,-227.3,406.0,,211.3,-237.9,False,True,True,,True,True
Missouri,3026,2143.0,2341.4,2122.7,1921.0,,1929.0,2062.4,-883.0,-684.6,-903.3,-1105.0,,-1097.0,-963.6,True,False,False,,False,False
Montana,375,168.9,189.9,145.8,199.0,,152.3,189.4,-206.1,-185.1,-229.2,-176.0,,-222.7,-185.6,True,False,True,,False,True
Nebraska,652,545.6,572.0,628.8,522.0,,465.9,524.6,-106.4,-80.0,-23.2,-130.0,,-186.1,-127.4,True,True,False,,False,False
Nevada,1777,2429.1,1535.1,2809.9,2155.0,,2221.1,1916.4,652.1,-241.9,1032.9,378.0,,444.1,139.4,True,False,True,,True,True
