,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,2967,2932.9,2957.3,2950.0,2957.0,2944.0,2963.0,2946.0,3016.0,3019.1,2916.0,2944.6,2939.9,2966.5,2961.2,,3068.4,2947.0,2978.0,2975.2,3003.2,2977.0,2929.3,2953.5,3001.9,2974.0,2960.7,2966.0,2959.7,2969.5,,2988.3,2970.1,2922.0,,2971.6,2962.9,,2969.0,2957.3,2940.0,2940.1,,2996.9,2962.7,2938.0,2968.7,2978.3,2947.0,2942.5,2933.7,2971.0,-34.1,-9.7,-17.0,-10.0,-23.0,-4.0,-21.0,49.0,52.1,-51.0,-22.4,-27.1,-0.5,-5.8,,101.4,-20.0,11.0,8.2,36.2,10.0,-37.7,-13.5,34.9,7.0,-6.3,-1.0,-7.3,2.5,,21.3,3.1,-45.0,,4.6,-4.1,,2.0,-9.7,-27.0,-26.9,,29.9,-4.3,-29.0,1.7,11.3,-20.0,-24.5,-33.3,4.0,True,True,True,True,True,True,False,False,False,True,True,True,True,,False,True,True,True,False,True,False,True,False,True,True,True,True,True,,True,True,False,,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True
Alaska,82,68.9,69.9,69.6,73.0,69.0,73.0,76.0,72.0,79.6,74.0,72.7,71.3,68.0,72.6,,77.0,,,70.9,79.0,75.0,75.1,68.0,73.0,78.0,72.0,104.0,69.2,77.8,,75.1,69.2,69.0,,,72.0,,73.0,77.0,76.0,70.9,,72.6,69.9,74.0,72.3,77.0,71.0,70.0,70.3,,-13.1,-12.1,-12.4,-9.0,-13.0,-9.0,-6.0,-10.0,-2.4,-8.0,-9.3,-10.7,-14.0,-9.4,,-5.0,,,-11.1,-3.0,-7.0,-6.9,-14.0,-9.0,-4.0,-10.0,22.0,-12.8,-4.2,,-6.9,-12.8,-13.0,,,-10.0,,-9.0,-5.0,-6.0,-11.1,,-9.4,-12.1,-8.0,-9.7,-5.0,-11.0,-12.0,-11.7,,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,,,True,True,True,True,False,True,True,True,False,True,True,,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,
Arizona,5979,5914.3,5935.5,5918.7,5940.0,5914.0,5933.0,5950.0,5915.0,5964.3,5905.0,5936.7,5891.0,5877.4,5964.4,,5922.8,5922.0,5955.0,5934.8,5990.9,5919.0,5909.6,5918.0,5937.6,5944.1,5928.2,5930.0,5897.9,5942.0,,5943.0,5923.4,5905.0,,5929.1,5902.2,,5941.0,6332.5,5944.0,5919.4,,5902.2,5903.0,5939.0,5951.1,5982.6,5939.0,5918.0,5959.8,5927.0,-64.7,-43.5,-60.3,-39.0,-65.0,-46.0,-29.0,-64.0,-14.7,-74.0,-42.3,-88.0,-101.6,-14.6,,-56.2,-57.0,-24.0,-44.2,11.9,-60.0,-69.4,-61.0,-41.4,-34.9,-50.8,-49.0,-81.1,-37.0,,-36.0,-55.6,-74.0,,-49.9,-76.8,,-38.0,353.5,-35.0,-59.6,,-76.8,-76.0,-40.0,-27.9,3.6,-40.0,-61.0,-19.2,-52.0,True,True,True,False,True,True,True,True,False,True,False,False,True,,True,True,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,False,,True,False,,True,False,True,True,,False,False,True,True,True,True,True,True,True
Arkansas,1925,1904.6,1906.6,1906.9,1931.0,1910.0,1919.0,1897.0,1915.0,1945.3,1924.0,1958.3,1911.1,1869.9,1952.4,,1997.0,1909.0,1902.0,1956.6,1962.2,1911.0,1875.6,1924.0,1942.0,1909.6,1918.1,1899.0,1925.3,1921.5,,1873.9,1918.8,1902.0,,1954.3,1839.2,,1934.0,1627.9,1921.0,1903.0,,1937.1,1928.5,1905.0,1906.3,1867.4,1917.0,1920.0,1884.1,1783.0,-20.4,-18.4,-18.1,6.0,-15.0,-6.0,-28.0,-10.0,20.3,-1.0,33.3,-13.9,-55.1,27.4,,72.0,-16.0,-23.0,31.6,37.2,-14.0,-49.4,-1.0,17.0,-15.4,-6.9,-26.0,0.3,-3.5,,-51.1,-6.2,-23.0,,29.3,-85.8,,9.0,-297.1,-4.0,-22.0,,12.1,3.5,-20.0,-18.7,-57.6,-8.0,-5.0,-40.9,-142.0,True,True,True,True,True,False,True,True,True,False,True,False,False,,False,True,False,False,False,True,False,True,True,True,True,False,True,True,,False,True,False,,False,False,,True,False,True,False,,True,True,True,True,False,True,True,False,False
California,17659,17682.9,17810.8,17728.6,17776.0,17730.0,17725.0,17695.0,17745.0,17695.3,17563.0,17701.8,17753.1,17792.7,17771.6,,17705.1,17765.0,17819.0,17733.8,17728.3,17741.0,17705.9,17719.5,17750.2,17650.6,17722.6,17681.0,17750.8,17716.2,,17573.3,17746.8,17594.0,,17701.5,17459.6,,17763.0,17628.1,17764.0,17726.5,17922.0,17663.5,17756.6,17691.0,17761.1,17747.5,17751.0,17622.0,17723.3,17656.0,23.9,151.8,69.6,117.0,71.0,66.0,36.0,86.0,36.3,-96.0,42.8,94.1,133.7,112.6,,46.1,106.0,160.0,74.8,69.3,82.0,46.9,60.5,91.2,-8.4,63.6,22.0,91.8,57.2,,-85.7,87.8,-65.0,,42.5,-199.4,,104.0,-30.9,105.0,67.5,263.0,4.5,97.6,32.0,102.1,88.5,92.0,-37.0,64.3,-3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,False,,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Colorado,2285,2263.3,2252.8,2260.7,2259.0,2260.0,2275.0,2310.0,2295.0,2344.2,2299.0,2278.1,2287.0,2303.7,2283.5,,2294.3,2262.0,2269.0,2278.1,2310.2,2275.0,2259.4,2268.0,2271.3,2284.3,2287.5,2314.0,2259.8,2285.9,,2274.0,2290.0,2240.0,,2281.0,2223.8,,2272.0,2350.2,2265.0,2255.9,,2288.1,2264.7,2280.0,2266.9,2396.9,2266.0,2284.0,2249.5,,-21.7,-32.2,-24.3,-26.0,-25.0,-10.0,25.0,10.0,59.2,14.0,-6.9,2.0,18.7,-1.5,,9.3,-23.0,-16.0,-6.9,25.2,-10.0,-25.6,-17.0,-13.7,-0.7,2.5,29.0,-25.2,0.9,,-11.0,5.0,-45.0,,-4.0,-61.2,,-13.0,65.2,-20.0,-29.1,,3.1,-20.3,-5.0,-18.1,111.9,-19.0,-1.0,-35.5,,False,False,False,False,True,False,True,False,True,True,True,True,True,,True,False,True,True,False,True,False,True,True,True,True,False,False,True,,True,True,False,,True,False,,True,False,True,False,,True,True,True,True,False,True,True,False,
Connecticut,4616,4607.0,4623.8,4611.0,4607.0,4612.0,4610.0,4605.0,4612.0,4612.7,4625.0,4602.4,4602.1,4619.6,4611.7,,4536.4,4606.0,4606.0,4605.5,4620.2,4616.0,4595.2,4612.5,4612.1,4587.6,4603.1,4599.0,4613.5,4612.7,,4594.8,4611.5,4593.0,,4597.2,4588.9,,4610.0,5283.5,4597.0,4607.8,,4593.8,4619.1,4618.0,4600.1,4769.3,4611.0,4595.0,4572.3,,-9.0,7.8,-5.0,-9.0,-4.0,-6.0,-11.0,-4.0,-3.3,9.0,-13.6,-13.9,3.6,-4.3,,-79.6,-10.0,-10.0,-10.5,4.2,0.0,-20.8,-3.5,-3.9,-28.4,-12.9,-17.0,-2.5,-3.3,,-21.2,-4.5,-23.0,,-18.8,-27.1,,-6.0,667.5,-19.0,-8.2,,-22.2,3.1,2.0,-15.9,153.3,-5.0,-21.0,-43.7,,True,True,False,True,True,False,True,True,False,False,False,True,True,,False,False,False,False,True,True,False,True,True,False,False,False,True,True,,False,True,False,,False,False,,True,False,False,True,,False,True,True,False,False,True,False,False,
Delaware,708,694.7,694.8,696.0,693.0,696.0,694.0,692.0,691.0,691.2,693.0,702.5,694.0,692.3,694.2,,683.3,692.0,689.0,691.7,685.9,700.0,688.7,689.5,690.6,687.0,690.6,692.0,695.6,694.9,,690.9,696.4,686.0,,,686.7,,694.0,706.3,697.0,694.3,,691.2,701.4,691.0,698.4,718.3,695.0,696.0,688.8,697.0,-13.3,-13.2,-12.0,-15.0,-12.0,-14.0,-16.0,-17.0,-16.8,-15.0,-5.5,-14.0,-15.7,-13.8,,-24.7,-16.0,-19.0,-16.3,-22.1,-8.0,-19.3,-18.5,-17.4,-21.0,-17.4,-16.0,-12.4,-13.1,,-17.1,-11.6,-22.0,,,-21.3,,-14.0,-1.7,-11.0,-13.7,,-16.8,-6.6,-17.0,-9.6,10.3,-13.0,-12.0,-19.2,-11.0,True,True,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,False,True,False,,,False,,False,True,True,False,,False,True,False,True,True,True,True,False,True
District of Columbia,646,642.9,643.0,642.7,646.0,643.0,646.0,652.0,647.0,655.2,644.0,649.1,645.8,644.4,646.6,,652.6,643.0,644.0,644.5,652.4,645.0,645.6,642.0,648.5,646.5,642.3,647.0,,,,644.5,642.9,645.0,,,651.7,,646.0,672.8,652.0,644.0,,648.9,,645.0,,657.2,647.0,647.0,643.4,,-3.1,-3.0,-3.3,0.0,-3.0,0.0,6.0,1.0,9.2,-2.0,3.1,-0.2,-1.6,0.6,,6.6,-3.0,-2.0,-1.5,6.4,-1.0,-0.4,-4.0,2.5,0.5,-3.7,1.0,,,,-1.5,-3.1,-1.0,,,5.7,,0.0,26.8,6.0,-2.0,,2.9,,-1.0,,11.2,1.0,1.0,-2.6,,True,False,True,True,True,False,True,False,True,True,True,True,True,,False,True,True,True,False,True,True,False,True,True,False,True,,,,True,True,True,,,False,,True,False,False,True,,True,,True,,False,True,True,True,
Florida,16761,16825.0,16911.1,16935.8,16954.0,16917.0,16913.0,16915.0,17157.0,17211.5,16791.0,16909.5,16919.9,16850.4,17017.7,,17421.3,16947.0,17047.0,17132.0,17386.7,16883.0,16780.9,16913.0,17101.2,16815.9,16874.7,16891.0,16941.1,16868.4,,16806.0,16959.4,16837.0,,17024.9,16933.8,,17080.0,17805.7,16905.0,16895.9,,16860.6,16945.7,16863.0,16961.8,16716.9,17056.0,16889.0,16845.5,16911.0,64.0,150.1,174.8,193.0,156.0,152.0,154.0,396.0,450.5,30.0,148.5,158.9,89.4,256.7,,660.3,186.0,286.0,371.0,625.7,122.0,19.9,152.0,340.2,54.9,113.7,130.0,180.1,107.4,,45.0,198.4,76.0,,263.9,172.8,,319.0,1044.7,144.0,134.9,,99.6,184.7,102.0,200.8,-44.1,295.0,128.0,84.5,150.0,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,True,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False
