,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2967,2811.9,2791.0,2742.7,2936.0,,3041.2,3023.0,2876.6,2923.2,2911.0,2762.5,2761.4,2879.9,,3064.4,2739.0,,2637.0,2807.3,,3168.1,2912.0,2805.6,2849.2,-155.1,-176.0,-224.3,-31.0,,74.2,56.0,-90.4,-43.8,-56.0,-204.5,-205.6,-87.1,,97.4,-228.0,,-330.0,-159.7,,201.1,-55.0,-161.4,-117.8,False,False,True,,True,True,True,True,True,False,False,True,,True,False,,False,False,,False,True,False,True
Alaska,82,109.4,69.0,68.2,78.0,,47.3,,66.5,86.5,95.7,67.3,71.5,114.2,,72.3,68.0,,62.3,73.1,,79.9,73.0,66.2,90.3,27.4,-13.0,-13.8,-4.0,,-34.7,,-15.5,4.5,13.7,-14.7,-10.5,32.2,,-9.7,-14.0,,-19.7,-8.9,,-2.1,-9.0,-15.8,8.3,True,True,True,,False,,True,True,True,True,True,False,,True,True,,True,True,,True,True,True,True
Arizona,5979,6332.1,8556.0,6197.0,6156.0,,6344.9,6268.0,6148.2,5814.4,5969.4,6252.9,5894.9,6016.6,,5954.5,6002.0,,5801.3,6261.2,,6052.1,6172.0,6159.0,6273.0,353.1,2577.0,218.0,177.0,,365.9,289.0,169.2,-164.6,-9.6,273.9,-84.1,37.6,,-24.5,23.0,,-177.7,282.2,,73.1,193.0,180.0,294.0,False,True,True,,False,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True,True
Arkansas,1925,1924.9,2627.0,2259.6,1779.0,,1705.6,1598.0,1924.1,1601.6,1720.5,1968.0,1551.8,1916.0,,1629.3,2315.0,,1664.1,1698.3,,1597.4,1829.0,1581.9,1743.7,-0.1,702.0,334.6,-146.0,,-219.4,-327.0,-0.9,-323.4,-204.5,43.0,-373.2,-9.0,,-295.7,390.0,,-260.9,-226.7,,-327.6,-96.0,-343.1,-181.3,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False
California,17659,18471.7,17810.0,17465.3,18005.0,,19954.9,17843.0,17736.4,17008.1,18431.7,17615.7,17181.8,17542.0,,16975.3,18032.0,,16530.6,18020.5,22834.0,17698.6,18274.0,17488.2,18375.2,812.7,151.0,-193.7,346.0,,2295.9,184.0,77.4,-650.9,772.7,-43.3,-477.2,-117.0,,-683.7,373.0,,-1128.4,361.5,5175.0,39.6,615.0,-170.8,716.2,True,True,True,,False,True,True,True,True,True,True,True,,True,True,,False,True,False,True,True,True,True
Colorado,2285,2172.1,2809.0,2241.9,2072.0,,2189.2,2178.0,2255.3,2515.1,2280.5,2217.8,2153.1,2203.1,,2048.5,2066.0,,2093.5,2136.9,,2720.0,2334.0,2107.3,2220.6,-112.9,524.0,-43.1,-213.0,,-95.8,-107.0,-29.7,230.1,-4.5,-67.2,-131.9,-81.9,,-236.5,-219.0,,-191.5,-148.1,,435.0,49.0,-177.7,-64.4,False,True,False,,True,True,True,False,True,True,False,True,,False,False,,False,False,,False,True,False,True
Connecticut,4616,4544.7,4592.0,4554.8,4502.0,,4626.4,4571.0,4551.1,4736.4,4584.4,4548.6,4516.9,4740.2,,4575.0,4527.0,,4519.8,4535.8,,4878.2,4553.0,4514.8,4603.1,-71.3,-24.0,-61.2,-114.0,,10.4,-45.0,-64.9,120.4,-31.6,-67.4,-99.1,124.2,,-41.0,-89.0,,-96.2,-80.2,,262.2,-63.0,-101.2,-12.9,True,True,False,,True,True,True,False,True,True,False,False,,True,False,,False,False,,False,True,False,True
Delaware,735,691.3,694.0,682.5,636.0,,675.5,665.0,668.5,685.6,672.6,666.2,652.0,686.2,,662.4,644.0,,666.3,670.7,,753.4,664.0,656.1,677.8,-30.7,-28.0,-39.5,-86.0,,-46.5,-57.0,-53.5,-36.4,-49.4,-55.8,-70.0,-35.8,,-59.6,-78.0,,-55.7,-51.3,,31.4,-58.0,-65.9,-44.2,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False
District of Columbia,646,643.4,648.0,639.8,628.0,,647.8,631.0,639.2,662.2,648.1,644.1,636.0,652.4,,641.9,630.0,,624.7,641.2,,689.9,645.0,633.6,642.2,-2.6,2.0,-6.2,-18.0,,1.8,-15.0,-6.8,16.2,2.1,-1.9,-10.0,6.4,,-4.1,-16.0,,-21.3,-4.8,,43.9,-1.0,-12.4,-3.8,True,False,False,,True,False,False,False,True,True,False,False,,False,False,,False,False,,False,True,False,False
Florida,16761,17606.9,17217.0,16653.8,16042.0,,18935.7,16226.0,16342.1,14829.6,17057.9,15683.4,15985.6,16243.6,,17321.9,16044.5,,14935.2,16849.6,,15499.1,17290.0,15904.6,16751.0,845.9,456.0,-107.2,-719.0,,2174.7,-535.0,-418.9,-1931.4,296.9,-1077.6,-775.4,-517.4,,560.9,-716.5,,-1825.8,88.6,,-1261.9,529.0,-856.4,-10.0,True,True,True,,False,True,True,False,True,False,True,True,,True,True,,False,True,,False,True,False,True
