,total_deaths_2020-10-18,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
BPagano-RtDriven,220303,231331.5,231633,11657.5,11330,327.5,2.9%
OliverWyman-Navigator,220303,230604.4,231633,10930.4,11330,-399.6,-3.5%
Karlen-pypm,220303,230592.8,231633,10918.8,11330,-411.2,-3.6%
Columbia_UNC-SurvCon,220303,231444.3,231633,11770.3,11330,440.3,3.9%
USC-SI_kJalpha,220303,230370.0,231633,10696.0,11330,-634.0,-5.6%
SteveMcConnell-CovidComplete,220303,230342.0,231633,10668.0,11330,-662.0,-5.8%
UMass-MechBayes,220303,230340.0,231633,10666.0,11330,-664.0,-5.9%
GT-DeepCOVID,220303,230339.5,231633,10665.5,11330,-664.5,-5.9%
CU-select,220303,230178.0,231633,10504.0,11330,-826.0,-7.3%
UMich-RidgeTfReg,220303,230142.6,231633,10468.6,11330,-861.4,-7.6%
LNQ-ens1,220303,230102.9,231633,10428.9,11330,-901.1,-8.0%
JHUAPL-Bucky,220303,230048.5,231633,10374.5,11330,-955.5,-8.4%
JCB-PRM,220303,229864.5,231633,10190.5,11330,-1139.5,-10.1%
MIT_CritData-GBCF,220303,229796.0,231633,10122.0,11330,-1208.0,-10.7%
QJHong-Encounter,220303,229758.5,231633,10084.5,11330,-1245.5,-11.0%
UA-EpiCovDA,220303,229696.0,231633,10022.0,11330,-1308.0,-11.5%
UCSD_NEU-DeepGLEAM,220303,229605.8,231633,9931.8,11330,-1398.2,-12.3%
DDS-NBDS,220303,229579.0,231633,9905.0,11330,-1425.0,-12.6%
MSRA-DeepST,220303,229298.2,231633,9624.2,11330,-1705.8,-15.1%
COVIDhub-ensemble,220303,229295.0,231633,9621.0,11330,-1709.0,-15.1%
MOBS-GLEAM_COVID,220303,229287.3,231633,9613.3,11330,-1716.7,-15.2%
epiforecasts-ensemble1,220303,229265.0,231633,9591.0,11330,-1739.0,-15.3%
UT-Mobility,220303,229182.0,231633,9508.0,11330,-1822.0,-16.1%
COVIDhub-baseline,220303,229117.3,231633,9443.3,11330,-1886.7,-16.7%
CEID-Walk,220303,229109.5,231633,9435.5,11330,-1894.5,-16.7%
UCLA-SuEIR,220303,228896.7,231633,9222.7,11330,-2107.3,-18.6%
STH-3PU,220303,228812.0,231633,9138.0,11330,-2192.0,-19.3%
Baseline,220303,228785.1,231633,9111.1,11330,-2218.9,-19.6%
RobertWalraven-ESG,220303,228665.9,231633,8991.9,11330,-2338.1,-20.6%
RPI_UW-Mob_Collision,220303,228562.7,231633,8888.7,11330,-2441.3,-21.5%
UCM_MESALab-FoGSEIR,220303,234015.0,231633,14341.0,11330,3011.0,26.6%
IowaStateLW-STEM,220303,227871.0,231633,8197.0,11330,-3133.0,-27.7%
IHME-CurveFit,220303,227663.5,231633,7989.5,11330,-3340.5,-29.5%
JHU_IDD-CovidSP,220303,227625.6,231633,7951.6,11330,-3378.4,-29.8%
IBF-TimeSeries,220303,234416.0,231633,14742.0,11330,3412.0,30.1%
NotreDame-mobility,220303,227066.0,231633,7392.0,11330,-3938.0,-34.8%
WalmartLabsML-LogForecasting,220303,226869.8,231633,7195.8,11330,-4134.2,-36.5%
PSI-DRAFT,220303,226621.5,231633,6947.5,11330,-4382.5,-38.7%
LANL-GrowthRate,220303,226303.3,231633,6629.3,11330,-4700.7,-41.5%
CovidAnalytics-DELPHI,220303,226218.0,231633,6544.0,11330,-4786.0,-42.2%
Covid19Sim-Simulator,220303,225273.5,231633,5599.5,11330,-5730.5,-50.6%
TTU-squider,220303,238041.2,231633,18367.2,11330,7037.2,62.1%
CMU-TimeSeries,220303,,231633,,11330,,
Google_Harvard-CPF,220303,,231633,,11330,,
JHU_CSSE-DECOM,220303,,231633,,11330,,
MITCovAlliance-SIR,220303,,231633,,11330,,
NotreDame-FRED,220303,,231633,,11330,,
