,total_deaths_2020-09-20,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IowaStateLW-STEM,199531,231818.0,231633,32309.0,32102,207.0,0.6%
Baseline,199531,231360.1,231633,31851.1,32102,-250.9,-0.8%
JHU_IDD-CovidSP,199531,230629.7,231633,31120.7,32102,-981.3,-3.1%
USC-SI_kJalpha,199531,229182.0,231633,29673.0,32102,-2429.0,-7.6%
IHME-CurveFit,199531,228523.9,231633,29014.9,32102,-3087.1,-9.6%
STH-3PU,199531,226639.0,231633,27130.0,32102,-4972.0,-15.5%
Columbia_UNC-SurvCon,199531,225667.0,231633,26158.0,32102,-5944.0,-18.5%
JCB-PRM,199531,225437.2,231633,25928.2,32102,-6173.8,-19.2%
QJHong-Encounter,199531,225293.3,231633,25784.3,32102,-6317.7,-19.7%
IBF-TimeSeries,199531,239186.0,231633,39677.0,32102,7575.0,23.6%
PSI-DRAFT,199531,224015.5,231633,24506.5,32102,-7595.5,-23.7%
NotreDame-mobility,199531,224000.5,231633,24491.5,32102,-7610.5,-23.7%
UCLA-SuEIR,199531,223883.1,231633,24374.1,32102,-7727.9,-24.1%
JHUAPL-Bucky,199531,223557.7,231633,24048.7,32102,-8053.3,-25.1%
YYG-ParamSearch,199531,222831.3,231633,23322.3,32102,-8779.7,-27.3%
CovidAnalytics-DELPHI,199531,220806.0,231633,21297.0,32102,-10805.0,-33.7%
Covid19Sim-Simulator,199531,220468.6,231633,20959.6,32102,-11142.4,-34.7%
USACE-ERDC_SEIR,199531,242980.4,231633,43471.4,32102,11369.4,35.4%
WalmartLabsML-LogForecasting,199531,219314.4,231633,19805.4,32102,-12296.6,-38.3%
LANL-GrowthRate,199531,217409.6,231633,17900.6,32102,-14201.4,-44.2%
RobertWalraven-ESG,199531,212937.9,231633,13428.9,32102,-18673.1,-58.2%
MITCovAlliance-SIR,199531,,231633,,32102,,
NotreDame-FRED,199531,,231633,,32102,,
