,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7979,8362.7,8032.0,7827.9,8050.0,,8073.0,8082.3,7395.4,7463.6,8876.7,,7399.1,,8118.9,7794.6,7553.0,7352.2,7552.5,383.7,53.0,-151.1,71.0,,94.0,103.3,-583.6,-515.4,897.7,,-579.9,,139.9,-184.4,-426.0,-626.8,-426.5,True,True,True,,True,True,False,False,False,,False,,True,True,False,False,False
Hawaii,219,195.0,145.0,173.7,170.0,,,168.6,139.3,139.0,150.4,,144.4,,181.6,138.4,142.0,139.3,174.9,-24.0,-74.0,-45.3,-49.0,,,-50.4,-79.7,-80.0,-68.6,,-74.6,,-37.4,-80.6,-77.0,-79.7,-44.1,False,False,False,,,False,False,False,False,,False,,False,False,False,False,False
Idaho,629,620.7,562.0,600.1,545.0,,598.0,580.4,527.5,565.5,1951.3,,448.6,,581.0,574.1,565.0,523.2,576.7,-8.3,-67.0,-28.9,-84.0,,-31.0,-48.6,-101.5,-63.5,1322.3,,-180.4,,-48.0,-54.9,-64.0,-105.8,-52.3,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False
Illinois,10040,9576.4,10155.0,9428.1,9219.0,,9484.0,9751.5,10540.0,8967.7,9039.2,,9055.6,,9328.0,11363.9,9334.0,8675.3,9351.6,-463.6,115.0,-611.9,-821.0,,-556.0,-288.5,500.0,-1072.3,-1000.8,,-984.4,,-712.0,1323.9,-706.0,-1364.7,-688.4,True,False,False,,False,True,False,False,False,,False,,False,False,False,False,False
Indiana,4504,3945.4,3890.0,3953.6,4050.0,,4212.0,3929.5,4349.2,3784.9,4146.6,,3602.2,,3821.9,5359.2,3809.0,3517.5,3875.6,-586.6,-642.0,-578.4,-482.0,,-320.0,-602.5,-182.8,-747.1,-385.4,,-929.8,,-710.1,827.2,-723.0,-1014.5,-656.4,False,True,True,,True,False,True,False,True,,False,,False,False,False,False,False
Iowa,1716,1583.4,1681.0,1655.1,1691.0,,1732.0,1629.1,1603.6,1370.6,1582.6,,1343.8,,1546.2,1702.0,1584.0,1396.3,1596.0,-132.6,-35.0,-60.9,-25.0,,16.0,-86.9,-112.4,-345.4,-133.4,,-372.2,,-169.8,-14.0,-132.0,-319.7,-120.0,True,True,True,,True,True,True,False,False,,False,,False,True,True,False,True
Kansas,1029,850.3,694.0,783.2,764.0,,635.0,703.6,759.1,577.8,756.8,,614.4,,754.8,687.0,711.0,617.4,726.4,-178.7,-335.0,-245.8,-265.0,,-394.0,-325.4,-269.9,-451.2,-272.2,,-414.6,,-274.2,-342.0,-318.0,-411.6,-302.6,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False
Kentucky,1485,1498.9,1733.0,1548.2,1467.0,,1618.0,1548.2,1473.4,1315.9,1411.6,,1241.6,,1468.8,1644.9,1350.0,1231.3,1426.8,13.9,248.0,63.2,-18.0,,133.0,63.2,-11.6,-169.1,-73.4,,-243.4,,-16.2,159.9,-135.0,-253.7,-58.2,False,False,False,,False,False,True,False,False,,False,,False,False,False,False,False
Louisiana,5919,6208.7,10099.0,5851.5,5801.0,,5969.0,5684.4,5710.3,5914.2,6614.3,,5784.9,,6483.7,6248.9,5746.0,5666.5,5813.5,289.7,4180.0,-67.5,-118.0,,50.0,-234.6,-208.7,-4.8,695.3,,-134.1,,564.7,329.9,-173.0,-252.5,-105.5,False,True,True,,True,True,True,True,False,,True,,False,False,True,True,True
Maine,147,149.7,143.0,147.5,141.0,,193.0,157.0,161.1,148.6,191.4,,144.4,,140.7,186.8,144.0,143.1,149.6,2.7,-4.0,0.5,-6.0,,46.0,10.0,14.1,1.6,44.4,,-2.6,,-6.3,39.8,-3.0,-3.9,2.6,False,True,False,,False,False,False,True,False,,True,,False,False,False,False,True
