,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,2967,3018.3,3187.1,3039.8,3025.0,3035.9,2972.0,2913.0,2960.6,2802.8,2867.0,2944.1,2937.4,2927.3,,2904.7,2885.0,2962.4,2888.2,3115.0,2921.4,3039.8,2954.6,2995.1,2909.8,2976.0,3003.4,2993.7,,2984.7,3048.4,2902.0,,2944.4,3034.5,,3003.0,3442.7,2983.0,2911.2,,3015.6,2961.0,3003.1,3043.0,2955.0,2923.6,3041.0,51.3,220.1,72.8,58.0,68.9,5.0,-54.0,-6.4,-164.2,-100.0,-22.9,-29.6,-39.7,,-62.3,-82.0,-4.6,-78.8,148.0,-45.6,72.8,-12.4,28.1,-57.2,9.0,36.4,26.7,,17.7,81.4,-65.0,,-22.6,67.5,,36.0,475.7,16.0,-55.8,,48.6,-6.0,36.1,76.0,-12.0,-43.4,74.0,False,False,False,False,True,False,True,False,False,True,True,True,,False,False,True,False,False,True,False,True,True,False,True,True,True,,True,False,False,,True,False,,True,False,True,False,,True,True,True,False,True,True,False
Alaska,82,80.0,105.3,81.5,81.0,81.0,81.0,81.0,81.2,78.5,74.0,79.4,76.8,77.8,,65.4,,73.9,77.9,96.3,82.6,84.7,77.1,73.8,85.2,107.0,83.6,88.0,,80.9,83.5,76.0,,,77.1,,81.0,75.2,87.0,72.5,,82.1,81.0,74.5,83.0,74.0,72.3,77.0,-2.0,23.3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.8,-3.5,-8.0,-2.6,-5.2,-4.2,,-16.6,,-8.1,-4.1,14.3,0.6,2.7,-4.9,-8.2,3.2,25.0,1.6,6.0,,-1.1,1.5,-6.0,,,-4.9,,-1.0,-6.8,5.0,-9.5,,0.1,-1.0,-7.5,1.0,-8.0,-9.7,-5.0,False,True,True,True,True,True,True,False,False,False,False,False,,False,,False,False,False,True,False,False,False,False,False,True,False,,True,True,False,,,False,,True,False,False,False,,True,True,False,True,False,False,False
Arizona,5979,5953.3,6044.4,5952.9,5949.0,5954.6,5970.0,5993.0,5955.5,5912.6,5914.0,5987.9,6021.6,6026.2,,6028.2,5935.0,6004.0,5976.1,5954.2,5923.5,5997.1,5970.1,5947.3,5989.2,5961.0,5893.7,6016.8,,5946.4,5987.3,5900.0,,5951.5,5974.4,,5972.0,7114.2,5962.0,5965.9,,5903.3,6014.0,6040.3,5980.0,5913.0,6017.4,,-25.7,65.4,-26.1,-30.0,-24.4,-9.0,14.0,-23.5,-66.4,-65.0,8.9,42.6,47.2,,49.2,-44.0,25.0,-2.9,-24.8,-55.5,18.1,-8.9,-31.7,10.2,-18.0,-85.3,37.8,,-32.6,8.3,-79.0,,-27.5,-4.6,,-7.0,1135.2,-17.0,-13.1,,-75.7,35.0,61.3,1.0,-66.0,38.4,,False,False,False,True,True,True,True,False,False,True,False,False,,False,False,True,True,True,False,True,True,False,True,True,False,False,,False,True,False,,False,True,,True,False,True,True,,False,False,False,True,False,False,
Arkansas,1925,1954.7,1966.3,1916.5,1969.0,1948.0,1948.0,1880.0,1926.8,1779.5,1868.0,2016.3,1921.9,1932.0,,1977.9,1963.0,2000.0,1942.0,1942.8,1852.7,1992.8,1913.9,1955.0,1927.5,1910.0,1981.1,1946.8,,1836.0,2015.3,1909.0,,1963.6,1955.1,,1977.0,1624.6,1993.0,1910.6,,1986.9,1945.0,1954.2,1968.0,1963.5,1847.8,1818.0,29.7,41.3,-8.5,44.0,23.0,23.0,-45.0,1.8,-145.5,-57.0,91.3,-3.1,7.0,,52.9,38.0,75.0,17.0,17.8,-72.3,67.8,-11.1,30.0,2.5,-15.0,56.1,21.8,,-89.0,90.3,-16.0,,38.6,30.1,,52.0,-300.4,68.0,-14.4,,61.9,20.0,29.2,43.0,38.5,-77.2,-107.0,False,True,False,True,True,False,True,False,False,False,True,True,,False,False,False,True,True,False,False,True,False,True,True,False,True,,False,False,True,,False,False,,False,False,False,True,,False,True,True,False,False,False,False
California,17659,17721.9,17903.4,17711.3,17690.0,17734.0,17717.0,17600.0,17870.7,17440.2,17770.0,17681.9,17786.8,17720.0,,17774.1,17695.0,17870.2,17783.0,17834.1,17780.1,17810.9,17467.8,17698.7,17615.1,17752.0,17527.1,17755.0,,17310.5,17621.8,17742.0,,17785.9,17681.8,,17811.0,16784.5,17685.0,17719.8,17714.0,17526.1,17697.0,17835.6,17666.0,17575.5,17738.5,17612.0,62.9,244.4,52.3,31.0,75.0,58.0,-59.0,211.7,-218.8,111.0,22.9,127.8,61.0,,115.1,36.0,211.2,124.0,175.1,121.1,151.9,-191.2,39.7,-43.9,93.0,-131.9,96.0,,-348.5,-37.2,83.0,,126.9,22.8,,152.0,-874.5,26.0,60.8,55.0,-132.9,38.0,176.6,7.0,-83.5,79.5,-47.0,False,True,True,False,True,True,False,False,False,True,False,True,,False,True,False,False,False,False,False,False,True,True,False,False,False,,False,True,False,,False,True,,False,False,True,True,True,False,True,False,True,False,False,True
Colorado,2285,2293.0,2366.1,2304.7,2298.0,2304.0,2278.0,2319.0,2329.6,2225.3,2247.0,2272.0,2346.1,2272.8,,2295.4,2266.0,2265.1,2306.8,2332.1,2259.9,2312.8,2262.2,2307.7,2254.4,2320.0,2235.2,2299.7,,2266.6,2348.6,2245.0,,2250.4,2248.4,,2271.0,2572.8,2284.0,2205.8,,2245.7,2289.0,2264.9,2328.0,2292.0,2223.6,2306.0,8.0,81.1,19.7,13.0,19.0,-7.0,34.0,44.6,-59.7,-38.0,-13.0,61.1,-12.2,,10.4,-19.0,-19.9,21.8,47.1,-25.1,27.8,-22.8,22.7,-30.6,35.0,-49.8,14.7,,-18.4,63.6,-40.0,,-34.6,-36.6,,-14.0,287.8,-1.0,-79.2,,-39.3,4.0,-20.1,43.0,7.0,-61.4,21.0,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,True,False,,False,True,False,False,True,False,False
Connecticut,4616,4564.3,4566.1,4566.7,4565.0,4568.7,4570.0,4592.0,4591.6,4574.7,4585.0,4585.4,4573.5,4613.1,,4542.6,4581.0,4573.0,4650.5,4581.6,4576.3,4592.5,4559.3,4569.0,4652.8,4582.0,4557.2,4587.9,,4571.1,4574.2,4561.0,,4566.4,4569.3,,4583.0,5171.5,4562.0,4562.0,,4565.4,4583.0,4569.8,4585.0,4569.0,4541.4,4566.0,-51.7,-49.9,-49.3,-51.0,-47.3,-46.0,-24.0,-24.4,-41.3,-31.0,-30.6,-42.5,-2.9,,-73.4,-35.0,-43.0,34.5,-34.4,-39.7,-23.5,-56.7,-47.0,36.8,-34.0,-58.8,-28.1,,-44.9,-41.8,-55.0,,-49.6,-46.7,,-33.0,555.5,-54.0,-54.0,,-50.6,-33.0,-46.2,-31.0,-47.0,-74.6,-50.0,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,False,True,,True,True,False,,True,True,,True,False,False,False,,True,True,True,True,True,False,True
Delaware,708,685.4,683.7,685.7,690.0,686.0,688.0,689.0,689.7,684.6,685.0,702.0,699.2,692.2,,685.7,679.0,682.1,693.7,688.1,678.8,689.0,678.4,681.0,694.7,687.0,687.1,696.3,,689.6,687.5,677.0,,,683.7,,687.0,770.2,688.0,682.0,,695.7,683.0,701.2,686.0,691.0,679.6,687.0,-22.6,-24.3,-22.3,-18.0,-22.0,-20.0,-19.0,-18.3,-23.4,-23.0,-6.0,-8.8,-15.8,,-22.3,-29.0,-25.9,-14.3,-19.9,-29.2,-19.0,-29.6,-27.0,-13.3,-21.0,-20.9,-11.7,,-18.4,-20.5,-31.0,,,-24.3,,-21.0,62.2,-20.0,-26.0,,-12.3,-25.0,-6.8,-22.0,-17.0,-28.4,-21.0,False,True,True,True,True,True,True,False,False,True,True,True,,True,False,False,True,True,False,True,False,False,True,True,True,True,,True,True,False,,,False,,True,False,True,False,,True,False,True,True,True,False,True
District of Columbia,646,648.4,653.1,651.8,652.0,651.0,652.0,654.0,659.7,648.7,644.0,655.2,650.1,654.9,,652.8,643.0,649.1,659.5,656.2,650.0,651.9,649.1,643.0,655.5,654.0,,,,646.5,652.1,652.0,,,652.8,,655.0,675.5,662.0,645.3,,,650.0,,657.0,652.5,644.3,654.0,2.4,7.1,5.8,6.0,5.0,6.0,8.0,13.7,2.7,-2.0,9.2,4.1,8.9,,6.8,-3.0,3.1,13.5,10.2,4.0,5.9,3.1,-3.0,9.5,8.0,,,,0.5,6.1,6.0,,,6.8,,9.0,29.5,16.0,-0.7,,,4.0,,11.0,6.5,-1.7,8.0,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,,,True,False,False,,,False,,False,False,False,True,,,False,,False,False,True,False
Florida,16761,17086.9,17537.5,17352.7,17355.0,17379.9,17140.0,16966.0,17352.6,16487.5,16698.0,17126.2,17118.6,16867.0,,17268.2,16911.0,17334.1,17164.3,17150.9,16744.0,17038.0,17018.6,17095.7,16930.1,17079.0,16981.3,16980.6,,16716.9,17471.7,16733.0,,17319.1,17215.9,,17352.0,15160.6,17103.0,17180.0,,17005.3,16986.0,17208.5,17311.0,17453.0,16826.9,17271.0,325.9,776.5,591.7,594.0,618.9,379.0,205.0,591.6,-273.5,-63.0,365.2,357.6,106.0,,507.2,150.0,573.1,403.3,389.9,-17.0,277.0,257.6,334.7,169.1,318.0,220.3,219.6,,-44.1,710.7,-28.0,,558.1,454.9,,591.0,-1600.4,342.0,419.0,,244.3,225.0,447.5,550.0,692.0,65.9,510.0,False,False,False,False,False,True,False,True,True,False,False,True,,False,True,False,False,False,True,True,True,False,True,True,True,True,,True,False,True,,False,False,,False,False,False,False,,True,True,False,False,False,True,False
