,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2967,4050.4,4420.6,3366.8,3165.0,,2878.9,3596.2,1083.4,1453.6,399.8,198.0,,-88.1,629.2,False,True,True,,True,True
Alaska,82,47.7,155.8,19.0,,,57.5,71.9,-34.3,73.8,-63.0,,,-24.5,-10.1,False,False,,,True,True
Arizona,5979,10843.3,6880.9,5657.3,7168.0,,6399.2,7152.2,4864.3,901.9,-321.7,1189.0,,420.2,1173.2,True,True,True,,True,True
Arkansas,1925,1010.7,1624.6,890.9,1089.0,,731.1,985.8,-914.3,-300.4,-1034.1,-836.0,,-1193.9,-939.2,True,False,True,,False,False
California,17659,18605.3,23463.1,19463.1,15986.0,,14920.2,17618.3,946.3,5804.1,1804.1,-1673.0,,-2738.8,-40.7,False,False,False,,False,True
Colorado,2285,2376.0,2853.3,2757.9,2050.0,,2578.9,2571.9,91.0,568.3,472.9,-235.0,,293.9,286.9,False,False,False,,False,False
Connecticut,4616,4648.6,4499.7,4747.7,4485.0,,4419.8,4649.1,32.6,-116.3,131.7,-131.0,,-196.2,33.1,False,False,False,,False,False
Delaware,708,1355.0,719.4,563.7,618.0,,1425.9,674.9,647.0,11.4,-144.3,-90.0,,717.9,-33.1,True,True,True,,False,True
District of Columbia,646,622.6,663.1,692.6,595.0,,584.0,645.0,-23.4,17.1,46.6,-51.0,,-62.0,-1.0,True,False,False,,False,True
Florida,16761,17937.4,23752.4,18036.6,13626.0,,14264.3,14151.1,1176.4,6991.4,1275.6,-3135.0,,-2496.7,-2609.9,False,False,False,,False,False
Georgia,7979,7987.7,9283.3,7298.7,5135.0,,7895.6,7092.2,8.7,1304.3,-680.3,-2844.0,,-83.4,-886.8,False,False,False,,False,False
Hawaii,219,53.7,89.4,27.6,,,29.9,93.7,-165.3,-129.6,-191.4,,,-189.1,-125.3,True,False,,,False,True
Idaho,629,520.1,1411.0,503.7,371.0,,368.7,626.4,-108.9,782.0,-125.3,-258.0,,-260.3,-2.6,False,False,False,,False,True
Illinois,10040,9003.4,9892.2,8466.0,8308.0,,9100.9,9291.3,-1036.6,-147.8,-1574.0,-1732.0,,-939.1,-748.7,True,False,False,,True,True
Indiana,4332,4025.4,4020.3,3378.2,3576.0,,4064.2,4501.9,-306.6,-311.7,-953.8,-756.0,,-267.8,169.9,False,False,False,,True,True
Iowa,1716,1327.9,1717.9,1798.2,1156.0,,1028.4,1460.0,-388.1,1.9,82.2,-560.0,,-687.6,-256.0,True,True,False,,False,True
Kansas,1029,635.9,1264.7,411.7,551.0,,575.6,648.2,-393.1,235.7,-617.3,-478.0,,-453.4,-380.8,True,False,False,,False,True
Kentucky,1485,1115.7,2099.9,1108.8,938.0,,1121.6,1657.4,-369.3,614.9,-376.2,-547.0,,-363.4,172.4,False,False,False,,True,True
Louisiana,5919,6811.6,6710.5,4944.6,6946.0,,6413.2,5545.8,892.6,791.5,-974.4,1027.0,,494.2,-373.2,True,False,False,,True,True
Maine,147,146.7,126.7,179.2,167.0,,120.8,170.3,-0.3,-20.3,32.2,20.0,,-26.2,23.3,False,False,False,,False,False
Maryland,4147,4313.0,4553.1,4188.3,4078.0,,4293.5,4961.9,166.0,406.1,41.3,-69.0,,146.5,814.9,False,True,True,,True,False
Massachusetts,9991,9887.0,8784.9,9958.8,8937.0,,9200.7,9454.1,-104.0,-1206.1,-32.2,-1054.0,,-790.3,-536.9,False,True,False,,False,False
Michigan,7699,6871.1,7431.4,7323.5,7141.0,,6846.3,6886.5,-827.9,-267.6,-375.5,-558.0,,-852.7,-812.5,True,True,True,,False,True
Minnesota,2511,2071.3,2519.2,1871.8,2365.0,,2079.4,2276.1,-439.7,8.2,-639.2,-146.0,,-431.6,-234.9,True,False,True,,True,True
Mississippi,3334,3405.3,3895.1,2509.6,2730.0,,2701.3,2995.4,71.3,561.1,-824.4,-604.0,,-632.7,-338.6,False,False,False,,False,False
Missouri,3037,2220.6,4436.2,1614.4,1563.0,,2511.9,2501.8,-816.4,1399.2,-1422.6,-1474.0,,-525.1,-535.2,False,False,False,,True,True
Montana,375,170.7,472.2,517.9,116.0,,69.5,222.2,-204.3,97.2,142.9,-259.0,,-305.5,-152.8,True,True,False,,False,True
Nebraska,652,523.9,768.3,347.1,421.0,,433.6,505.9,-128.1,116.3,-304.9,-231.0,,-218.4,-146.1,True,False,False,,False,False
Nevada,1777,1939.6,2316.8,1778.4,1668.0,,1619.0,1968.1,162.6,539.8,1.4,-109.0,,-158.0,191.1,False,True,True,,True,False
New Hampshire,483,561.4,495.5,449.6,423.0,,646.8,540.1,78.4,12.5,-33.4,-60.0,,163.8,57.1,True,True,True,,False,True
New Jersey,16350,16909.4,16887.7,17715.9,16030.0,,15839.7,16630.8,559.4,537.7,1365.9,-320.0,,-510.3,280.8,True,False,True,,True,True
New Mexico,1018,1209.9,1044.1,891.3,804.0,,1070.4,1080.2,191.9,26.1,-126.7,-214.0,,52.4,62.2,True,True,False,,True,True
New York,33730,34500.7,33217.8,35021.5,33189.0,,33384.4,33747.9,769.7,-513.2,1290.5,-542.0,,-346.6,16.9,True,False,True,,True,True
North Carolina,4378,4103.4,4246.8,2993.8,3344.0,,3498.0,3893.2,-274.6,-131.2,-1384.2,-1034.0,,-880.0,-484.8,True,False,False,,False,False
North Dakota,524,196.0,348.0,196.5,136.0,,310.5,225.3,-328.0,-176.0,-327.5,-388.0,,-213.5,-298.7,True,True,False,,True,True
Ohio,5301,5150.0,5449.7,3896.2,4187.0,,5435.6,5337.2,-151.0,148.7,-1404.8,-1114.0,,134.6,36.2,True,False,False,,True,True
Oklahoma,1337,1119.6,1438.3,1514.0,1408.0,,931.9,1058.5,-217.4,101.3,177.0,71.0,,-405.1,-278.5,True,True,True,,False,False
Oregon,689,690.9,653.3,677.7,431.0,,487.4,911.4,1.9,-35.7,-11.3,-258.0,,-201.6,222.4,False,False,False,,False,False
Pennsylvania,8800,8582.0,8719.3,8021.7,8337.0,,8150.1,9136.6,-218.0,-80.7,-778.3,-463.0,,-649.9,336.6,True,False,False,,False,False
Rhode Island,1201,1168.3,1409.5,1085.0,1121.0,,1130.5,1170.5,-32.7,208.5,-116.0,-80.0,,-70.5,-30.5,False,False,False,,False,True
South Carolina,3935,6147.0,3634.6,3161.2,3094.0,,4883.4,4476.8,2212.0,-300.4,-773.8,-841.0,,948.4,541.8,True,True,True,,True,True
South Dakota,425,192.3,165.9,239.3,242.0,,340.6,213.4,-232.7,-259.1,-185.7,-183.0,,-84.4,-211.6,False,True,True,,True,True
Tennessee,3353,2685.3,5158.8,2033.5,2300.0,,2194.7,2482.8,-667.7,1805.8,-1319.5,-1053.0,,-1158.3,-870.2,False,False,False,,False,False
