,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,2967,2083.6,3139.8,2405.3,,-883.4,172.8,-561.7,,True,True,
Alaska,82,12.0,22.5,54.1,,-70.0,-59.5,-27.9,,True,True,
Arizona,5979,4328.4,8268.7,7900.8,,-1650.6,2289.7,1921.8,,False,False,
Arkansas,1925,1092.4,1072.2,1278.1,,-832.6,-852.8,-646.9,,False,True,
California,17659,13359.6,16785.1,16188.8,,-4299.4,-873.9,-1470.2,,True,True,
Colorado,2285,2571.0,2061.5,2052.3,,286.0,-223.5,-232.7,,True,True,
Connecticut,4616,5372.6,4689.7,4543.6,,756.6,73.7,-72.4,,True,True,
Delaware,708,680.1,536.0,509.3,,-27.9,-172.0,-198.7,,False,False,
District of Columbia,646,872.4,639.9,707.4,,226.4,-6.1,61.4,,True,True,
Florida,16761,7498.1,10688.0,27487.5,,-9262.9,-6073.0,10726.5,,True,False,
Georgia,7979,6263.6,4515.2,8979.6,,-1715.4,-3463.8,1000.6,,False,True,
Hawaii,219,17.0,21.4,163.8,,-202.0,-197.6,-55.2,,True,True,
Idaho,629,126.7,285.1,131.9,,-502.3,-343.9,-497.1,,True,True,
Illinois,10040,13039.6,7733.4,9131.2,,2999.6,-2306.6,-908.8,,True,True,
Indiana,4332,4765.1,3234.4,3579.9,,433.1,-1097.6,-752.1,,False,False,
Iowa,1716,1327.1,1214.1,895.7,,-388.9,-501.9,-820.3,,False,False,
Kansas,1029,483.3,371.4,510.5,,-545.7,-657.6,-518.5,,False,True,
Kentucky,1485,1035.1,878.8,968.1,,-449.9,-606.2,-516.9,,False,False,
Louisiana,5919,4821.0,4167.1,4240.4,,-1098.0,-1751.9,-1678.6,,False,False,
Maine,147,139.7,162.6,120.4,,-7.3,15.6,-26.6,,False,False,
Maryland,4147,5460.9,4426.0,3769.6,,1313.9,279.0,-377.4,,True,True,
Massachusetts,9991,12250.7,8653.2,9260.2,,2260.7,-1336.8,-729.8,,True,True,
Michigan,7699,7485.4,6404.2,6641.1,,-213.6,-1294.8,-1057.9,,False,False,
Minnesota,2511,2977.1,1995.9,1863.1,,466.1,-515.1,-647.9,,False,False,
Mississippi,3334,1824.3,2015.2,1264.1,,-1509.7,-1318.8,-2069.9,,True,False,
Missouri,3026,2473.6,1505.6,4003.7,,-542.4,-1510.4,987.7,,False,False,
Montana,375,38.9,31.2,49.6,,-336.1,-343.8,-325.4,,False,True,
Nebraska,652,790.9,464.0,682.6,,138.9,-188.0,30.6,,False,True,
Nevada,1777,939.6,850.4,875.4,,-837.4,-926.6,-901.6,,False,False,
New Hampshire,483,697.3,589.2,817.7,,214.3,106.2,334.7,,True,False,
New Jersey,16350,18219.0,13562.3,13959.4,,3732.0,-924.7,-527.6,,True,True,
New Mexico,1018,1110.1,807.9,971.9,,92.1,-210.1,-46.1,,False,True,
New York,33730,36782.1,31883.0,31961.1,,3781.1,-1118.0,-1039.9,,True,True,
North Carolina,4378,2780.1,5205.6,2193.2,,-1567.9,857.6,-2154.8,,True,False,
North Dakota,524,133.6,120.0,94.1,,-390.4,-404.0,-429.9,,False,False,
Ohio,5301,5358.9,3900.2,4037.5,,57.9,-1400.8,-1263.5,,False,False,
Oklahoma,1337,557.6,590.2,595.8,,-779.4,-746.8,-741.2,,True,True,
Oregon,689,414.3,406.7,1881.9,,-272.7,-280.3,1194.9,,False,False,
Pennsylvania,8800,10345.3,8483.8,8321.5,,1545.3,-316.2,-478.5,,True,True,
Rhode Island,1201,2044.3,1160.6,1146.5,,857.3,-26.4,-40.5,,True,True,
South Carolina,3935,1652.4,3240.5,1320.2,,-2282.6,-694.5,-2614.8,,True,False,
South Dakota,425,194.1,170.5,193.1,,-230.9,-254.5,-231.9,,False,False,
Tennessee,3353,1506.6,1201.5,1012.0,,-1846.4,-2151.5,-2341.0,,False,False,
Texas,18788,6094.4,7551.1,26662.5,13074.0,-12413.6,-10956.9,8154.5,-5434.0,True,True,True
Utah,604,516.3,2013.1,559.1,,-87.7,1409.1,-44.9,,False,True,
Vermont,58,74.9,83.1,69.9,,16.9,25.1,11.9,,False,True,
Virginia,3654,2836.7,2208.3,1821.0,,-817.3,-1445.7,-1833.0,,False,False,
Washington,2345,2269.4,2241.1,2724.2,,-97.6,-125.9,357.2,,False,False,
West Virginia,459,107.9,136.6,116.5,,-351.1,-322.4,-342.5,,True,True,
Wisconsin,2339,1724.6,1369.4,1156.1,,-578.4,-933.6,-1146.9,,False,False,
Wyoming,87,57.7,44.0,21.8,,-29.3,-43.0,-65.2,,False,False,
US,231420,199810.1,184209.2,221894.9,162067.0,-28666.9,-44267.8,-6582.1,-66410.0,False,True,False
