,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2967,2940.7,2925.0,2780.8,2997.0,,2554.2,3499.0,2927.0,2911.6,2995.2,2759.1,2758.4,,3091.8,2804.0,,2675.7,,2860.3,4248.1,2788.0,2825.0,2834.2,-26.3,-42.0,-186.2,30.0,,-412.8,532.0,-40.0,-55.4,28.2,-207.9,-208.6,,124.8,-163.0,,-291.3,,-106.7,1281.1,-179.0,-142.0,-132.8,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Alaska,82,50.9,84.0,69.5,70.0,,51.8,,66.6,65.5,101.1,59.6,131.1,,65.6,49.0,,49.5,,52.8,72.1,55.0,54.2,62.7,-31.1,2.0,-12.5,-12.0,,-30.2,,-15.4,-16.5,19.1,-22.4,49.1,,-16.4,-33.0,,-32.5,,-29.2,-9.9,-27.0,-27.8,-19.3,True,True,True,,True,,True,True,True,True,False,,True,False,,False,,True,True,True,True,True
Arizona,5979,6384.9,6932.0,6105.9,6186.0,,6231.5,6205.0,6110.4,5828.2,5878.2,6225.9,5958.8,,5894.0,5854.5,,5913.3,,6177.0,6239.8,6791.0,6104.9,5942.3,405.9,953.0,126.9,207.0,,252.5,226.0,131.4,-150.8,-100.8,246.9,-20.2,,-85.0,-124.5,,-65.7,,198.0,260.8,812.0,125.9,-36.7,False,True,True,,True,True,True,True,True,True,True,,True,True,,True,,True,True,False,True,True
Arkansas,1925,2352.4,7830.0,2233.0,1561.0,,1445.3,2136.0,2074.9,1631.0,1707.4,1451.1,1585.0,,1498.3,2295.0,,1369.4,,1928.5,1576.9,1597.0,1498.3,1522.8,427.4,5905.0,308.0,-364.0,,-479.7,211.0,149.9,-294.0,-217.6,-473.9,-340.0,,-426.7,370.0,,-555.6,,3.5,-348.1,-328.0,-426.7,-402.2,False,True,True,,False,True,True,True,True,False,True,,True,True,,False,,True,True,True,True,True
California,17659,18752.9,16685.0,16973.8,18388.0,,19322.4,18444.0,17167.6,16592.0,18729.0,17079.1,19332.2,,15506.4,18746.0,,16546.8,,18282.9,17553.7,17646.0,17352.0,17834.5,1093.9,-974.0,-685.2,729.0,,1663.4,785.0,-491.4,-1067.0,1070.0,-579.9,1673.2,,-2152.6,1087.0,,-1112.2,,623.9,-105.3,-13.0,-307.0,175.5,True,True,True,,False,True,True,True,True,True,False,,False,True,,False,,True,True,True,True,True
Colorado,2285,2166.3,2672.0,2170.4,2053.0,,2181.1,2184.0,2187.4,2442.3,2297.9,2144.7,2161.1,,2209.9,2148.0,,2137.7,,2114.2,3032.5,2272.0,2143.3,2189.1,-118.7,387.0,-114.6,-232.0,,-103.9,-101.0,-97.6,157.3,12.9,-140.3,-123.9,,-75.1,-137.0,,-147.3,,-170.8,747.5,-13.0,-141.7,-95.9,False,True,False,,True,True,True,False,True,False,False,,True,False,,False,,False,False,True,False,True
Connecticut,4616,4562.3,4781.0,4547.2,4494.0,,4577.8,4610.0,4560.6,4743.2,4643.2,4509.6,4616.5,,4562.3,4518.0,,4512.6,,4540.6,4997.4,4554.0,4653.7,4561.0,-53.7,165.0,-68.8,-122.0,,-38.2,-6.0,-55.4,127.2,27.2,-106.4,0.5,,-53.7,-98.0,,-103.4,,-75.4,381.4,-62.0,37.7,-55.0,False,False,False,,True,True,False,False,True,False,True,,True,False,,False,,False,False,False,True,False
Delaware,708,656.1,796.0,667.2,625.0,,657.1,665.0,662.6,691.5,656.6,634.6,645.1,,645.7,634.0,,642.2,,654.0,762.9,658.0,658.3,653.0,-51.9,88.0,-40.8,-83.0,,-50.9,-43.0,-45.4,-16.5,-51.4,-73.4,-62.9,,-62.3,-74.0,,-65.8,,-54.0,54.9,-50.0,-49.7,-55.0,False,True,False,,True,True,True,True,True,False,False,,False,False,,False,,False,False,True,True,False
District of Columbia,646,643.4,667.0,640.2,625.0,,661.9,637.0,639.4,689.0,636.6,634.2,638.6,,644.2,634.0,,629.0,,633.8,715.7,642.0,646.7,638.7,-2.6,21.0,-5.8,-21.0,,15.9,-9.0,-6.6,43.0,-9.4,-11.8,-7.4,,-1.8,-12.0,,-17.0,,-12.2,69.7,-4.0,0.7,-7.3,False,False,False,,False,False,False,False,False,False,False,,True,False,,False,,False,False,False,True,False
Florida,16761,17325.7,17751.0,16432.3,15788.0,,18254.1,17040.0,15823.0,14264.2,16796.1,15826.6,22425.4,,15903.0,15612.5,,14084.3,,16529.2,15213.8,16486.0,15416.9,15954.2,564.7,990.0,-328.7,-973.0,,1493.1,279.0,-938.0,-2496.8,35.1,-934.4,5664.4,,-858.0,-1148.5,,-2676.7,,-231.8,-1547.2,-275.0,-1344.1,-806.8,False,True,False,,False,True,False,False,True,False,False,,False,False,,False,,True,False,True,False,False
Georgia,7979,8177.6,7910.0,7603.0,8008.0,,7880.4,8181.0,8088.6,7575.7,7788.0,7577.5,8818.7,,7649.9,7706.0,,7127.0,,8182.3,7929.8,7822.0,7562.0,7788.0,198.6,-69.0,-376.0,29.0,,-98.6,202.0,109.6,-403.3,-191.0,-401.5,839.7,,-329.1,-273.0,,-852.0,,203.3,-49.2,-157.0,-417.0,-191.0,True,False,True,,True,False,True,False,True,False,False,,False,False,,False,,False,True,True,False,True
Hawaii,219,243.0,133.0,157.0,165.0,,153.9,,182.8,143.2,338.1,164.0,163.2,,141.4,191.0,,127.1,,209.2,152.9,168.0,168.5,229.9,24.0,-86.0,-62.0,-54.0,,-65.1,,-36.2,-75.8,119.1,-55.0,-55.8,,-77.6,-28.0,,-91.9,,-9.8,-66.1,-51.0,-50.5,10.9,False,False,False,,False,,False,False,False,False,False,,False,False,,False,,True,False,False,False,True
