,mean_rank
MSRA-DeepST,14.5
OliverWyman-Navigator,15.7
COVIDhub-ensemble,15.9
SteveMcConnell-CovidComplete,15.9
UMass-MechBayes,16.9
USC-SI_kJalpha,16.9
MOBS-GLEAM_COVID,17.1
LNQ-ens1,18.1
Karlen-pypm,18.4
UCSD_NEU-DeepGLEAM,18.7
UA-EpiCovDA,19.1
CEID-Walk,19.2
COVIDhub-baseline,19.2
Google_Harvard-CPF,19.4
JCB-PRM,19.8
CMU-TimeSeries,20.1
UCLA-SuEIR,20.5
DDS-NBDS,21.1
BPagano-RtDriven,21.1
JHU_CSSE-DECOM,21.2
UT-Mobility,21.4
GT-DeepCOVID,21.8
Columbia_UNC-SurvCon,22.0
LANL-GrowthRate,22.2
Geneva-DetGrowth,22.2
IQVIA_ACOE-STAN,22.5
epiforecasts-ensemble1,22.6
UMich-RidgeTfReg,23.2
CovidAnalytics-DELPHI,23.5
MIT_CritData-GBCF,23.8
CU-select,23.8
IowaStateLW-STEM,23.9
JHU_UNC_GAS-StatMechPool,24.2
NotreDame-mobility,25.5
Covid19Sim-Simulator,25.6
PSI-DRAFT,25.9
UCSB-ACTS,26.3
JHUAPL-Bucky,27.1
JHU_IDD-CovidSP,27.4
USACE-ERDC_SEIR,27.9
IHME-CurveFit,32.0
WalmartLabsML-LogForecasting,33.8
RobertWalraven-ESG,35.8
TTU-squider,36.8
