,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2967,3309.4,2658.3,3050.0,,2811.9,2894.6,342.4,-308.7,83.0,,-155.1,-72.4,True,True,,True,True
Alaska,82,49.7,119.5,,,47.8,62.1,-32.3,37.5,,,-34.2,-19.9,False,,,False,True
Arizona,5979,8371.1,4501.6,7281.0,,6510.2,6659.5,2392.1,-1477.4,1302.0,,531.2,680.5,True,True,,True,True
Arkansas,1925,1196.1,1186.5,1269.0,,820.0,1137.2,-728.9,-738.5,-656.0,,-1105.0,-787.8,False,True,,False,False
California,17659,20645.3,17741.6,19826.0,,17039.7,18695.6,2986.3,82.6,2167.0,,-619.3,1036.6,True,True,,True,True
Colorado,2285,2308.6,2243.7,2152.0,,2331.8,2335.4,23.6,-41.3,-133.0,,46.8,50.4,False,False,,False,False
Connecticut,4616,4583.3,4534.6,4532.0,,4579.3,4551.8,-32.7,-81.4,-84.0,,-36.7,-64.2,False,False,,False,False
Delaware,708,614.7,654.1,640.0,,633.0,680.1,-93.3,-53.9,-68.0,,-75.0,-27.9,True,True,,True,True
District of Columbia,646,662.1,657.8,632.0,,665.2,651.2,16.1,11.8,-14.0,,19.2,5.2,True,True,,False,True
Florida,16761,23197.1,12345.3,17250.0,,17726.2,16825.3,6436.1,-4415.7,489.0,,965.2,64.3,True,True,,True,True
Georgia,7979,10163.1,6781.8,6887.0,,7829.1,7676.3,2184.1,-1197.2,-1092.0,,-149.9,-302.7,True,True,,True,True
Hawaii,219,137.7,450.7,,,161.1,176.2,-81.3,231.7,,,-57.9,-42.8,False,,,True,True
Idaho,629,616.4,546.3,429.0,,406.0,609.1,-12.6,-82.7,-200.0,,-223.0,-19.9,False,False,,False,False
Illinois,10040,9149.3,9450.5,8633.0,,8816.5,9385.0,-890.7,-589.5,-1407.0,,-1223.5,-655.0,True,False,,False,True
Indiana,4332,4131.9,4100.9,3764.0,,3924.0,4181.0,-200.1,-231.1,-568.0,,-408.0,-151.0,False,False,,False,True
Iowa,1716,1452.7,1384.6,1445.0,,1170.6,1444.1,-263.3,-331.4,-271.0,,-545.4,-271.9,False,False,,False,False
Kansas,1029,688.3,721.1,618.0,,569.4,677.9,-340.7,-307.9,-411.0,,-459.6,-351.1,True,False,,False,False
Kentucky,1485,1211.7,,1028.0,,1174.6,1248.1,-273.3,,-457.0,,-310.4,-236.9,,False,,False,True
Louisiana,5919,7156.1,,6549.0,,5334.1,5782.6,1237.1,,630.0,,-584.9,-136.4,,True,,True,True
Maine,147,148.7,,140.0,,139.1,154.3,1.7,,-7.0,,-7.9,7.3,,False,,False,False
Maryland,4147,4225.3,,3896.0,,4025.2,4424.5,78.3,,-251.0,,-121.8,277.5,,False,,False,False
Massachusetts,9991,9956.3,,8962.0,,9511.0,9862.6,-34.7,,-1029.0,,-480.0,-128.4,,False,,False,False
Michigan,7699,7384.6,,7140.0,,7051.2,7310.6,-314.4,,-559.0,,-647.8,-388.4,,False,,False,False
Minnesota,2511,2338.3,,2140.0,,1834.1,2286.7,-172.7,,-371.0,,-676.9,-224.3,,False,,False,False
Mississippi,3334,4125.1,,3702.0,,3247.7,3195.3,791.1,,368.0,,-86.3,-138.7,,True,,True,True
Missouri,3026,1915.0,,1772.0,,2545.3,2051.0,-1111.0,,-1254.0,,-480.7,-975.0,,False,,True,True
Montana,375,158.0,,199.0,,101.5,218.1,-217.0,,-176.0,,-273.5,-156.9,,True,,False,True
