,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2967,3439.9,3113.2,,2799.0,2982.1,472.9,146.2,,-168.0,15.1,True,,True,True
Alaska,82,49.7,33.9,,43.9,69.9,-32.3,-48.1,,-38.1,-12.1,False,,False,True
Arizona,5979,8715.0,6289.2,,6015.8,6827.3,2736.0,310.2,,36.8,848.3,True,,True,True
Arkansas,1925,1492.6,1479.2,,1027.1,1187.1,-432.4,-445.8,,-897.9,-737.9,False,,False,False
California,17659,22008.9,22658.0,,16615.2,19192.4,4349.9,4999.0,,-1043.8,1533.4,False,,True,True
Colorado,2285,2024.0,3548.3,,1973.2,2363.1,-261.0,1263.3,,-311.8,78.1,False,,False,True
Connecticut,4616,4547.7,4698.9,,4540.5,4574.4,-68.3,82.9,,-75.5,-41.6,False,,False,True
Delaware,708,662.1,674.3,,665.8,671.5,-45.9,-33.7,,-42.2,-36.5,True,,True,True
District of Columbia,646,650.3,599.4,,654.5,651.0,4.3,-46.6,,8.5,5.0,False,,False,False
Florida,16761,21252.6,17029.5,,13457.9,16492.0,4491.6,268.5,,-3303.1,-269.0,True,,True,True
Georgia,7979,8455.7,10146.8,,6555.5,7039.4,476.7,2167.8,,-1423.5,-939.6,False,,False,False
Hawaii,219,90.3,28.3,,89.0,133.0,-128.7,-190.7,,-130.0,-86.0,False,,False,True
Idaho,629,711.3,713.1,,325.1,711.1,82.3,84.1,,-303.9,82.1,False,,False,True
Illinois,10040,9398.3,9065.5,,9377.5,9745.7,-641.7,-974.5,,-662.5,-294.3,False,,False,True
Indiana,4332,3823.6,3972.2,,3452.2,4197.9,-508.4,-359.8,,-879.8,-134.1,True,,False,True
Iowa,1716,1559.4,1509.1,,1216.1,1467.1,-156.6,-206.9,,-499.9,-248.9,False,,False,False
Kansas,1029,605.3,1476.1,,475.1,683.5,-423.7,447.1,,-553.9,-345.5,False,,False,True
Kentucky,1485,1140.6,1981.1,,986.8,1281.3,-344.4,496.1,,-498.2,-203.7,False,,False,True
Louisiana,5919,7298.4,7153.0,,5714.0,5757.0,1379.4,1234.0,,-205.0,-162.0,True,,True,True
Maine,147,148.7,147.5,,131.0,153.6,1.7,0.5,,-16.0,6.6,True,,False,False
Maryland,4147,4415.0,4471.0,,4058.1,4664.4,268.0,324.0,,-88.9,517.4,False,,True,False
Massachusetts,9991,9885.1,9607.8,,9246.9,9917.0,-105.9,-383.2,,-744.1,-74.0,False,,False,True
Michigan,7699,7254.1,7289.3,,6970.5,7324.5,-444.9,-409.7,,-728.5,-374.5,True,,False,True
Minnesota,2511,2219.7,2084.1,,2097.7,2293.6,-291.3,-426.9,,-413.3,-217.4,False,,False,True
Mississippi,3334,4184.4,3239.1,,2870.3,3240.1,850.4,-94.9,,-463.7,-93.9,True,,True,True
Missouri,3037,2021.7,4145.1,,2029.9,2204.4,-1015.3,1108.1,,-1007.1,-832.6,False,,True,True
Montana,375,241.0,185.6,,114.2,267.4,-134.0,-189.4,,-260.8,-107.6,False,,False,True
Nebraska,652,499.1,564.0,,426.7,522.1,-152.9,-88.0,,-225.3,-129.9,True,,False,True
Nevada,1777,2439.1,2734.6,,1634.8,1922.6,662.1,957.6,,-142.2,145.6,False,,True,True
New Hampshire,483,442.7,514.3,,480.6,522.5,-40.3,31.3,,-2.4,39.5,True,,True,True
New Jersey,16350,16324.6,16322.4,,16450.2,16285.8,-25.4,-27.6,,100.2,-64.2,False,,False,False
New Mexico,1018,1052.6,1177.5,,841.1,1077.0,34.6,159.5,,-176.9,59.0,False,,False,False
New York,33730,33532.9,33490.3,,33156.8,33258.0,-216.1,-258.7,,-592.2,-491.0,False,,False,False
North Carolina,4378,4670.1,5651.7,,3704.9,4058.3,292.1,1273.7,,-673.1,-319.7,False,,False,False
North Dakota,524,195.0,176.1,,226.8,206.6,-329.0,-347.9,,-297.2,-317.4,False,,True,True
Ohio,5301,5329.0,6654.5,,4255.8,5510.1,28.0,1353.5,,-1045.2,209.1,False,,False,False
Oklahoma,1337,1231.4,1818.8,,914.8,1244.2,-105.6,481.8,,-422.2,-92.8,False,,False,True
Oregon,689,711.7,1663.3,,443.0,825.4,22.7,974.3,,-246.0,136.4,False,,False,False
Pennsylvania,8800,8354.4,8260.9,,8034.2,8446.8,-445.6,-539.1,,-765.8,-353.2,False,,False,True
Rhode Island,1201,1097.0,1068.2,,1127.1,1120.6,-93.0,-121.8,,-62.9,-69.4,False,,True,True
South Carolina,3935,5042.7,3538.0,,3141.6,4132.4,1107.7,-397.0,,-793.4,197.4,True,,True,True
South Dakota,425,276.4,211.5,,242.4,236.4,-148.6,-213.5,,-182.6,-188.6,False,,False,False
Tennessee,3353,3001.6,2235.7,,2522.7,2538.0,-351.4,-1117.3,,-830.3,-815.0,False,,False,False
Texas,18558,27843.9,24427.6,17515.0,14215.6,19480.5,9445.9,6029.6,-883.0,-4182.4,1082.5,True,True,True,True
