,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,2967,2966.9,3394.4,2982.7,2978.0,2982.0,2885.0,2828.0,2846.7,2740.0,2789.0,2931.7,2825.0,2868.5,,2864.0,2875.3,2820.0,2876.0,2846.3,2813.8,2902.8,2917.0,2930.3,2977.9,,2969.5,2916.9,2876.0,,2771.9,2771.5,,2903.0,3442.7,2890.0,2925.1,,2942.1,2880.0,2951.6,3041.8,2927.0,2814.0,2852.5,2931.0,-0.1,427.4,15.7,11.0,15.0,-82.0,-139.0,-120.3,-227.0,-178.0,-35.3,-142.0,-98.5,,-103.0,-91.7,-147.0,-91.0,-120.7,-153.2,-64.2,-50.0,-36.7,10.9,,2.5,-50.1,-91.0,,-195.1,-195.5,,-64.0,475.7,-77.0,-41.9,,-24.9,-87.0,-15.4,74.8,-40.0,-153.0,-114.5,-36.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Alaska,82,65.7,61.8,67.4,70.0,66.0,75.0,85.0,92.6,89.5,77.0,76.9,69.6,75.0,,,64.2,95.3,82.4,90.2,76.0,68.7,122.0,78.5,83.3,,80.0,67.3,73.0,,,64.6,,74.0,73.2,94.0,67.7,,74.8,83.0,69.8,81.4,77.0,67.0,66.4,,-16.3,-20.2,-14.6,-12.0,-16.0,-7.0,3.0,10.6,7.5,-5.0,-5.1,-12.4,-7.0,,,-17.8,13.3,0.4,8.2,-6.0,-13.3,40.0,-3.5,1.3,,-2.0,-14.7,-9.0,,,-17.4,,-8.0,-8.8,12.0,-14.3,,-7.2,1.0,-12.2,-0.6,-5.0,-15.0,-15.6,,False,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,True,True,False,True,True,,True,True,True,,,False,,True,True,True,True,,True,True,True,True,True,True,True,
Arizona,5979,5910.4,5817.7,5897.1,5923.0,5924.9,6017.0,6074.0,6047.3,6083.0,6017.0,6201.3,6062.2,6109.8,,6049.0,6051.8,5988.4,5921.5,6131.7,6002.2,5921.8,5970.0,5829.4,6113.6,,5943.3,5923.3,5896.0,,6103.4,5819.9,,5992.0,6514.8,5936.0,6132.3,,5831.5,6024.0,6187.7,6060.0,5946.0,5869.0,6065.7,5838.0,-68.6,-161.3,-81.9,-56.0,-54.1,38.0,95.0,68.3,104.0,38.0,222.3,83.2,130.8,,70.0,72.8,9.4,-57.5,152.7,23.2,-57.2,-9.0,-149.6,134.6,,-35.7,-55.7,-83.0,,124.4,-159.1,,13.0,535.8,-43.0,153.3,,-147.5,45.0,208.7,81.0,-33.0,-110.0,86.7,-141.0,False,False,True,True,True,False,True,False,True,False,False,False,,False,False,True,True,False,True,True,True,False,False,,True,True,False,,False,False,,True,False,True,False,,False,True,False,False,True,False,False,False
Arkansas,1925,1980.4,2113.6,1997.7,1934.0,1987.0,1926.0,1820.0,1747.3,1806.9,1910.0,2054.3,1931.8,2084.1,,1913.0,2025.4,1892.5,1787.0,2025.4,1875.8,1894.7,1819.0,2017.7,2035.1,,1628.8,2019.9,1844.0,,1974.7,1770.8,,1948.0,1624.6,1964.0,1902.4,,2029.6,1959.0,1921.9,1764.2,1950.0,1925.5,1767.3,1805.0,55.4,188.6,72.7,9.0,62.0,1.0,-105.0,-177.7,-118.1,-15.0,129.3,6.8,159.1,,-12.0,100.4,-32.5,-138.0,100.4,-49.2,-30.3,-106.0,92.7,110.1,,-296.2,94.9,-81.0,,49.7,-154.2,,23.0,-300.4,39.0,-22.6,,104.6,34.0,-3.1,-160.8,25.0,0.5,-157.7,-120.0,False,False,True,False,True,False,False,False,True,False,True,False,,True,False,True,False,False,True,True,False,False,False,,False,False,False,,True,False,,True,False,True,True,,False,True,True,False,True,True,False,False
California,17659,17813.3,17805.6,17893.8,17780.0,17923.0,17870.0,17767.0,18280.8,17685.5,17664.0,18205.3,17922.8,17862.2,,17785.0,18010.5,17903.2,17984.0,18015.1,17535.2,17753.4,17690.0,18202.5,17946.4,,17400.0,17845.5,17545.0,,18132.7,17373.7,,17945.0,16781.4,18188.0,17844.6,18485.0,18202.3,17766.0,18029.1,17870.6,18048.0,17456.0,17727.9,17409.0,154.3,146.6,234.8,121.0,264.0,211.0,108.0,621.8,26.5,5.0,546.3,263.8,203.2,,126.0,351.5,244.2,325.0,356.1,-123.8,94.4,31.0,543.5,287.4,,-259.0,186.5,-114.0,,473.7,-285.3,,286.0,-877.6,529.0,185.6,826.0,543.3,107.0,370.1,211.6,389.0,-203.0,68.9,-250.0,True,False,True,False,False,True,False,True,True,False,False,False,,True,False,False,False,False,True,True,True,False,False,,False,False,True,,False,False,,False,False,False,False,False,False,True,False,False,False,False,True,False
Colorado,2285,2241.6,2409.5,2261.3,2281.0,2268.7,2228.0,2311.0,2183.2,2194.2,2303.0,2207.1,2237.4,2212.9,,2190.0,2235.5,2303.2,2248.5,2267.2,2209.9,2260.6,2292.0,2197.6,2227.2,,2240.8,2310.5,2185.0,,2176.0,2199.4,,2225.0,2572.8,2231.0,2223.5,,2211.4,2262.0,2219.2,2573.7,2257.0,2264.5,2168.0,2236.0,-43.4,124.5,-23.7,-4.0,-16.3,-57.0,26.0,-101.8,-90.8,18.0,-77.9,-47.6,-72.1,,-95.0,-49.5,18.2,-36.5,-17.8,-75.1,-24.4,7.0,-87.4,-57.8,,-44.2,25.5,-100.0,,-109.0,-85.6,,-60.0,287.8,-54.0,-61.5,,-73.6,-23.0,-65.8,288.7,-28.0,-20.5,-117.0,-49.0,False,True,True,True,False,True,False,False,True,False,False,False,,False,False,True,True,True,False,True,True,False,False,,False,True,False,,False,False,,False,False,False,False,,False,True,False,False,True,True,False,False
Connecticut,4616,4578.6,4637.3,4580.0,4588.0,4593.1,4579.0,4589.0,4591.6,4564.1,4598.0,4561.0,4579.3,4604.5,,4578.0,4575.6,4655.7,4590.8,4601.6,4544.6,4575.4,4580.0,4555.8,4588.0,,4569.3,4597.4,4578.0,,4560.7,4548.8,,4587.0,5165.1,4556.0,4567.7,,4567.1,4606.0,4574.1,4912.7,4588.0,4577.0,4537.9,4577.0,-37.4,21.3,-36.0,-28.0,-22.9,-37.0,-27.0,-24.4,-51.9,-18.0,-55.0,-36.7,-11.5,,-38.0,-40.4,39.7,-25.2,-14.4,-71.4,-40.6,-36.0,-60.2,-28.0,,-46.7,-18.6,-38.0,,-55.3,-67.2,,-29.0,549.1,-60.0,-48.3,,-48.9,-10.0,-41.9,296.7,-28.0,-39.0,-78.1,-39.0,True,True,True,True,True,True,True,False,True,False,True,True,,False,False,False,True,True,False,False,True,False,True,,False,True,False,,False,False,,True,False,False,False,,False,True,False,False,True,False,False,False
Delaware,735,679.7,688.9,677.7,678.0,678.7,686.0,674.0,690.3,687.8,682.0,682.6,698.0,691.3,,682.0,683.4,687.9,673.3,696.1,668.1,676.2,682.0,678.2,686.9,,685.2,684.6,665.0,,,658.8,,688.0,770.2,691.0,672.0,,689.6,681.0,710.4,757.1,684.0,688.0,670.5,686.0,-34.3,-25.1,-36.3,-36.0,-35.3,-28.0,-40.0,-23.7,-26.2,-32.0,-31.4,-16.0,-22.7,,-32.0,-30.6,-26.1,-40.7,-17.9,-45.9,-37.8,-32.0,-35.8,-27.1,,-28.8,-29.4,-49.0,,,-55.2,,-26.0,56.2,-23.0,-42.0,,-24.4,-33.0,-3.6,43.1,-30.0,-26.0,-43.5,-28.0,True,False,False,False,True,False,True,True,True,True,True,True,,True,True,True,False,True,False,False,True,False,True,,True,True,False,,,False,,True,False,True,False,,True,True,True,False,True,True,False,True
District of Columbia,646,654.1,658.5,656.7,654.0,657.4,656.0,659.0,652.2,645.2,643.0,652.3,650.5,653.1,,642.0,647.7,662.3,647.5,652.1,655.3,646.0,649.0,,,,645.6,664.7,657.0,,,648.0,,654.0,675.3,671.0,642.9,,,657.0,,686.5,656.0,656.0,643.4,658.0,8.1,12.5,10.7,8.0,11.4,10.0,13.0,6.2,-0.8,-3.0,6.3,4.5,7.1,,-4.0,1.7,16.3,1.5,6.1,9.3,0.0,3.0,,,,-0.4,18.7,11.0,,,2.0,,8.0,29.3,25.0,-3.1,,,11.0,,40.5,10.0,10.0,-2.6,12.0,False,False,True,False,False,False,True,True,True,True,True,True,,True,True,False,True,True,False,True,True,,,,True,False,False,,,True,,True,False,False,True,,,False,,False,False,False,True,False
Florida,16761,17344.0,16894.3,16821.1,16562.0,16860.5,16808.0,16168.0,16768.6,16559.7,16500.0,17783.8,16467.2,16621.4,,16904.0,17139.7,16762.1,16609.2,16779.5,17429.9,17087.4,16393.0,16826.3,16709.0,,16578.6,16846.0,16181.5,,17181.6,15876.9,,16874.0,19525.0,17913.0,16647.5,,16854.3,16964.0,16610.2,16033.1,16786.0,17794.5,16591.2,17869.0,583.0,133.3,60.1,-199.0,99.5,47.0,-593.0,7.6,-201.3,-261.0,1022.8,-293.8,-139.6,,143.0,378.7,1.1,-151.8,18.5,668.9,326.4,-368.0,65.3,-52.0,,-182.4,85.0,-579.5,,420.6,-884.1,,113.0,2764.0,1152.0,-113.5,,93.3,203.0,-150.8,-727.9,25.0,1033.5,-169.8,1108.0,True,True,True,True,True,False,True,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,,True,True,True,,True,False,,True,False,False,True,,True,True,True,False,True,False,True,False
