,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,2967,2347.6,2574.4,2178.1,1944.0,,-619.4,-392.6,-788.9,-1023.0,,True,False,False,
Alaska,82,49.7,40.0,19.3,,,-32.3,-42.0,-62.7,,,False,False,,
Arizona,5979,5969.0,13343.8,4596.4,2952.0,,-10.0,7364.8,-1382.6,-3027.0,,False,False,False,
Arkansas,1925,960.4,1512.7,854.9,1036.0,,-964.6,-412.3,-1070.1,-889.0,,True,False,True,
California,17659,13378.4,20502.2,10665.9,7173.0,,-4280.6,2843.2,-6993.1,-10486.0,,True,False,False,
Colorado,2285,2193.9,2043.7,2301.0,1849.0,,-91.1,-241.3,16.0,-436.0,,False,True,False,
Connecticut,4616,5316.0,4507.1,4639.2,4419.0,,700.0,-108.9,23.2,-197.0,,True,True,True,
Delaware,708,1792.7,558.7,580.5,635.0,,1084.7,-149.3,-127.5,-73.0,,True,True,True,
District of Columbia,646,853.6,592.4,631.5,696.0,,207.6,-53.6,-14.5,50.0,,True,True,True,
Florida,16761,8026.1,60270.5,21145.8,7944.0,,-8734.9,43509.5,4384.8,-8817.0,,False,True,False,
Georgia,7979,5188.7,7163.4,5878.0,4726.0,,-2790.3,-815.6,-2101.0,-3253.0,,True,True,False,
Hawaii,219,35.9,151.9,179.8,,,-183.1,-67.1,-39.2,,,True,True,,
Idaho,629,126.7,1136.4,122.0,183.0,,-502.3,507.4,-507.0,-446.0,,False,False,True,
Illinois,9994,11191.6,7453.6,8879.8,8913.0,,1197.6,-2540.4,-1114.2,-1081.0,,False,True,True,
Indiana,4332,4029.7,3122.5,3049.3,3008.0,,-302.3,-1209.5,-1282.7,-1324.0,,False,False,False,
Iowa,1716,1063.1,1294.3,838.2,956.0,,-652.9,-421.7,-877.8,-760.0,,True,False,False,
Kansas,1025,483.3,565.6,478.1,296.0,,-541.7,-459.4,-546.9,-729.0,,True,False,False,
Kentucky,1485,1129.4,874.7,834.0,865.0,,-355.6,-610.3,-651.0,-620.0,,False,False,False,
Louisiana,5919,4877.6,5152.2,4369.1,3991.0,,-1041.4,-766.8,-1549.9,-1928.0,,True,False,False,
Maine,147,139.7,127.5,122.1,151.0,,-7.3,-19.5,-24.9,4.0,,False,False,True,
Maryland,4147,4989.4,3614.1,3576.3,3488.0,,842.4,-532.9,-570.7,-659.0,,True,True,True,
Massachusetts,9991,11666.1,8320.2,11560.3,8316.0,,1676.1,-1669.8,1570.3,-1674.0,,True,True,True,
Michigan,7699,7353.4,6890.6,6457.4,7124.0,,-345.6,-808.4,-1241.6,-575.0,,False,False,False,
Minnesota,2511,2317.1,2022.6,1856.0,1620.0,,-193.9,-488.4,-655.0,-891.0,,False,False,False,
Mississippi,3334,2842.6,2880.9,2139.0,2531.0,,-491.4,-453.1,-1195.0,-803.0,,True,False,False,
Missouri,3037,1700.4,2572.9,1776.0,1586.0,,-1326.6,-454.1,-1251.0,-1441.0,,True,True,False,
Montana,375,57.7,307.8,61.4,64.0,,-317.3,-67.2,-313.6,-311.0,,True,True,True,
Nebraska,652,677.7,394.4,554.5,416.0,,25.7,-257.6,-97.5,-236.0,,False,False,False,
Nevada,1773,732.1,11811.4,1150.2,567.0,,-1040.9,10038.4,-622.8,-1206.0,,False,True,False,
New Hampshire,483,867.0,470.3,979.3,390.0,,384.0,-12.7,496.3,-93.0,,True,False,True,
New Jersey,16350,51332.1,13524.0,16098.4,16313.0,,34982.1,-2826.0,-251.6,-37.0,,True,True,True,
New Mexico,1018,902.7,886.0,858.7,888.0,,-115.3,-132.0,-159.3,-130.0,,False,False,False,
New York,33511,36254.1,32208.9,33494.3,32046.0,,3424.1,-621.1,664.3,-784.0,,True,True,True,
North Carolina,4378,3655.6,4032.4,2428.7,3791.0,,-722.4,-345.6,-1949.3,-587.0,,True,False,True,
North Dakota,524,114.7,111.4,90.8,152.0,,-409.3,-412.6,-433.2,-372.0,,False,False,True,
Ohio,5301,4717.7,4250.0,4354.7,3500.0,,-583.3,-1051.0,-946.3,-1801.0,,False,False,False,
Oklahoma,1337,670.7,3516.8,519.1,747.0,,-666.3,2179.8,-817.9,-590.0,,False,False,True,
Oregon,689,416.3,1524.9,714.7,641.0,,-272.7,835.9,25.7,-48.0,,False,True,True,
Pennsylvania,8800,9873.9,7915.6,8504.7,8030.0,,1073.9,-884.4,-295.3,-770.0,,True,True,True,
Rhode Island,1201,1516.3,1073.6,1405.8,1269.0,,315.3,-127.4,204.8,68.0,,True,True,True,
South Carolina,3935,1841.0,5714.6,1526.7,1305.0,,-2094.0,1779.6,-2408.3,-2630.0,,True,False,False,
South Dakota,425,269.6,256.4,262.1,144.0,,-155.4,-168.6,-162.9,-281.0,,False,False,False,
Tennessee,3353,1619.7,3411.2,1836.2,2812.0,,-1733.3,58.2,-1516.8,-541.0,,True,True,True,
Texas,18465,6169.9,28040.3,14705.7,6516.0,9048.0,-12069.1,9801.3,-3533.3,-11723.0,-9191.0,True,True,True,True
Utah,604,327.7,1545.1,524.9,299.0,,-276.3,941.1,-79.1,-305.0,,False,True,False,
Vermont,58,56.0,72.1,93.0,57.0,,-2.0,14.1,35.0,-1.0,,False,False,True,
Virginia,3654,3892.7,2156.0,2335.8,2320.0,,238.7,-1498.0,-1318.2,-1334.0,,False,False,False,
Washington,2366,2024.3,2694.5,2662.8,1393.0,,-341.7,328.5,296.8,-973.0,,True,True,False,
West Virginia,459,164.4,181.5,148.1,100.0,,-294.6,-277.5,-310.9,-359.0,,True,False,False,
Wisconsin,2031,1366.3,1904.9,1369.0,1202.0,,-664.7,-126.1,-662.0,-829.0,,True,True,False,
Wyoming,87,20.0,223.4,25.0,24.0,,-67.0,136.4,-62.0,-63.0,,False,True,True,
US,230548,229803.0,287959.9,196432.6,145227.0,156349.0,173.0,58329.9,-33197.4,-84403.0,-73281.0,False,False,False,False
