,mean_rank
MIT_CritData-GBCF,14.7
UMass-MechBayes,15.0
SteveMcConnell-CovidComplete,15.2
Karlen-pypm,15.3
OliverWyman-Navigator,15.3
MSRA-DeepST,15.4
Google_Harvard-CPF,16.5
COVIDhub-ensemble,16.7
DDS-NBDS,16.7
USC-SI_kJalpha,16.8
JCB-PRM,16.8
JHUAPL-Bucky,17.0
CU-select,17.1
UCSD_NEU-DeepGLEAM,17.9
JHU_CSSE-DECOM,18.4
Columbia_UNC-SurvCon,18.9
LNQ-ens1,19.0
CMU-TimeSeries,19.0
GT-DeepCOVID,19.7
MOBS-GLEAM_COVID,19.9
COVIDhub-baseline,20.3
CEID-Walk,20.5
UA-EpiCovDA,20.5
RobertWalraven-ESG,21.0
MITCovAlliance-SIR,21.1
epiforecasts-ensemble1,21.3
UT-Mobility,21.4
BPagano-RtDriven,21.8
IHME-CurveFit,21.9
IowaStateLW-STEM,22.2
NotreDame-mobility,22.3
JHU_IDD-CovidSP,22.4
UMich-RidgeTfReg,23.2
LANL-GrowthRate,23.3
UCLA-SuEIR,25.5
PSI-DRAFT,26.5
CovidAnalytics-DELPHI,27.6
Covid19Sim-Simulator,29.5
WalmartLabsML-LogForecasting,32.1
TTU-squider,34.3
