,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,2967,2381.4,2880.2,4493.3,,-585.6,-86.8,1526.3,,True,False,
Alaska,82,51.7,21.9,91.9,,-30.3,-60.1,9.9,,False,True,
Arizona,5979,3971.0,8416.2,10220.1,,-2008.0,2437.2,4241.1,,False,False,
Arkansas,1925,675.4,927.0,1925.4,,-1249.6,-998.0,0.4,,True,True,
California,17659,14372.3,16478.4,29218.4,,-3286.7,-1180.6,11559.4,,True,False,
Colorado,2285,3007.9,2157.8,7513.2,,722.9,-127.2,5228.2,,True,False,
Connecticut,4616,6782.4,4884.6,4461.7,,2166.4,268.6,-154.3,,True,True,
Delaware,708,898.6,546.4,609.0,,190.6,-161.6,-99.0,,True,True,
District of Columbia,646,1031.3,705.7,848.1,,385.3,59.7,202.1,,True,True,
Florida,16761,7518.0,7713.9,35549.0,,-9243.0,-9047.1,18788.0,,True,False,
Georgia,7979,7832.3,4023.6,14449.8,,-146.7,-3955.4,6470.8,,False,False,
Hawaii,219,17.0,19.3,39.9,,-202.0,-199.7,-179.1,,True,True,
Idaho,629,166.4,238.2,111.5,,-462.6,-390.8,-517.5,,True,False,
Illinois,10040,14330.3,8014.7,8790.6,,4290.3,-2025.3,-1249.4,,True,True,
Indiana,4332,4785.0,3336.6,3700.3,,453.0,-995.4,-631.7,,False,False,
Iowa,1716,1585.3,1391.9,1318.3,,-130.7,-324.1,-397.7,,False,False,
Kansas,1029,483.3,334.0,463.0,,-545.7,-695.0,-566.0,,False,False,
Kentucky,1485,1074.9,876.6,863.9,,-410.1,-608.4,-621.1,,False,False,
Louisiana,5919,4562.9,4134.0,4430.4,,-1356.1,-1785.0,-1488.6,,False,False,
Maine,147,119.9,179.5,214.7,,-27.1,32.5,67.7,,False,False,
Maryland,4147,6711.9,4971.9,6306.4,,2564.9,824.9,2159.4,,True,True,
Massachusetts,9991,13740.0,8904.6,9020.4,,3749.0,-1086.4,-970.6,,True,True,
Michigan,7699,7783.3,6603.3,9418.9,,84.3,-1095.7,1719.9,,False,False,
Minnesota,2511,3950.1,2206.7,4113.0,,1439.1,-304.3,1602.0,,True,False,
Mississippi,3334,2360.4,2505.4,1367.0,,-973.6,-828.6,-1967.0,,True,False,
Missouri,3026,1580.0,1492.5,1883.5,,-1442.0,-1529.5,-1138.5,,False,True,
Montana,375,38.9,20.8,35.0,,-336.1,-354.2,-340.0,,False,False,
Nebraska,652,771.0,504.7,751.8,,119.0,-147.3,99.8,,False,True,
Nevada,1777,959.4,771.1,1116.4,,-817.6,-1005.9,-660.6,,False,True,
New Hampshire,483,995.1,680.4,955.1,,512.1,197.4,472.1,,True,True,
New Jersey,16350,22250.0,13522.8,14552.1,,7756.0,-971.2,58.1,,True,True,
New Mexico,1018,1209.4,1023.5,1080.8,,191.4,5.5,62.8,,True,True,
New York,33730,39780.6,31905.8,34835.4,,6820.6,-1054.2,1875.4,,True,True,
North Carolina,4378,3117.7,5336.3,3594.4,,-1260.3,958.3,-783.6,,True,True,
North Dakota,524,113.7,123.3,133.2,,-410.3,-400.7,-390.8,,True,True,
Ohio,5301,6133.3,4123.1,3866.5,,832.3,-1177.9,-1434.5,,False,False,
Oklahoma,1337,577.4,466.9,619.7,,-759.6,-870.1,-717.3,,False,True,
Oregon,689,371.6,289.5,1795.8,,-314.4,-396.5,1109.8,,False,False,
Pennsylvania,8800,11616.1,9298.3,9920.7,,2816.1,498.3,1120.7,,True,True,
Rhode Island,1201,2044.3,1202.6,1199.7,,893.3,51.6,48.7,,True,True,
South Carolina,3935,1672.3,2651.4,3609.5,,-2262.7,-1283.6,-325.5,,True,True,
South Dakota,425,273.6,164.2,189.1,,-151.4,-260.8,-235.9,,False,False,
Tennessee,3353,1586.0,1034.9,2595.8,,-1767.0,-2318.1,-757.2,,False,True,
Texas,18788,4823.6,6093.0,8077.1,13031.0,-13711.4,-12442.0,-10457.9,-5504.0,True,True,True
Utah,604,496.4,1780.5,942.4,,-107.6,1176.5,338.4,,False,False,
Vermont,58,55.0,96.9,67.1,,-3.0,38.9,9.1,,False,False,
Virginia,3654,3015.4,2496.8,2421.7,,-638.6,-1157.2,-1232.3,,False,False,
Washington,2345,2408.4,2168.1,2643.0,,55.4,-184.9,290.0,,False,False,
West Virginia,459,167.4,133.6,160.6,,-291.6,-325.4,-298.4,,False,False,
Wisconsin,2339,1585.6,1535.3,1570.9,,-705.4,-755.7,-720.1,,False,False,
Wyoming,87,37.9,31.3,30.3,,-49.1,-55.7,-56.7,,False,False,
US,231420,218135.3,181841.8,258185.9,195347.0,-10308.7,-46602.2,29741.9,-33097.0,False,False,False
