,mean_rank
SteveMcConnell-CovidComplete,12.6
Karlen-pypm,13.3
UMass-MechBayes,14.0
COVIDhub-ensemble,14.1
JHUAPL-Bucky,15.0
MSRA-DeepST,15.0
USC-SI_kJalpha,15.3
CMU-TimeSeries,15.4
GT-DeepCOVID,16.2
OliverWyman-Navigator,16.2
Google_Harvard-CPF,16.3
JCB-PRM,16.3
UA-EpiCovDA,16.8
MIT_CritData-GBCF,17.0
CEID-Walk,17.0
COVIDhub-baseline,17.1
LNQ-ens1,18.1
Columbia_UNC-SurvCon,18.2
CU-select,18.4
UCSD_NEU-DeepGLEAM,18.4
MOBS-GLEAM_COVID,18.8
CovidAnalytics-DELPHI,19.7
JHU_IDD-CovidSP,20.0
epiforecasts-ensemble1,20.2
UMich-RidgeTfReg,20.4
IowaStateLW-STEM,20.5
Covid19Sim-Simulator,21.3
DDS-NBDS,21.8
UT-Mobility,21.9
LANL-GrowthRate,22.0
NotreDame-mobility,22.1
UCLA-SuEIR,24.0
BPagano-RtDriven,24.1
PSI-DRAFT,24.8
USACE-ERDC_SEIR,24.9
WalmartLabsML-LogForecasting,30.1
RobertWalraven-ESG,31.8
TTU-squider,32.1
