,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2967,3607.0,4769.3,3854.1,2888.0,,3099.1,3107.5,640.0,1802.3,887.1,-79.0,,132.1,140.5,False,False,True,,True,True
Alaska,82,75.4,184.0,21.9,,,80.5,108.4,-6.6,102.0,-60.1,,,-1.5,26.4,False,False,,,True,False
Arizona,5979,9679.3,5682.4,7928.4,8320.0,,5815.8,7068.0,3700.3,-296.6,1949.4,2341.0,,-163.2,1089.0,True,True,True,,True,True
Arkansas,1925,1274.0,1333.6,928.2,1218.0,,923.6,1052.4,-651.0,-591.4,-996.8,-707.0,,-1001.4,-872.6,True,False,False,,False,False
California,17659,21584.6,19362.9,16426.7,17837.0,,18211.4,18612.5,3925.6,1703.9,-1232.3,178.0,,552.4,953.5,True,True,True,,True,True
Colorado,2285,2486.9,2676.4,2645.8,2150.0,,2236.3,2631.5,201.9,391.4,360.8,-135.0,,-48.7,346.5,False,False,True,,True,False
Connecticut,4616,4676.3,4599.0,4840.3,4522.0,,4614.1,4653.0,60.3,-17.0,224.3,-94.0,,-1.9,37.0,True,False,False,,True,True
Delaware,708,662.1,691.1,711.2,636.0,,651.9,673.1,-45.9,-16.9,3.2,-72.0,,-56.1,-34.9,True,True,False,,False,True
District of Columbia,646,622.6,684.2,645.5,612.0,,643.2,648.1,-21.4,40.2,1.5,-32.0,,-0.8,4.1,False,True,False,,True,True
Florida,16761,22898.3,18357.3,16279.3,17032.0,,17324.3,16245.1,6137.3,1596.3,-481.7,271.0,,563.3,-515.9,True,True,True,,True,True
Georgia,7979,8237.1,7611.5,10229.0,5755.0,,6097.0,6736.2,258.1,-367.5,2250.0,-2224.0,,-1882.0,-1242.8,False,False,False,,False,False
Hawaii,219,26.0,150.1,34.3,,,37.7,64.4,-193.0,-68.9,-184.7,,,-181.3,-154.6,True,True,,,True,True
Idaho,629,852.7,912.6,364.8,415.0,,599.0,842.0,223.7,283.6,-264.2,-214.0,,-30.0,213.0,False,False,True,,True,True
Illinois,10040,9308.3,10029.1,8274.9,8550.0,,9136.0,9726.3,-731.7,-10.9,-1765.1,-1490.0,,-904.0,-313.7,True,False,False,,False,True
Indiana,4332,3900.7,4092.5,3947.5,3306.0,,3597.4,4279.5,-431.3,-239.5,-384.5,-1026.0,,-734.6,-52.5,True,True,False,,False,True
Iowa,1716,1508.0,1499.3,1685.7,999.0,,1213.0,1442.3,-208.0,-216.7,-30.3,-717.0,,-503.0,-273.7,False,True,False,,False,False
Kansas,1029,746.7,990.3,584.7,662.0,,584.9,761.2,-282.3,-38.7,-444.3,-367.0,,-444.1,-267.8,True,False,False,,False,True
Kentucky,1485,1282.0,1731.2,1101.3,1035.0,,1219.6,1451.1,-203.0,246.2,-383.7,-450.0,,-265.4,-33.9,False,False,False,,False,True
Louisiana,5919,7144.1,6088.1,6369.5,6079.0,,5549.0,5635.1,1225.1,169.1,450.5,160.0,,-370.0,-283.9,True,True,True,,True,True
Maine,147,174.4,142.4,143.2,198.0,,159.4,199.3,27.4,-4.6,-3.8,51.0,,12.4,52.3,True,True,False,,True,False
