,mean_rank
YYG-ParamSearch,12.0
OliverWyman-Navigator,12.2
UMass-MechBayes,13.1
USC-SI_kJalpha,13.5
Karlen-pypm,14.9
COVIDhub-baseline,15.5
JHU_CSSE-DECOM,15.6
CMU-TimeSeries,15.8
COVIDhub-ensemble,15.8
CEID-Walk,16.1
SteveMcConnell-CovidComplete,16.8
MIT_CritData-GBCF,16.9
JCB-PRM,17.2
JHUAPL-Bucky,17.6
LNQ-ens1,17.8
UA-EpiCovDA,17.8
UCSD_NEU-DeepGLEAM,18.2
GT-DeepCOVID,18.2
JHU_IDD-CovidSP,18.2
CU-select,18.5
Covid19Sim-Simulator,18.7
MOBS-GLEAM_COVID,19.5
UMich-RidgeTfReg,19.7
UT-Mobility,20.3
Columbia_UNC-SurvCon,20.5
NotreDame-mobility,20.5
IowaStateLW-STEM,20.7
BPagano-RtDriven,22.0
Google_Harvard-CPF,22.2
UCLA-SuEIR,22.8
DDS-NBDS,22.9
CovidAnalytics-DELPHI,23.1
PSI-DRAFT,24.4
LANL-GrowthRate,24.5
epiforecasts-ensemble1,27.7
TTU-squider,29.0
WalmartLabsML-LogForecasting,30.1
RobertWalraven-ESG,30.6
