,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR
Alabama,1603,1519.4,1202.2,738.0,1253.1,921.2,-83.6,-400.8,-865.0,-349.9,-681.8,False,False,False,False
Alaska,24,10.0,3.0,,14.5,11.8,-14.0,-21.0,,-9.5,-12.2,False,,True,True
Arizona,3747,2243.4,5972.3,1318.0,4457.1,1831.9,-1503.6,2225.3,-2429.0,710.1,-1915.1,False,False,True,False
Arkansas,458,174.0,115.2,306.0,150.5,230.9,-284.0,-342.8,-152.0,-307.5,-227.1,False,True,False,True
California,9345,8929.1,6809.2,4907.0,6143.1,7635.9,-415.9,-2535.8,-4438.0,-3201.9,-1709.1,False,False,False,False
Colorado,1844,3864.1,2277.6,1439.0,1693.8,1897.7,2020.1,433.6,-405.0,-150.2,53.7,True,True,True,True
Connecticut,4432,8196.0,4858.4,3971.0,4910.6,3902.4,3764.0,426.4,-461.0,478.6,-529.6,True,True,True,True
Delaware,585,1039.1,540.2,432.0,621.4,401.2,454.1,-44.8,-153.0,36.4,-183.8,True,True,True,True
District of Columbia,585,1034.4,577.4,556.0,598.2,533.7,449.4,-7.6,-29.0,13.2,-51.3,True,True,True,True
Florida,7022,4709.0,4689.3,2686.5,3018.8,2629.8,-2313.0,-2332.7,-4335.5,-4003.2,-4392.2,False,False,False,False
Georgia,3825,3824.9,2378.9,1896.0,2263.1,2034.9,-0.1,-1446.1,-1929.0,-1561.9,-1790.1,False,False,False,False
Hawaii,26,17.0,19.0,,24.3,19.4,-9.0,-7.0,,-1.7,-6.6,True,,True,True
Idaho,197,138.1,81.0,77.0,123.1,87.8,-58.9,-116.0,-120.0,-73.9,-109.2,False,False,False,False
Illinois,7700,12547.9,8772.0,7417.0,8812.4,6146.0,4847.9,1072.0,-283.0,1112.4,-1554.0,True,True,True,True
Indiana,2971,4389.3,2395.4,2432.5,2567.3,2942.7,1418.3,-575.6,-538.5,-403.7,-28.3,True,True,True,True
Iowa,874,1284.7,1039.4,594.0,983.1,420.2,410.7,165.4,-280.0,109.1,-453.8,True,True,True,False
Kansas,358,423.0,326.3,284.0,297.4,465.6,65.0,-31.7,-74.0,-60.6,107.6,True,False,True,False
