,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,1603,1078.1,309.1,333.0,-524.9,-1293.9,-1270.0,False,False
Alaska,24,9.0,,,-15.0,,,,
Arizona,3747,1536.0,767.1,591.0,-2211.0,-2979.9,-3156.0,False,False
Arkansas,458,217.3,164.1,185.0,-240.7,-293.9,-273.0,False,False
California,9345,9318.7,2035.4,3448.0,-26.3,-7309.6,-5897.0,False,False
Colorado,1844,4401.7,1052.3,1538.0,2557.7,-791.7,-306.0,True,True
Connecticut,4432,12968.1,3366.5,3725.0,8536.1,-1065.5,-707.0,True,True
Delaware,585,854.4,156.6,479.0,269.4,-428.4,-106.0,False,True
District of Columbia,585,1314.3,255.2,452.0,729.3,-329.8,-133.0,True,True
Florida,7022,5246.0,1921.0,2159.0,-1776.0,-5101.0,-4863.0,False,False
Georgia,3825,4089.3,2258.9,2032.0,264.3,-1566.1,-1793.0,False,False
Hawaii,26,69.4,22.7,,43.4,-3.3,,True,
Idaho,197,222.3,66.0,102.0,25.3,-131.0,-95.0,False,False
Illinois,7700,10843.1,2292.2,4890.0,3143.1,-5407.8,-2810.0,False,True
Indiana,2971,4291.1,1017.9,1457.0,1320.1,-1953.1,-1514.0,False,False
Iowa,874,713.9,329.5,535.0,-160.1,-544.5,-339.0,False,False
Kansas,358,509.0,354.3,923.0,151.0,-3.7,565.0,True,False
Kentucky,740,1067.1,516.6,331.0,327.1,-223.4,-409.0,True,False
Louisiana,3949,7729.1,2032.5,2974.0,3780.1,-1916.5,-975.0,True,True
Maine,123,271.7,66.5,70.0,148.7,-56.5,-53.0,True,True
Maryland,3506,7131.9,1196.5,2259.0,3625.9,-2309.5,-1247.0,True,True
Massachusetts,8626,19430.6,5633.2,6609.0,10804.6,-2992.8,-2017.0,True,True
Michigan,6457,16119.0,3818.1,5147.0,9852.0,-2448.9,-1120.0,True,True
Minnesota,1646,2184.3,728.4,521.0,538.3,-917.6,-1125.0,False,False
Mississippi,1693,1169.3,380.0,382.0,-523.7,-1313.0,-1311.0,False,False
Missouri,1276,1447.0,637.5,701.0,262.0,-547.5,-484.0,False,False
Montana,61,69.4,26.8,20.0,8.4,-34.2,-41.0,False,False
Nebraska,332,444.0,381.2,820.0,112.0,49.2,488.0,True,False
Nevada,832,871.1,259.4,521.0,39.1,-572.6,-311.0,False,False
New Hampshire,416,364.9,71.6,119.0,-51.1,-344.4,-297.0,False,False
New Jersey,15830,27776.9,7051.0,13175.0,13338.9,-7387.0,-1263.0,True,True
New Mexico,651,708.7,210.0,192.0,57.7,-441.0,-459.0,False,False
New York,32694,73360.3,24087.6,31716.0,41314.3,-7958.4,-330.0,True,True
North Carolina,1979,2042.3,375.4,535.0,63.3,-1603.6,-1444.0,False,False
North Dakota,103,127.9,258.6,52.0,24.9,155.6,-51.0,False,False
Ohio,3515,4289.3,835.5,1825.0,774.3,-2679.5,-1690.0,False,False
Oklahoma,549,957.1,,299.0,408.1,,-250.0,,True
Oregon,325,341.4,124.8,148.0,16.4,-200.2,-177.0,False,False
Pennsylvania,7219,9298.9,2318.2,3969.0,2079.9,-4900.8,-3250.0,False,False
Rhode Island,1007,1279.1,594.2,938.0,272.1,-412.8,-69.0,False,True
South Carolina,1751,922.3,350.7,367.0,-828.7,-1400.3,-1384.0,False,False
South Dakota,134,66.4,44.7,237.0,-67.6,-89.3,103.0,False,False
Tennessee,1067,638.3,247.5,1262.0,-428.7,-819.5,195.0,False,True
Texas,7576,2882.0,1447.2,3468.0,-4607.0,-6041.8,-4021.0,False,True
Utah,310,235.0,421.6,233.0,-75.0,111.6,-77.0,False,False
Vermont,57,156.9,54.2,53.0,99.9,-2.8,-4.0,True,True
Virginia,2215,2832.4,633.8,1556.0,617.4,-1581.2,-659.0,False,False
Washington,1592,2314.9,859.8,1254.0,722.9,-732.2,-338.0,False,True
West Virginia,116,255.7,38.4,295.0,139.7,-77.6,179.0,True,False
Wisconsin,947,992.6,331.1,459.0,45.6,-615.9,-488.0,False,False
Wyoming,26,76.3,64.2,13.0,50.3,38.2,-13.0,True,True
US,155159,247994.1,72860.2,,95243.1,-79890.8,,True,
