,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1603,1307.6,1341.1,1909.0,1359.8,1171.0,1157.5,1631.2,,1232.4,1226.5,1100.0,1242.8,1312.2,1117.8,1466.2,,-295.4,-261.9,306.0,-243.2,-432.0,-445.5,28.2,,-370.6,-376.5,-503.0,-360.2,-290.8,-485.2,-136.8,,True,False,True,False,False,True,,False,False,False,False,True,False,True,
Alaska,24,23.7,20.3,22.0,14.1,,19.4,13.1,,53.5,14.0,14.0,14.8,24.0,19.2,21.0,,-0.3,-3.7,-2.0,-9.9,,-4.6,-10.9,,29.5,-10.0,-10.0,-9.2,-0.0,-4.8,-3.0,,False,False,False,,False,False,,False,False,False,False,True,False,False,
Arizona,3747,2784.0,3960.4,5485.0,3012.1,2107.0,3155.4,1924.9,,2892.0,2858.0,2062.0,2718.3,3622.8,3300.5,2996.0,2846.7,-963.0,213.4,1738.0,-734.9,-1640.0,-591.6,-1822.1,,-855.0,-889.0,-1685.0,-1028.7,-124.2,-446.5,-751.0,-900.3,True,False,True,False,True,False,,True,True,False,False,True,True,True,True
Arkansas,458,453.4,489.9,646.0,494.8,346.0,426.5,345.3,,558.7,447.0,495.0,372.3,525.4,342.8,498.9,,-4.6,31.9,188.0,36.8,-112.0,-31.5,-112.7,,100.7,-11.0,37.0,-85.7,67.4,-115.2,40.9,,False,False,False,False,False,False,,False,False,False,False,False,False,False,
California,9345,7957.4,8348.1,11180.0,8028.0,6796.0,7394.7,11066.5,,7262.5,7851.5,7496.0,7780.6,8760.5,7274.8,8655.5,8206.7,-1387.6,-996.9,1835.0,-1317.0,-2549.0,-1950.3,1721.5,,-2082.5,-1493.5,-1849.0,-1564.4,-584.5,-2070.2,-689.5,-1138.3,True,False,True,False,False,False,,False,False,False,False,True,False,True,True
Colorado,1844,1816.9,1839.7,1771.0,1839.6,1806.0,1880.2,1824.7,,1767.0,1799.0,1887.0,1803.1,1897.1,1935.5,1898.6,,-27.1,-4.3,-73.0,-4.4,-38.0,36.2,-19.3,,-77.0,-45.0,43.0,-40.9,53.1,91.5,54.6,,True,False,True,False,False,True,,False,False,False,False,False,False,False,
Connecticut,4432,4588.0,4485.5,4390.0,4476.1,4415.0,4499.2,4576.6,,4460.2,4455.0,4420.0,4486.9,4557.3,4423.2,4541.0,,156.0,53.5,-42.0,44.1,-17.0,67.2,144.6,,28.2,23.0,-12.0,54.9,125.3,-8.8,109.0,,True,True,True,True,True,True,,True,True,True,True,True,True,True,
Delaware,585,856.7,518.4,535.0,554.9,589.0,580.2,539.7,,513.6,557.0,621.0,548.6,537.8,650.2,580.2,,271.7,-66.6,-50.0,-30.1,4.0,-4.8,-45.3,,-71.4,-28.0,36.0,-36.4,-47.2,65.2,-4.8,,True,True,True,True,True,True,,True,True,True,True,True,True,True,
District of Columbia,584,632.6,581.8,570.0,605.5,636.0,585.2,555.1,,591.0,562.0,601.0,604.4,595.4,573.4,615.6,,48.6,-2.2,-14.0,21.5,52.0,1.2,-28.9,,7.0,-22.0,17.0,20.4,11.4,-10.6,31.6,,True,True,True,False,True,True,,True,True,True,True,True,True,True,
Florida,7022,4672.1,8367.6,6174.0,5741.8,4400.0,6020.5,5828.0,,4380.6,4201.5,4155.0,4975.0,10640.5,13410.4,5262.1,4789.7,-2349.9,1345.6,-848.0,-1280.2,-2622.0,-1001.5,-1194.0,,-2641.4,-2820.5,-2867.0,-2047.0,3618.5,6388.4,-1759.9,-2232.3,True,True,True,False,True,True,,False,False,False,True,False,False,True,True
Georgia,3825,3433.7,3721.5,3905.0,3894.7,3601.0,3746.8,3396.9,,3122.0,3467.0,3405.0,3533.5,3319.8,4112.9,3861.4,3788.3,-391.3,-103.5,80.0,69.7,-224.0,-78.2,-428.1,,-703.0,-358.0,-420.0,-291.5,-505.2,287.9,36.4,-36.7,True,True,True,True,True,False,,False,True,False,True,False,True,True,True
